"LOCATION","Country","TRANSACT","Transaction","ACTIVITY","Function","SECTOR","Sector","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BEL","Belgium","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2006","2006","EUR","Euro","6","Millions",,,9051.7,,
"BEL","Belgium","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2007","2007","EUR","Euro","6","Millions",,,8977.5,,
"BEL","Belgium","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2008","2008","EUR","Euro","6","Millions",,,9255.1,,
"BEL","Belgium","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2009","2009","EUR","Euro","6","Millions",,,9191.2,,
"BEL","Belgium","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2010","2010","EUR","Euro","6","Millions",,,9572.9,,
"BEL","Belgium","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2011","2011","EUR","Euro","6","Millions",,,10238.6,,
"BEL","Belgium","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2012","2012","EUR","Euro","6","Millions",,,10773.7,,
"BEL","Belgium","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2013","2013","EUR","Euro","6","Millions",,,10743.1,,
"BEL","Belgium","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2014","2014","EUR","Euro","6","Millions",,,10388.8,,
"BEL","Belgium","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2015","2015","EUR","Euro","6","Millions",,,10277.7,,
"BEL","Belgium","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2016","2016","EUR","Euro","6","Millions",,,10475.2,,
"BEL","Belgium","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2017","2017","EUR","Euro","6","Millions",,,10346.8,,
"BEL","Belgium","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2018","2018","EUR","Euro","6","Millions",,,10614.7,,
"BEL","Belgium","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,10728.4,,
"CZE","Czech Republic","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","1995","1995","CZK","Czech Koruna","6","Millions",,,34342,,
"CZE","Czech Republic","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","1996","1996","CZK","Czech Koruna","6","Millions",,,36879,,
"CZE","Czech Republic","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","1997","1997","CZK","Czech Koruna","6","Millions",,,44607,,
"CZE","Czech Republic","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","1998","1998","CZK","Czech Koruna","6","Millions",,,44652,,
"CZE","Czech Republic","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","1999","1999","CZK","Czech Koruna","6","Millions",,,53179,,
"CZE","Czech Republic","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2000","2000","CZK","Czech Koruna","6","Millions",,,55901,,
"CZE","Czech Republic","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2001","2001","CZK","Czech Koruna","6","Millions",,,64518,,
"CZE","Czech Republic","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2002","2002","CZK","Czech Koruna","6","Millions",,,75494,,
"CZE","Czech Republic","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2003","2003","CZK","Czech Koruna","6","Millions",,,82049,,
"CZE","Czech Republic","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2004","2004","CZK","Czech Koruna","6","Millions",,,65434,,
"CZE","Czech Republic","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2005","2005","CZK","Czech Koruna","6","Millions",,,69827,,
"CZE","Czech Republic","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2006","2006","CZK","Czech Koruna","6","Millions",,,74770,,
"CZE","Czech Republic","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2007","2007","CZK","Czech Koruna","6","Millions",,,77299,,
"CZE","Czech Republic","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2008","2008","CZK","Czech Koruna","6","Millions",,,79825,,
"CZE","Czech Republic","P3CG","Final consumption expenditure","010","General public services","GS13","General government","C","Current prices","2009","2009","CZK","Czech Koruna","6","Millions",,,102656,,
