"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.923503961375685","0.943452113322182","0.957689138137939","0.985099467454783","1.02515096253189","1.0379927162383","1.05255402194942","1.0730392997032","1.13105386393334","1.13976272006389","1.12596543898612","1.1631416548688","1.1962185144501","1.2086201677997","1.21018332180095","1.23279060241351","1.23756990120625","1.26715769875914","1.29632741475063","1.31001810833896","1.27871241815116","1.30294060707092","1.31780135631561","1.28514099121094","1.30884277820587","1.36231791973114","1.35504460334778","1.35068964958191","1.29788514727507","1.33300407441878","1.25341749872296","1.2300791105795",
"Africa Eastern and Southern","AFE","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.19749757075501","10.0707319256054","10.9129008458112","11.735787358862","12.2041652214925","14.5600018893242","14.5854818052397","14.1790575059122","14.5451339307295","16.6134779097919","17.2422638894206","17.5094188570492","17.0358776005124","17.0225200169416","17.4458279431472","17.2055580487587","17.1521777363827","17.9496847557063","19.1231702665405","18.4565370979721",
"Africa Western and Central","AFW","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.06422473526651E-08","2.12378066454538E-08","1.19711189788241E-07","1.19018917428261E-06","2.65220960058217E-05","0.00050019311885385","0.0240713827868567","0.0462506838617868","0.0637372675794635","0.413249595128317","2.09328697099462","4.22436913345653","10.0859810555143","19.1808437976603","24.9264790661388","34.4098549257131","39.0930810357394","39.704359078677","46.5015468474549","38.4603787102433","50.0463188322035","64.6057510375977","65.6816711425781","66.0193710327148","65.0006713867188","68.1820449829102","80.7789688110352","92.9517211914063","116.353755427842","136.23846210802","159.064725739767","204.060575264988",
"Albania","ALB","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.33772135282306","3.0643175735423","9.97635522976849","21.9904778035238","29.2478439636834","31.465705842134","35.4116380349168","38.724011278164","40.7166806719193","41.1017621844737","42.019534234743","42.8171427152565","42.9260716334727","44.5910225257766","44.8982076042024","45.5274686581341","44.41859171052","44.6299161627485","44.5611203786321","44.3356184033702","44.1965900577405","43.8577197609787","43.6552859695497","44.1137290276024","42.8937920557232","42.7057394254824","42.3858805878921","42.2554945054945","42.3027319514229","41.1441371301892","41.2811912451604","42.5125831415744",
"Andorra","AND","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.16828452181637","1.1392314507112","1.13397315094355","1.12187352711664","1.09553458516179","1.11496271596304","1.15812510454895","1.12765070906515","1.06765857553063","1.14171558892744","1.24435934146508","1.18835249639417","1.21423906533567","1.23923037729224","1.30943208185021","1.479440204768","1.60683288923398","1.7606506402813","2.04768501381797","1.72572429851797","1.91821732452102","2.12660837173462","2.17772459983826","2.21331596374512","2.18256711959839","2.18778467178345","2.18975210189819","2.22179198265076","2.34217519366268","2.22751266445239","1.93617832259598","2.12440381817792",
"Argentina","ARG","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.293966424097195","0.683869409620272","0.776094362393905","0.731126714409491","0.73623721421431","0.743940340077583","0.730181312413699","0.714473304039453","0.694473012709146","0.672245111990598","0.664171110696196","0.642419923256386","0.825841640499041","0.894858603233684","1.03149512060945","1.10332152332588","1.21736665520604","1.36242054359774","1.6465299152593","1.88762866713742","2.2553242506938","2.73312783241272","3.21815371513367","3.94096684455872","5.45196390151978","6.86654806137085","9.29496574401855","10.2568216323853","14.2282262088898","20.8548505370062","28.8649343910302","42.7207859565094",
