"Data Source","World Development Indicators",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Antigua and Barbuda","ATG","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.75979843314527","1.74660000362426","1.74971463120914","1.74019257631305","1.75909061771483","1.76437085472964","1.78423073733232","1.78491650790018","1.8022914289574","1.80336472646953","1.74285928997176","1.73073630951421","1.71574365878865","1.66989300730943","1.65114886613223","1.67271317581248","1.63019925376426","1.64683444938917","1.68617839790473","1.70416075180651","1.70935090874322","1.69137668609619","1.82857131958008","1.85441470146179","1.914715051651","2.03954124450684","2.06004309654236","2.09350109100342","2.09251640280028","2.06009463676925","2.07108228673593",
"Australia","AUS","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.365074","1.347968","1.328112","1.312347","1.300571","1.310418","1.311735","1.307666","1.299857","1.29695","1.311512","1.326073","1.33649","1.353236","1.365806","1.388356","1.403522","1.426868","1.479073","1.442545","1.503317","1.511052","1.540115","1.447123","1.452489","1.473691","1.450156","1.477553","1.470403","1.482686","1.446009",
"Austria","AUT","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.920512","0.922828","0.933657","0.937184","0.940758","0.938151","0.934074","0.931504","0.922763","0.923906","0.90762","0.923168","0.899797","0.888168","0.878078","0.881939","0.860024","0.868179","0.854424","0.843731","0.84219","0.831374","0.813648","0.797081","0.798797","0.798813","0.776931","0.775009","0.765403","0.770813","0.763921",
"Azerbaijan","AZE","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.77470962698414E-06","1.38036355913227E-05","0.000157273673796791","0.00130145496230873","0.018936131132332","0.11975126916252","0.148666515858985","0.159553935936219","0.15625533971086","0.157361808734478","0.173149940392558","0.173694812628464","0.17819633901072","0.187126301423916","0.199079519455886","0.221491648486781","0.239281749653674","0.282025113939608","0.353488704673182","0.284703473073775","0.319545379497231","0.383509784936905","0.369043290615082","0.359447956085205","0.354803949594498","0.377257108688354","0.43090146780014","0.505471646785736","0.553766906165663","0.542741858454459","0.495617314751003",
"Burundi","BDI","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.1936371755647","71.6835270235878","73.8722180095136","77.7489675358857","81.1768212531311","92.3127833570539","103.755129692923","134.956255852559","148.735449688034","168.544111626774","186.585198907059","207.623908374284","206.491777963563","226.94419693958","250.046851018085","288.182920361386","287.677922075827","303.330287804745","369.595026738137","405.161464003956","434.783258124863","461.509124755859","527.052978515625","539.311096191406","547.099609375","570.659118652344","585.893188476563","654.895874023438","621.308235334825","615.430555789988","680.453710337364",
"Belgium","BEL","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.91366","0.909195","0.919379","0.933954","0.933578","0.925567","0.927866","0.92748","0.935599","0.931348","0.900114","0.89263","0.8733","0.876113","0.888326","0.891788","0.874269","0.878973","0.86694","0.85011","0.836572","0.831911","0.822137","0.806166","0.800214","0.799998","0.781011","0.775634","0.766407","0.766896","0.745495",
"Benin","BEN","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.1255319134547","83.9385726647921","84.5509861998774","84.5575789769984","110.527500029073","124.603730217831","130.815289859282","133.230568695109","138.64024125918","202.735359775662","206.910777127626","206.458986597251","210.467876258141","212.95696630328","208.970198482337","211.358966979609","209.44719322735","204.763830638278","213.780338033325","217.551198767619","216.939685241846","220.433578491211","234.004196166992","231.47721862793","225.044235229492","220.523895263672","214.433868408203","216.77360534668","213.110210952899","208.540222826783","211.987204391739",
"Burkina Faso","BFA","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","162.543092815479","150.987695436513","147.958681844016","142.448833592396","159.887586617245","167.205160943092","164.77130431664","164.395804982537","175.474351819208","203.059015178456","196.990714810365","200.399003681576","203.309302023012","202.566049429423","197.434321939915","198.629943905603","191.517655189625","191.155961624374","204.684091086112","208.021921769649","213.397738970045","223.115814208984","238.978652954102","231.079254150391","231.325927734375","225.415924072266","215.196685791016","208.757202148438","206.051917748918","205.711705185546","217.154974930164",
"Bangladesh","BGD","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.5505316715065","13.4650421505181","13.5049652899685","13.2127802036456","13.4496212472779","14.1146188951944","14.4477689360524","14.7333607351877","15.2594161756367","15.6109884580288","15.7959320335088","15.9609706948607","16.3241015263458","16.9585450148688","17.2673434521197","17.5137431062466","17.9981777205024","18.6615844085322","19.7445085359265","20.9206088650465","22.1571297958302","23.4095554351807","23.7873516082764","24.9661979675293","25.8188781738281","27.2837295532227","28.4988307952881","29.7381744384766","30.6664396797985","31.4720182937719","32.3690402074964",
"Bulgaria","BGR","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000689847779331484","0.0021789280242128","0.0033996294077041","0.00501760169566854","0.00848446808356004","0.0196097540537143","0.0381965893102338","0.398182761332642","0.518747295903085","0.525165856185558","0.536033491710137","0.555960166222414","0.558287025653635","0.55982924226254","0.58024508802745","0.596500192432096","0.618225821835061","0.656434205228211","0.677679153347196","0.69319798257403","0.676938795589226","0.701072655848173","0.692817304069677","0.680008079875339","0.661228934999427","0.678698152541155","0.666662732000639","0.676280334555643","0.680866087735855","0.70376889203001","0.702813548245117",
