"Data Source","World Development Indicators",

"Last Updated Date","2020-03-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.914069457094398","0.933789724252814","0.947609251555857","0.974706052874822","1.01448021963753","1.02713735685724","1.04175477494112","1.06204414120963","1.1192143704228","1.127556060126","1.11446237135886","1.15192939226557","1.18533354937351","1.18813830868469","1.18210750276733","1.18460496501034","1.18367466435687","1.22129366917575","1.25876379457964","1.27081549335632","1.24767287163068","1.26011914250927","1.24616304178971","1.19708862974185","1.195736723458","1.20723298412046","1.17683159808623","1.16280845157943","","",
"Afghanistan","AFG","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.60114151432524","10.524723298237","11.4039907148343","12.2663913770033","12.7632975448125","15.2294759078721","15.2520570929239","14.8091955128589","15.1970281228338","17.35617","18.2730262154001","18.8239505963001","18.5791741776873","18.8325271140784","19.5793912808324","19.5884113942278","19.2740145658001","",
"Angola","AGO","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.17741585084151E-09","1.83145709719248E-08","1.03233783024693E-07","1.02637859192138E-06","2.28717620081868E-05","0.00043134998656807","0.0207583507824193","0.0398850497243501","0.0549649041482247","0.356251288304161","1.80509685279604","3.64490740048562","10.6562391810556","20.288532089294","26.3632975715312","36.4010218672774","41.3799425748037","42.0336221403471","49.2181436348822","40.6586886882071","52.9263645888692","68.3148555611226","71.8927884307726","72.6592510550344","73.84936845559","70.4972035030402","84.9188663491577","102.180621127376","134.508760865693","",
"Albania","ALB","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.93680946682582","2.53879685722431","8.26544219961564","18.2193696885307","24.2321936422345","26.1010097957093","35.4158414824353","38.7286362342858","40.7189460894459","41.1016580865147","42.0195207044067","42.8058792372881","42.9263774008706","44.6425665178902","44.93948414321","45.5273653435102","44.4582100003183","44.678137027875","44.5610155419509","44.3291661004666","44.1994307601472","43.8577529982633","43.6553461163471","44.1135314483555","42.8940770244713","42.6942427945087","43.1380915987319","41.7525144350406","42.5749864419507","",
"Andorra","AND","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.39623823861642","1.36151645849028","1.35523219347525","1.34078558455131","1.30930768076905","1.33252775470203","1.38411165565826","1.34769128250885","1.27599293262789","1.36403583619159","1.48710417778922","1.4209989736547","1.45162135533392","1.48319297645138","1.56709592484398","1.77091599501428","1.92451582277378","2.1090781583559","2.45226134622594","2.06419858170399","2.29527491292161","2.54430863442172","2.55229184713606","2.48652325970323","2.41825648916309","2.02231938880143","1.93512222187779","1.99907692241289","2.1036982976223","",
"Argentina","ARG","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.286304873231097","0.666045982549021","0.755867325981846","0.712079020310623","0.717056694430003","0.724559630695776","0.71115860554349","0.695860098021359","0.676380931968066","0.654508978195401","0.646838212686225","0.626019106630443","0.804574067116333","0.872810843487399","1.00600441769681","1.07627373000817","1.18820747817073","1.32999734694897","1.6069165818611","1.83999537499858","2.19920642936982","2.664829","3.19814678514523","3.89569828899758","5.36352918394184","6.7173236504549","9.37690662939186","11.5952049887379","15.9268078331292","",
"Armenia","ARM","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00585499929581018","0.0101594861445922","0.0664334275656099","0.967705392360318","39.8630114423858","101.969670419019","119.754590531946","138.604180020245","151.725048683547","149.646087620351","144.363232124893","147.012954652209","148.153413842049","152.086446722112","157.443673188507","157.63437062686","160.072725902315","162.48347752482","168.929623005637","171.938272353923","183.161378577781","187.095284122817","193.38813956881","196.451618712478","197.256172619089","197.538325231661","195.92635938847","196.406777847486","196.688930483395","",
"American Samoa","ASM","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
