"Data Source","World Development Indicators",

"Last Updated Date","2017-05-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.26011914250927","","","","","",
"Afghanistan","AFG","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.63794378296968","10.5565893686871","11.4291678974583","12.2798564686053","12.7682037319421","15.2209056054823","15.2533728096334","14.8194277658459","16.0223658757746","17.35617","18.4575606427255","19.0211095543193","18.7319778945627","19.2399982906403","",
"Angola","AGO","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.67821122897139E-09","2.26684499539319E-08","7.73689483117614E-08","1.03833778156454E-06","2.26481324828789E-05","0.000442670958273179","0.0239082615923926","0.0456766734252819","0.0611446482517931","0.3956288036683","2.00466234689533","4.04391255961863","11.8119776120393","21.4118031197373","29.1311273018827","35.7914178638793","39.2530461675001","43.0594412006445","50.5427589490051","46.4404087565486","56.1543917660417","68.3148555611226","71.8218694255595","72.4507292463504","70.2015083897171","66.6638094620496","",
"Albania","ALB","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.87965158543332","2.52070020272447","8.61801901485399","18.0843040875939","24.5100533253028","25.3474089669694","35.1676975990734","38.7557117142066","40.7604361694751","41.1015098032363","42.0517685085154","42.7081110619584","42.9263110812926","44.6452243371856","44.9076771920314","45.5273999421188","44.4329905450086","44.6955551883675","44.561260440996","44.283658896789","44.1143718116391","43.8577947687333","43.6550382609617","44.0737419326384","42.6165717435238","43.291138294613","",
"Andorra","AND","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.38817174035416","1.35434806088332","1.3480884178953","1.33358793326315","1.30237140542389","1.32561329737225","1.37700359874891","1.3409401441666","1.27010666765855","1.3565864286137","1.47840357009767","1.41150453233435","1.4425846319695","1.47198042860213","1.55437861959571","1.75479261430258","1.90605538020428","2.08945474843646","2.42905218609986","2.04472135647758","2.24232548729058","2.54430863442172","2.50655741549367","2.45099752514021","2.41625052606883","2.1224757229088","",
"Argentina","ARG","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.301233818938565","0.679129007695182","0.743145960240786","0.715229359469988","0.720280154904643","0.727896346464528","0.714472038328489","0.699190832144619","0.679889134370872","0.657343107974773","0.649384764317661","0.627958464680704","0.807437286582924","0.874740684855195","1.00766445294192","1.07697711804429","1.18845267417608","1.33059500341468","1.6073788248591","1.84057791618731","2.1986834673246","2.664829","3.20052705565979","3.90396550855131","5.38027301919195","6.62955150635116","",
"Armenia","ARM","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00587848394137561","0.0102054921917092","0.0667338480173204","0.971986655372384","40.0422118393001","102.439257450358","120.312551557901","139.26760889114","152.512004904002","150.294079393958","144.931578917662","147.468389250005","148.680644035021","152.42271971875","157.703475259222","157.737390995152","160.105758172215","162.556492197482","168.978217036508","171.992707885144","183.117823575285","187.095284122817","193.532071686569","196.868516664474","197.871965814378","198.072442227529","",
"American Samoa","ASM","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.5403737562165","1.53121587052909","1.53287561099408","1.53055210210196","1.54393073993702","1.5596779546186","1.57115757840943","1.57831297375301","1.59909208475586","1.590259980258","1.77996611328456","1.77462847149635","1.76126681311056","1.70653391399414","1.68706978314309","1.71057431954183","1.66598147789534","1.68322092021384","1.72400088034305","1.74165266234075","1.74414161068342","1.73145405232612","1.74568671349202","1.71549123632379","1.63852061383286","1.60564259397483","",
"Australia","AUS","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.364986","1.348081","1.327669","1.311715","1.300958","1.307013","1.310166","1.307245","1.29917","1.29695","1.307971","1.325852","1.33649","1.355487","1.366654","1.388356","1.404078","1.426699","1.479073","1.441167","1.502707","1.511052","1.540115","1.446881","1.458828","1.462169","",
