"Data Source","World Development Indicators",

"Last Updated Date","2024-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.923371170771069","0.943316000164339","0.957551495041662","0.984958026805149","1.02500603226295","1.03784812798039","1.05240950653886","1.0728917961703","1.13091703344449","1.13955892560226","1.12586291238992","1.16305010246582","1.19604132896669","1.20864669229664","1.2100687639289","1.23273705485902","1.23752658220065","1.26713820676087","1.29617578209626","1.3101724000677","1.27860494943579","1.30294060707092","1.31876661849032","1.28702435899103","1.3117209860102","1.36631378592424","1.36001458924542","1.35663664340973","1.37060558795929","1.42321181297302","1.4119086265564","1.36395359039307","1.3177220251751","",
"Africa Eastern and Southern","AFE","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.1998697270563","8.80071752162155","9.19688826036544","10.0699941213408","10.9116040744157","11.734434845685","12.2029654394043","14.5576162881187","14.5818363062911","14.1789193737253","14.5430529449813","16.6134779097919","16.9302950898685","16.8815458389923","16.1278038080551","15.8235824504332","15.9236559656703","15.4202070236206","14.8562349775318","15.026434394062","15.3352430921872","14.5879421234131","14.9102820470681","",
"Africa Western and Central","AFW","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.05946358259261E-08","2.11427822857687E-08","1.1917563100182E-07","1.18486472779136E-06","2.64035046374394E-05","0.000497957581678725","0.0239638472422822","0.0460440578520601","0.063453566147402","0.411386382758831","2.08385618156183","4.20538919853533","10.0411136615369","19.0953840282217","24.8142889190695","34.2551043285729","38.9179279232466","39.5238764881785","46.2861805788587","38.2914517652444","50.0401515858716","64.6057510375977","66.0171856203882","66.6955727425879","66.0018757612622","69.5859035283092","82.8633266447229","95.8372421264648","111.44181060791","124.439605712891","146.909133911133","174.090515136719","184.936623659571","209.922137539756",
"Albania","ALB","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.33817101051485","3.06490551532149","9.97827482528383","21.9947122609287","29.2535404179417","31.4718996827885","35.4186793241723","38.7317048678232","40.7186301347068","41.101511518119","42.0198001710921","42.8110362634271","42.1092663316583","44.590902747564","44.8979641853474","45.5278780881257","44.4127932854327","44.625500240747","44.562326396971","44.3402067304425","44.2056584066242","43.8602530287451","43.6574740650497","44.116008544048","42.89701677571","42.7088500219256","42.3874615379273","42.259562222268","42.3056632943665","40.5518779586953","40.2120768842584","40.5962365523591","39.4929056444505","39.3625610746",
"Andorra","AND","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.481169191568553","0.49770746151984","0.519273962108906","0.530265609799499","0.539323536566479","0.554306929893649","0.548680689680266","0.551397610212737","0.553446123533575","0.560632656151341","0.705779895430886","0.711500899393405","0.723309998325789","0.731844152630874","0.734362308946084","0.736218215380024","0.738884638466139","0.742495774221684","0.745028111258172","0.741439506698085","0.735279068189439","0.72183361608277","0.709874590843503","0.701125997361927","0.688545090494479","0.686720483374888","0.682621757490967","0.678233981132507","0.656328009600346","0.64122788740431","0.627878780205223","0.604573547840118","0.588730553261158","0.601311820072143",
"Arab World","ARB","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.12769986207302","1.09965552674094","1.09458049488638","1.08290135138042","1.05747971668771","1.07623522256201","1.11790062594504","1.08848450159541","1.03059304277664","1.10201530561695","1.20109402020605","1.1470486474411","1.17208782920477","1.19620319799516","1.26390983777474","1.42801276558946","1.55100337269531","1.6993653261263","1.9762383267042","1.66591143856657","1.9179428836283","2.12660837173462","2.1879699726825","2.2341905856946","2.21351673547793","2.22924693053669","2.24174884422555","2.28525042533875","2.23515868186951","2.1137228012085","2.08898448944092","2.36256718635559","2.49942241788049","2.31884546890079",
"Argentina","ARG","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.293939470122175","0.683806375929187","0.776023252842432","0.73105983038988","0.736171486542928","0.743875471098244","0.730119100886283","0.714412313975786","0.694425180459981","0.672159933961291","0.66408924471236","0.642348668943853","0.825786930674707","0.894793043866859","1.03137254895247","1.10319436907139","1.21724697693468","1.36219731625794","1.64611838127021","1.88761027800031","2.25500157954386","2.73312783241272","3.22003163590423","3.94556760852856","5.46151378584004","6.88258971224653","9.32211732577767","10.2927856445313","13.5268135070801","20.3836688995361","26.8871841430664","38.783332824707","61.4031809748514","138.535504351528",
