"v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v40","v41","v42"
"1970",,,"11.503816039184068","7.9289378855216519","3.0769113887604052","2.0353743156491531",,,"3.5748781536624161","4.8520264967612468","1.0415370731112521","484.54599999999999","361.74599999999998","1020.8622553800001","3.299565916398714E-2","85527.662031289219","63852.120601905182",,,"983894.49026945909","1356287.0394799616","2631610.3735812465",,,,"611501.94105895667","1037456.2059546404",,,,"481703.05921279208","766081.4775047641","1549712.9666863596",,"2.4424242793013433","1.6932772932000026",,"5.6321317310949883","8.9571193612717117","18.119435629135012","24.095219767496399"
"1971",,,"10.441098758602548","7.2349951542595869","2.8435538766947137","1.902993819841309",,,"3.2061036043429612","4.3914412775648728","0.94056005685340471","496.36500000000001","371.96499999999997","1189.3540836699999","3.4156913183279736E-2","93611.773957624508","70150.601875933629",,,"977409.7768595356","1354561.4619301143","2661901.227414724",,,,"600258.09178895701","1027726.5205589617",,,,"474013.64362401428","752440.61378751404","1565872.813431134",,"2.3809572942550608","1.7241353546269054",,"5.0636113769042268","8.0378843598041776","16.727306269614779","22.25966229589682"
"1972",,,"9.6999402372242383","6.8201389220585087","2.7620278451077747","1.8792060509599433",,,"2.8798013151657296","4.058111076950734","0.88282179414783135","508.09500000000003","382.09500000000003","1491.6482467400001","3.6111173633440512E-2","108106.91241392013","81298.006669612601",,,"1048630.5896458605","1474608.3221954936","2985943.0233587478",,,,"622652.857096227","1096774.6469046804",,,,"477788.36747978663","768883.77756784204","1705055.7712708442",,"2.2717918050311066","1.7862922186194943",,"4.4195912806243953","7.1122536052453071","15.771940324616066","21.248942511603733"
"1973",,,,,,,,,,,,"521.87599999999998","391.149","2292.6602021100002","4.627918006430868E-2","126651.9299457052","94926.334505385661",,,,,,,,,,,,,,,,,,,,,,,,
"1974",,,,,,,,,,,,"536.09199999999998","400.637","2999.96547169","5.4832475884244371E-2","136561.20640001757","102056.12478545445",,,,,,,,,,,,,,,,,,,,,,,,
"1975",,,"10.118413025078937","7.201259593203905","3.3280523789328282","2.456347969135769",,,"2.9171534318750316","3.8732072142710767","0.87170440979705921","550.91800000000001","410.73700000000002","3683.3935569400001","6.3413987138263669E-2","141416.22411128631","105432.88773065577",,,"1430907.7640051213","2036749.8810321477","4706406.0107326442",,,,"825065.64697809494","1369335.8486070239",,,,"662877.10933776293","993958.90211249911","2195569.5846801763",,"1.8765900956246042","2.140784050597174",,"4.6874190956768675","7.0286058644184379","15.525584836379107","22.451030143604129"
"1976",,"18.138052319059259","8.2908254932431049","5.4789347572469067","1.9837541876086031","1.3458844860071828",,"9.8472268258161542","2.8118907359961982","3.4951805696383036","0.63786970160142031","566.49400000000003","421.58499999999998","4580.8152749499995","6.8850321543408366E-2","157816.22681741699","117446.88201961668",,"572495.79576216638","1308426.7965452769","1729329.6207350143","3130686.0082164011",,,"388513.04556638876","887523.97235553921","1378990.5238646681",,,,"744153.75731668877","1003535.2573837431","1967542.319793886",,"2.5620551658450053","1.6401822559570376",,"4.7153183948417787","6.3588851262092803","12.467300476459897","16.08905642868622"
"1977",,"17.248273987630764","7.4764137479773769","4.7890937411189629","1.5492599963177114","1.004808290109815",,"9.7718602396533871","2.687320006858414","3.2398337448012517","0.5444517062078964","582.72","433.084","5241.7177147399998","7.5708601286173641E-2","159866.05827320152","118814.23665086355",,"551482.71488374507","1195224.7959087163","1531227.0781870976","2476740.888516672",,,"390547.19462750235","859222.51363033499","1294848.625604704",,,,"711068.24653663696","942720.03987737629","1738046.4093969194",,"3.1072317653443648","1.474556247891688",,"4.4479000371765212","5.8969367860832858","10.871891308076805","13.346915687363106"
"1978",,"15.982396568380372","6.7658157928008791","4.3192009894589596","1.4140457303367315","0.91381377735776848",,"9.2165807755794926","2.4466148033419195","2.9051552591222283","0.50023195297896306","599.23099999999999","444.86700000000002","6191.849443340001","8.1834405144694519E-2","170080.39927946389","126267.09396919931",,"543658.47795857338","1150732.651490876","1469222.8577108707","2405014.6241509239",,,"391889.93457549775","832242.44527088141","1235274.9161008573",,,,"689321.33672275359","912700.6967144938","1665061.8670296641",,"3.0726281329938963","1.4824792176083741",,"4.0529146194565921","5.3662897111078012","9.7898515883288475","12.077819309065196"
"1979",,"16.334149591747721","6.837452753037029","4.3964588358403054","1.5717030873595688","0.99672818487945503",,"9.496696838710692","2.4409939171967237","2.8247557484807366","0.57497490248011374","615.48800000000006","456.39699999999999","7232.0837542250001","0.11332958199356913","139822.60177249197","103681.33250552407",,"456776.65873185074","956030.43342612521","1229448.6260257054","2197596.1488847309",,,"331963.21505828213","682612.2408265454","987411.7453109487",,,,"552570.31363785733","744674.39482113847","1400868.0362637164",,"2.8131474181428944","1.5515271345251365",,"3.9519384322211013","5.3258513672404151","10.018895504055171","12.667044589973282"
"1980","21.5481583400117","16.411192100129298","6.7200199388570798","4.2658285634774371","1.5248583876911441","0.94228579867519524","5.1369662398824012","9.6911721612722186","2.4541913753796427","2.740970175786293","0.58257258901594888","631.08799999999997","467.27","8253.3965227099998","0.13989790996784565","126256.45330832512","93482.767755655441","272059.40473360836","414403.78182478575","848445.88364132273","1077176.7696920172","1925232.1182733485","110056.12537218252","129715.02764243097","305893.25637065154","619714.9975906281","865162.93254668452",,,,"488776.35948436568","717928.06474759057","1227997.493329722",,"2.9054627957143548","1.5248068879902228",,"3.8712980340953127","5.686268273308543","9.7262156598909471","12.255801776679291"
"1981","21.723728214873162","15.764354899901296","6.2472015051191478","3.9151307186844897","1.3573069654728773","0.82349036146340038","5.9593733149718666","9.5171533947821487","2.3320707864346581","2.5578237532116121","0.53381660400947695","645.92899999999997","477.38400000000001","9473.3854846150007","0.15875803858520901","124997.58602208075","92381.434500641713","271541.35862589109","394101.26153660449","780885.10753340297","978763.77759291057","1696600.9417506536","108714.94462165737","148981.45571517767","297405.30003740487","583006.43747389538","799304.4865534748",,,,"458346.09927970608","664880.45630326401","1115404.3823995974",,"3.0968165169625923","1.4769134504189143",,"3.666839607596418","5.3191463728412582","8.9234073864639427","11.150617298885724"
"1982","20.947285229129147","15.028056887738433","5.795268857032374","3.5911653936866643","1.2316934764723662","0.74470859322461902","5.9192283413907134","9.2327880307060592","2.2041034633457097","2.3594719172142984","0.48698488324774714","660.12400000000002","486.851","10589.305964210002","0.16958279742765273","128259.52741562866","94593.256996906974","268668.89041284827","385498.29487930291","743298.44484948274","921202.35253122321","1579764.2321325841","112658.48708260426","151839.48594639366","296048.25738675799","565394.53716774227","756561.88263088302",,,,"446693.09052153199","637084.0228227193","1049045.0831616579",,"3.1570543832743945","1.4635951730071852",,"3.4827283362272987","4.9671477484727538","8.1790811513143762","10.138832695357344"
"1983","20.101826221945569","14.207081516251554","5.3946643274945174","3.3380608377493539","1.1205679566517723","0.66972060137097422","5.8947447056940145","8.8124171887570366","2.0566034897451635","2.2174928810975816","0.45084735528079811","673.73800000000006","495.738","11718.74183117","0.17630707395498393","134078.4678549481","98655.250998869393","269522.20609248814","380972.74447787221","723308.32762220886","895124.16546407563","1502440.3475521954","119029.16360633253","158071.66770710409","295388.84869178809","551492.48978034197","743295.11994204589",,,,"440531.99149919965","618803.76995616953","1020574.1986814897",,"3.3068847489943556","1.4334850279954088",,"3.2856281739122069","4.6152359872251694","7.611768056490555","9.4420861590443419"
"1984",,"12.935193490178461","4.9924053447520205","3.1019146183582311","1.0215900020717563","0.59947137661244954",,"7.9427881454264408","1.8904907263937893","2.0803246162864748","0.42211862545930678","683.84900000000005","500.52800000000002","13358.60882582","0.19385610932475883","137674.45413335683","100767.74138510232",,"356169.14057393413","687326.68065118755","854108.80370149855","1406468.4588332393",,,"273379.75555462076","520544.55760087637","716018.88991856354",,,,"413466.18710729224","582669.88857385691","978058.31944316661",,"3.4948097128204632","1.4008321736367892",,"3.0032164624149722","4.2322295173907873","7.1041379869629351","8.8795040715318443"
"1985",,"12.56637996410946","4.9747938872972357","3.1825183205299226","1.0962854281790948","0.68098106130616709",,"7.5915860768122245","1.7922755667673131","2.0862328923508278","0.41530436687292771","693.63499999999999","504.99400000000003","15717.944938545001","0.20271221864951769","153542.85721974648","111785.33614772707",,"385895.57691966835","763844.06753494707","977305.91217670648","1683267.9697099137",,,"291408.45426584868","550382.22289318754","800815.39779340464",,,,"440207.1757020739","620449.41534640989","1129971.8288392045",,"3.0269630832436087","1.4933488963201882",,"2.8669987238290155","4.0408875188406785","7.3593252678763079","9.2198829661390285"
"1986",,"11.925445605664509","4.950342556995178","3.3017848629016369","1.2455586577951925","0.81953507312166329",,"6.9751030486693306","1.6485576940935411","2.0562262051064444","0.42602358467352919","703.024","509.06299999999999","18927.849426385001","0.20271221864951769","183421.31931835058","132816.24393499724",,"437476.19329004211","907998.36288183264","1211235.4713175551","2284620.123011882",,,"319845.65089209448","604761.25444611022","942889.30839397339",,,,"520983.00140306115","700315.12726930401","1395340.0477904587",,"2.5328076322683537","1.6523975865909093",,"2.8403623054244318","3.8180683132794382","7.6072947952613506","9.9763947493014751"
"1987","16.444901269018558","11.800901772519131","4.9182631474965559","3.4471874476639757","1.4395484777455476","0.97812721067525066","4.6439994964994273","6.8826386250225751","1.4710756998325802","2.0076389699184283","0.46142126707029696","712.09400000000005","512.81299999999999","22639.625296924998","0.20497990353697748","215376.8019898129","155103.15205408545","354185.02443594323","508328.09687221696","1059279.7880521596","1484888.4166745853","3100453.4744613939","199953.66616246506","200041.95199966957","370590.17407723132","633671.15942973411","1080997.1522278832",,,,"569277.33560896257","785229.79267137591","1677542.5253775876",,"2.2078445369187238","1.8279211185166706",,"2.6431692287634987","3.6458420099882276","7.7888728492539032","10.711370204979838"
"1988","15.719904040773059","10.94642536186848","4.233459088784767","2.9514842285821583","1.2013245956767125","0.80631148498662064","4.7734786789045796","6.7129662730837127","1.2819748602026086","1.7501596329054459","0.39501311069009182","721.35","516.74800000000005","26657.749946700002","0.23726929260450161","217421.83161200024","155752.81990966649","341785.03293097619","475998.37035629939","920446.42913805367","1283434.2139045289","2611941.9395257644","203603.69813211405","207571.69550565296","364886.35566086095","557458.64437157824","951307.28249921999",,,,"506947.76991780405","693009.74748352193","1451128.3817574773",,"2.2911482137920078","1.7745044211950487",,"2.3316323211850998","3.1873972468424023","6.6742533212905961","9.0815112339584392"
"1989","15.345895991132711","11.026054300589482","4.7554670898005265","3.349035936418125","1.4168274169246633",,"4.3198416905432282","6.270587210788956","1.4064311533824014","1.9322085194934617",,"731.46100000000001","521.53800000000001","31381.828327185001","0.26302009646302255","228772.25464316324","163116.59014231252","351071.52254109102","504491.06043276039","1087918.9280150284","1532333.0041107039","3241308.0261010425","215183.44709894905","197651.98464942159","358634.09353719343","643504.85191935301","1105089.2486131189",,,,"567560.0026055529","789079.3654386641","1719458.8880532549",,,,,"2.480895261931249","3.4491917154440888","7.5160289464963759",
"1990","15.553852348533828","11.190461937484642","4.9308785371058947","3.4360376016062859",,,"4.3633904110491866","6.2595834003787472","1.4948409354996088",,,"742.89800000000002","527.65499999999997","36328.910598524999","0.30389308681672023","226559.0925083521","160917.16219116829","352386.66730927251","507060.18026115518","1117135.3666356222","1556931.1216889897",,"212578.25086380541","197713.15435738981","354541.38366753847","677339.61158225499",,,,,"571600.11808904202","794500.22920017235",,,,,,"2.5229626044161964","3.5068123746606337",,
"1991","16.30571256679319","11.74204193905784","5.0126442828321265","3.4517492620296641",,,"4.56367062773535","6.7293976562257134","1.5608950208024623",,,"756.298","535.89400000000001","41783.720920259999","0.30408601286173631","256408.11933513984","181684.43219866435","418091.70936707972","602150.97814963188","1285282.6934570263","1770113.073386966",,"238443.27599825762","234032.44058452765","431368.04932278325","800452.31352708675",,,,,"679286.7117396174","925799.57619482081",,,,,,"2.6492402561236816","3.6106484404448547",,
"1992",,,,,,,,,,,,"771.12","545.55499999999995","48113.845000000001","0.33251607717041803","265227.69807074248","187644.33138938673",,,,,,,,,,,,,,,,,,,,,,,,
"1993","15.03413634837001","10.731043040204153","4.5370116755300316","3.1312063076948347",,,"4.3030933081658578","6.194031364674121","1.4058053678351969",,,"786.91499999999996","556.18899999999996","53980.724999999999","0.36620096463022506","265031.09677418816","187323.12979640614","398451.36454611918","568812.02129526495","1202449.1804430215","1659734.0839092361",,"250206.62257730693","228090.70779697338","410402.7315083259","745164.27697680658",,,,,"645287.86169742595","887741.24197961518",,,,,,"2.4347628242553898","3.3495738907045638",,
"1994","15.465142669208101","10.901448325850588","4.6893040572237368","3.2544058724613207",,,"4.563694343357513","6.2121442686268509","1.434898184762416",,,"802.99099999999999","567.10400000000004","59432.42","0.38814147909967839","270004.27933177119","190687.69989472456","417565.47011625575","588687.53977876622","1266132.1625382458","1757407.0244940058",,"253608.59146682842","246443.40045374518","419326.38408889645","774857.30058248562",,,,,"662940.06943270238","923999.65008067759",,,,,,"2.4552946756007015","3.4221666870149909",,
"1995","15.272190318419547","10.69889342429302","4.6210272620778721","3.2129393397956534",,,"4.5732968941265266","6.0778661622151482","1.4080879222822187",,,"818.81899999999996","577.77099999999996","66094.514999999999","0.41131993569131831","278118.52747142938","196244.61539814688","424747.90826222644","595112.09694762668","1285193.2975344288","1787155.9160779873",,"261826.37405022967","254383.7195768262","422591.79680092621","783230.67899087025",,,,,"670418.13630806888","935621.45638356288",,,,,,"2.4105482738000608","3.364110492349984",,
"1996",,"10.617133949581945","4.5178247259418498","3.1288189135366853",,,,"6.0993092236400948","1.3890058124051645",,,"834.23099999999999","588.02200000000005","74038.654999999999","0.44160209003215428","285124.03316120582","200974.55528207246",,"605440.01046351332","1288140.4069759597","1784202.9353172837",,,,"434764.91133540164","792077.87863463548",,,,,"684722.65286584606","947726.09480333771",,,,,,"2.4014904856466863","3.3239081402426165",,
"1997","14.453009477421203","10.428326612783392","4.4976858279514795","3.1346239758200429",,,"4.0246828646378106","5.9306407848319127","1.3630618521314366",,,"849.32600000000002","597.95600000000002","83307.56","0.46387700964630224","300339.41996843071","211449.73568057842","434080.84832469159","626407.51322494261","1350832.3527671783","1882902.2934338558",,"285479.26126217947","241754.18342444045","445301.30333938386","818762.41210050113",,,,,"707691.30047141167","980738.35611120332",,,,,,"2.3563050782537922","3.2654333427636328",,
"1998",,"10.767792464769952","4.749349118288321","3.3350217089143164",,,,"6.0184433464816314","1.4143274093740046",,,"864.154","607.62300000000005","92064.714999999997","0.50629260450160762","299266.03167843097","210426.52578885623",,"644486.90417372296","1421318.8636856009","1996117.4247764135",,,,"450278.91429575358","846520.30259478814",,,,,"726030.87806291867","1030507.8212547988",,,,,,"2.4260383779307686","3.4434506832439502",,
"1999",,"10.924787299861563",,,,,,,,,,"878.85400000000004","617.16200000000003","101010.55","0.53397186495176852","306513.20092771482","215244.28415976983",,"669718.30494700291",,,,,,,,,,,,,,,,,,,,,,
"2000","14.209473680090003","10.612492979864909",,,,,"3.5969807002250942",,,,,"893.51800000000003","626.66499999999996","112160.91500000001","0.55897427652733112","320194.8050900682","224567.24714193511","454979.96554288722","679613.02424151229",,,,"305218.67615086609","230346.90684426221",,,,,,,,,,,,,,,,,
"2001",,"10.547982735461469","4.8509075104605301","3.465632845956808","1.5377846171135325",,,"5.6970752250009387","1.3852746645037222","1.9278482288432754",,"902.76199999999994","633.149","122561.9","0.58844051446945334","328962.95422353153","230717.02785858818",,"693979.11235124245","1595768.8653062126","2280129.6385201137","5058741.7060516998",,,"468531.67411249987","911408.09209231194","1585476.6216372168",,,,"775860.23625559581","1102933.1843412083","2686340.0055330577",,,,,"2.3585033703472762","3.3527580239073402","8.1660867007768907",
"2002",,"8.9340405497346804","3.8960778573788755","2.6947071460628211","1.1380742113000406","0.75866575565665961",,"5.037962692355805","1.2013707113160543","1.5566329347627805","0.37940845564338099","911.76300000000003","639.46100000000001","133251.69","0.62178938906752412","335131.58214448782","235043.0722125117",,"598815.82887511863","1305698.7365014888","1806162.9385521812","3814046.1103082276",,,"422095.10196852614","805234.53445079608","1304192.14561317",,,,"681427.44420267676","952290.67645302194","2069489.4656001918",,"2.2245015580606347","1.8166588220465802",,"2.0333131238848381","2.8415426274043418","6.1751550013807925","8.8129683240640233"
"2003",,"10.979524297470833","5.1331491763252641","3.7009361099408564","1.663335853210997",,,"5.8463751211455692","1.4322130663844077","2.0376002567298594",,"920.44399999999996","645.54999999999995","147636.76","0.64611495176848877","353960.5237644075","248248.90608892366",,"777263.63420336286","1816932.1710129271","2619970.5677865488","5887552.2979868222",,,"517346.50000097178","1013893.7742393062","1803075.1352364805",,,,"864352.50188741856","1231209.7604236752","3146853.9648479531",,,,,"2.4419460472454344","3.4783815645022491","8.8904093919311382",
"2004","15.17443916211432","11.264193638425771","5.275689929534999","3.8204770204037737","1.7366469358484169","1.2012553113131128","3.9102455236885483","5.9885037088907724","1.4552129091312254","2.0838300845553568","0.53539162453530409","928.71199999999999","651.34799999999996","160340.62","0.68230707395498391","360786.7675411824","253036.18286876238","547473.68545495532","812794.40235311689","1903399.1162265006","2756755.109313691","6265592.343450495","340043.77666187426","282152.96855679381","540143.223884771","1050043.1231393104","1879545.80077949",,,,"892316.10697501246","1281503.0491084363","3226901.0652698502",,"2.0099786229330787","1.9901199661987896",,"2.4732506490087891","3.5519679888541305","8.9440671210357294","12.621869808944657"
"2005","13.961485002492473","10.572077844912913","4.9756013312003917","3.591162817848919","1.6055682865319891","1.0948594566896579","3.3894071575795603","5.5964765137125214","1.3844385133514727","1.9855945313169299","0.51070882984233124","936.50699999999995","656.81500000000005","174916.15","0.70900643086816717","375609.59075449454","263432.10819717671","524406.76681112102","794194.76655047946","1868883.579769697","2697750.3926899796","6030668.4703267533","359076.5711926471","254618.76707176262","525522.56324567518","1040016.766849415","1864520.873280786",,,,"873412.67537110974","1267129.8225272256","3181874.7158569801",,"2.0655895829186499","1.9384476125048069",,"2.3253204840075252","3.3735289346097805","8.4712286218929727","11.989881704136055"
"2006",,"12.289446394552471","5.9585377210055412","4.3441174585133826","1.9208028594987385","1.3005453616295048",,"6.3309086735469293","1.6144202624921586","2.4233145990146441","0.62025749786923368","943.79200000000003","661.92399999999998","203604.41","0.79325643086816722","387762.18226019794","271955.14978978341",,"953076.51054427749","2310495.5897768149","3368968.9314155481","7448147.0849085925",,,"613721.74073614308","1252022.248138082","2349174.3930422873",,,,"1053249.5835229279","1565078.430351031","3993237.3253721585",,"2.0998524124720763","1.9092128986218764",,"2.7162256447591675","4.0361812006226669","10.298160852345829","14.318734737648642"
"2007",,"12.732402444147034","6.5180083970842997","4.8417770909439612","2.1839641188953212",,,"6.2143940470627346","1.6762313061403384","2.6578129720486401",,"953.97799999999995","669.06799999999998","234054.87","0.86977491961414788","402198.588834589","282080.09559379861",,"1024190.8591020018","2621533.7793193068","3894711.8268586053","8783872.8668507468",,,"624855.12904767552","1348355.7317800082","2672421.5668605696",,,,"1110949.5267041062","1686374.3651549651","4528414.8753569964",,,,,"2.7621915082377457","4.1928898110791613","11.259151576037437",
"2008","19.094258405030249","14.350133256862124","7.1168241279122295","5.1679179897111309","2.2354468149378515",,"4.7441251481681252","7.2333091289498945","1.9489061382010986","2.9324711747732795",,"960.10900000000004","673.36800000000005","246451.68","0.92845659163987138","394200.9851003685","276471.03499192791","752697.54730239161","1131367.3332353216","2805459.0820090719","4074396.7249240871","8812153.3658798207","354368.03374458815","374027.76136946137","712844.3960418842","1536521.4390940559","2889957.5646851542",,,,"1246780.5926940399","1915837.1328104688","4655809.5113962125",,,,,"3.1628043556933121","4.8600516112933425","11.810750574889571",
"2009",,,,,,,,,,,,"965.91200000000003","677.43799999999999","246917.15","0.94212218649517687","386878.38838735787","271335.40288593055",,,,,,,,,,,,,,,,,,,,,,,,
"2010",,"14.061880846644602","7.0346457217185216","5.0971506580571333","2.2026799005643309",,,"7.0272351249260803","1.9374950636613884","2.8944707574928024",,"971.56799999999998","681.40499999999997","269410.12","1","395374.43957705039","277294.14719299111",,"1111941.6518282737","2781319.1098475559","4030566.1697382652","8708833.3125325534",,,"694597.28732345311","1532072.0499568461","2860999.384039693",,,,,,,,,,,,,,
"2011","18.332036529189089","13.952171692351875","7.082333808761816","5.1686210816674594",,,"4.3798648368372142","6.8698378835900593","1.9137127270943566",,,"977.11800000000005","685.29700000000003","292850.05","1.0257234726688103","416616.2235047319","292191.78043913044","763742.38279415504","1162540.2160314524","2950615.165006232","4306662.7915424788",,"378046.65025035158","364944.54955685773","715521.47878775757","1594567.5384699849",,,,,,,,,,,,,,,
