"v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v40","v41","v42","v43","v44","v45","v46","v47","v48","v49","v50","v51","v52","v53","v54","v55","v56","v57","v58","v59","v60","v61","v62","v63","v64","v65","v66","v67","v68","v69","v70","v71","v72","v73","v74","v75","v76","v77","v78","v79","v80","v81","v82","v83","v84","v85","v86","v87","v88","v89","v90","v91","v92","v93","v94","v95","v96","v97","v98","v99","v100","v101","v102","v103","v104","v105","v106","v107","v108","v109","v110","v111","v112","v113","v114","v115","v116","v117","v118","v119","v120","v121","v122","v123","v124","v125","v126","v127","v128","v129","v130","v131","v132","v133","v134","v135","v136","v137","v138","v139","v140","v141","v142","v143","v144","v145","v146","v147","v148","v149","v150"
"1987","23.112869262695298","13.9564533233643","4.4147858619689897","2.7563319206237802","1.0111044645309399","0.67425280809402499","0.26775532960891701","9.1564159393309978","9.5416674613953099","1.6584539413452095","1.7452274560928402","0.33685165643691495","0.40649747848510798","0.74334913492202292",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3261.73388671875","3261.73388671875",,"343703.53125",,"0.55307075704347264","190526.22923016746",,"190526.22923016746","440360.78273111756","531814.08502548782","841132.50313960609","1050307.0546863882","1926419.2098486756","5101441.3306667563","162766.83439672858","348907.48043674731","454484.48049695813","631957.95159282419","831279.01589581626","1573638.9742022227","319850.57562190952","386568.98286017106","584373.69158282166","696836.69782184251","1136021.0099674717","1484258.5501866904","2899448.1801429857",,,,,,,,,,,,,,,,,,,"2.7786547139854312","1.5622226687040905","176900","213800","323200","385400","628300","820900","1603600"
"1988","22.729600906372099","13.748852729797401","4.3323812484741202","2.6850967407226598","0.94488626718521096","0.61667871475219704","0.23433533310890201","8.9807481765746981","9.4164714813232813","1.6472845077514604","1.7402104735374488","0.32820755243301392","0.38234338164329507","0.71055093407630898",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3290.48706054688","3290.48706054688",,"370905.125",,"0.59011796085771051","191013.3907084899",,"191013.3907084899","434165.81385768991","525242.99565405573","827542.83211292233","1025778.8656515004","1804859.2972893526","4476118.6539934818","163996.4548030232","343088.6320613242","449668.03653933911","629306.79857434437","831008.75774203718","1508052.7021000052","314343.93172914768","381110.24391312839","580900.80752965948","695284.71799713909","1126384.9672256846","1439034.322503462","2591346.3094351087",,,,,,,,,,,,,,,,,,,"2.9528762035460749","1.51206522880671","185500","224900","342800","410300","664700","849200","1529200"
"1989","21.826229095458999","13.1689147949219","4.1272621154785201","2.5529739856720002","0.89995330572128296","0.59063369035720803","0.22942531108856201","8.6573143005370987","9.0416526794433807","1.5742881298065199","1.6530206799507172","0.30931961536407493","0.36120837926864602","0.67052799463272095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3307.66796875","3307.66796875",,"387499.6875",,"0.61700017084972636","189873.41638802341",,"189873.41638802341","414422.06852224778","500085.36844692152","783657.35819476738","969483.78521858284","1708772.0874699526","4356176.7622270333","164923.56615088737","328758.76859757397","429192.37100996013","597830.93117095204","784661.7096557403","1414616.0124969441","301620.66202300234","364343.49716695817","552836.15161765763","658994.95528507652","1055202.3010032019","1338184.3944433751","2467908.5548760109",,,,,,,,,,,,,,,,,,,"2.9537042990427667","1.5118481852601533","186100","224800","341100","406600","651060","825660","1522700"
"1990","22.185382843017599","13.468687057495099","4.2834529876709002","2.6599164009094198","0.93051391839981101","0.60573643445968595","0.23405651748180401","8.7166957855225","9.1852340698241992","1.6235365867614804","1.7294024825096088","0.32477748394012507","0.37167991697788194","0.69645740091800701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3324.42309570312","3324.42309570312",,"408447.375",,"0.64237776236726474","191262.27630328987",,"191262.27630328987","424322.68232154986","515210.34908663435","819262.96886006417","1017483.3312287795","1779722.1016504159","4476618.2317190589","165366.67563459431","333435.01555646525","439197.19414327689","621042.60649134882","826923.63862337044","1480066.9760872333","305583.43003126868","370654.17570272583","571626.26341050363","689314.02352443093","1119652.706142077","1415989.2407358228","2484768.4548074878",,,,,,,,,,,,,,,,,,,"2.9679855080758974","1.5081338230878039","196300","238100","367200","442800","719240","909600","1596160"
"1991","22.269775390625","13.607099533081101","4.3734884262084996","2.7196342945098899","0.94114726781845104","0.60564053058624301","0.22418110072612801","8.6626758575438991","9.2336111068726012","1.6538541316986097","1.778487026691439","0.33550673723220803","0.381459429860115","0.71696616709232308",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3346.38403320312","3346.38403320312",,"428315.75",,"0.66435117375829655","192659.55751362827",,"192659.55751362827","429048.50726857007","524307.55501746049","842594.34498430404","1047927.0795583281","1813210.1617306299","4319063.1668813955","166394.11865196808","333789.45951967954","444735.8575257496","637261.61041028006","856606.30901525251","1534782.0500472116","305260.24188794836","372242.88865330187","584931.60748351447","709564.48730758799","1166551.7133291911","1469192.8584672133","2515085.4939377359",,,,,,,,,,,,,,,,,,,"3.0045404232921933","1.4988674652704843","202800","247300","388600","471400","775000","976060","1670900"
"1992","23.273290634155298","14.8187713623047","5.3811540603637704","3.5805749893188499","1.5011695623397801","1.060786485672","0.50818037986755404","8.4545192718505984","9.4376173019409286","1.8005790710449205","2.0794054269790698","0.44038307666778009","0.55260610580444591","0.99298918247222601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3366.22900390625","3366.22900390625",,"449394.46875",,"0.67991116807386698","196350.44516841086",,"196350.44516841086","456972.09765501996","581934.47076748521","1056591.995272228","1406094.9862232683","2947553.1183868428","9978144.3812846374","167392.48378100985","332009.72454255476","463270.08964129956","707089.00432118773","1020730.4531823746","2166376.3113981993","299156.72745340492","376813.93104012951","637142.05670017214","805399.33113807533","1504608.3194927888","2047767.5104885725","4054206.0925531494",,,,,,,,,,,,,,,,,,,"2.244395230219006","1.8036032087844036","203400","256200","433200","547600","1023000","1392300","2756500"
"1993","25.5685119628906","16.902173995971701","6.9730701446533203","4.96877193450928","2.4005436897277801","1.7648223638534499","0.84032136201858498","8.6663379669188991","9.9291038513183807","2.0042982101440403","2.5682282447814999","0.63572132587433017","0.92450100183486494","1.5602223277091951",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3382.34008789062","3382.34008789062",,"466136.625",,"0.69535536351601923","198193.38062668577",,"198193.38062668577","506750.98235191446","669979.80084041785","1382016.3453158543","1969555.4145267829","4757718.6920920657","16654613.155128442","163909.20265721591","343522.16386341112","491970.66472155886","794477.27610492567","1272514.5951354622","3435841.5295324679","308043.93154733372","392317.38807708985","701367.99913928413","929165.19221630401","2117047.0197517741","3113228.3053859388","7919806.6038547652",,,,,,,,,,,,,,,,,,,"1.8625942588546383","2.1592935957257708","214200","272800","487700","646100","1472100","2164800","5507080"
"1994","26.911699295043899","17.869573593139599","7.4266948699951199","5.2959289550781197","2.5314354896545401","1.8375109434127801","0.84981936216354403","9.0421257019043004","10.442878723144478","2.1307659149170002","2.7644934654235795","0.69392454624176003","0.98769158124923606","1.681616127490996",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3396.19604492188","3396.19604492188",,"475796.15625",,"0.70508016824326158","198696.25327343418",,"198696.25327343418","534725.38191465428","710123.46411014732","1475656.4448730648","2104562.4819526314","5029867.4719775831","16885592.322111584","161359.68342440971","359327.29971916106","518740.218919418","846750.40779349778","1373236.2344463931","3712564.7108515836","321523.72199722065","411868.05852665583","744879.83587534307","994071.35751147754","2307539.0193624967","3388976.3286826587","8183041.1063403795",,,,,,,,,,,,,,,,,,,"1.8776829153053725","2.13936363869185","226700","290400","525200","700900","1627000","2389500","5769700"
"1995","26.861652374267599","17.8271598815918","7.3597350120544398","5.2475118637084996","2.5643794536590598","1.90403604507446","0.95553195476532005","9.034492492675799","10.467424869537361","2.1122231483459402","2.6831324100494398","0.66034340858459983","0.94850409030913996","1.6088474988937398",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3408.93310546875","3408.93310546875",,"500651.28125",,"0.72240015205879415","203300.77031195757",,"203300.77031195757","546099.46195406269","724855.06728040788","1496239.797242552","2133646.4082261482","5213403.1830104375","19426038.246148016","165212.02679616809","367343.8566277175","532008.88478987187","858833.18625895574","1363707.2145300759","3634221.5093284845","328211.44807940611","421788.39405227773","758720.77052856388","1002906.7656412051","2248476.8246114692","3296234.0791509147","8694350.3293847907",,,,,,,,,,,,,,,,,,,"1.8446096725571701","2.1839788632450357","237100","304700","548100","724500","1624300","2381200","6280800"
"1996","27.835321426391602","18.654781341552699","7.9626030921936","5.7937979698181197","3.0003604888915998","2.2930438518524201","1.2334418296814","9.1805400848389027","10.692178249359099","2.1688051223754803","2.7934374809265199","0.70731663703917969","1.0596020221710201","1.7669186592101997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3422.4580078125","3422.4580078125",,"526145.0625",,"0.73149994962156184","210161.45689612321",,"210161.45689612321","584991.17041423335","784103.20496386627","1673432.2665409828","2435266.044597554","6305601.3155902317","25922193.192246288","168513.71094966654","385879.13586460042","561770.93956958712","911598.48848441138","1467682.2268493844","4125979.9959617807","344224.22056251345","444155.87474487937","805085.49632118922","1065481.959914309","2482160.11626432","3720191.6437695757","9876418.9987130053",,,,,,,,,,,,,,,,,,,"1.7357544091022998","2.3591491775361679","251800","324900","588920","779400","1815700","2721320","7224600"
