"Variable","Top 1% income share","Top 0.50% income share","Top 0.25% income share","Top 0.1% income share","Top 0.05% income share","Top 0.01% income share","Top 0.005% income share","Top 1-0.5% income share","Top 0.5-0.1% income share","Top 0.1-0.05% income share","Top 0.05-0.01% income share","Top 0.1-0.01% income share","Number of adults","Number of tax units","Number of tax returns","Fiscal income control","Price index","Average income per tax unit","Average income per adult","Top 1% average income","Top 0.50% average income","Top 0.25% average income","Top 0.1% average income","Top 0.05% average income","Top 0.01% average income","Top 1-0.5% average income","Top 0.5-0.1% average income","Top 0.1-0.05% average income","Top 0.05-0.01% average income","Top 0.1-0.01% average income","P99 income threshold","P99.5 income threshold","P99.9 income threshold","P99.95 income threshold","P99.99 income threshold","Pareto-Lorenz coefficient","Inverted Pareto-Lorenz coefficient",,,,,,,,
"Subvariable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1968",,,"5.0492041242163186","3.3853088217729388","2.3369628944580576","0.8800456647416619","0.5667541845545756",,,"1.0483459273148812","1.4569172297163957","2.5052631570312771","2169.8234123867514","1448.2034123867516",,"704.31634349030469","1","486.33799469477611","324.59615813416553",,,"9822.4792343038298","16464.043038035863","22731.07695533663","42799.96438302911",,,"10197.009120735096","17713.855098413507","13537.829555258837",,,"7620.7153789089734","12117.855408737145","26242.16128788975","2.4101791608146241","1.7091297530040976",,,," 5.411754","15.66959","24.91653"," 53.95869"," 69.02243"
"1969",,,,,,,,,,,,,"2226.974259804746","1484.8342598047461",,"875.71745152354572","1","589.77454604172556","393.23195931340751",,,,,,,,,,,,,,,,,,,,,,,,,,
"1970",,"7.261456433948271","4.6648394080297386","2.5226819646742755","1.6044357615132199",,,,"4.738774469273995","0.91824620316105565",,,"2291.7497961327285","1526.4596361327285","221.55600000000001","810.6","1","531.03271178113016","353.70353315526307",,"7712.1418032001711","9908.7292834780565","13396.266446623296","17040.157466299755",,,"6291.1106423443889","9752.3754269468391",,,,"4490.9561792456343","8685.9146232737003","10945.106070648962",,,,,,"8.4570236062907966","11.917436","16.35665","20.61098",,
"1971",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1972",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1973",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1974",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1976",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1978",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1980",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1981",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1982",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1983",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1984",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1985",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1986",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1987",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1988",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
