"Variable","Top 1% income share","Top 0.50% income share","Top 0.25% income share","Top 0.1% income share","Top 0.05% income share","Top 0.01% income share","Top 0.005% income share","Top 1-0.5% income share","Top 0.5-0.1% income share","Top 0.1-0.05% income share","Top 0.05-0.01% income share","Top 0.1-0.01% income share","Number of adults","Number of tax units","Number of tax returns","Fiscal income control","Price index","Average income per tax unit","Average income per adult","Top 1% average income","Top 0.50% average income","Top 0.25% average income","Top 0.1% average income","Top 0.05% average income","Top 0.01% average income","Top 1-0.5% average income","Top 0.5-0.1% average income","Top 0.1-0.05% average income","Top 0.05-0.01% average income","Top 0.1-0.01% average income","P99 income threshold","P99.5 income threshold","P99.9 income threshold","P99.95 income threshold","P99.99 income threshold","Pareto-Lorenz coefficient","Inverted Pareto-Lorenz coefficient",,,,,,,,
"Subvariable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1954","24.386017548276588","15.657578483472705","10.060923621353288","5.8698876173276675","4.0327078959895841","1.6190361879603916","1.0782000128266847","8.728439064803883","9.7876908661450379","1.8371797213380834","2.4136717080291925","4.2508514293672759","1541.1506255470931","1037.1506255470931","16.643999999999998","91.061608085218268","1","87.799790929291106","59.08676710486511","2141.0872423367086","2749.4642346157407","3533.38796204154","5153.7490557980391","7081.418202935738","14215.103880987885","1532.7102500576761","2148.3930293201661","3226.0799086603402","5297.9967834227009","4146.9318529991679","1241.5645125864048","1755.3648313812491","2851.8708664640735","3872.5761962813699","8179.3826696917531","2.2694944319279595","1.7877151524653141",,"14.140859556104061","19.992813340465911","24.876854","32.48152","44.10690"," 93.15948","123.21110"
"1955","21.443675538646957","13.472019177963801","8.4166084383795354","4.6491682142480837","3.0537271542467113","1.1921882552783116","0.79834244866734105","7.9716563606831556","8.8228509637157178","1.5954410600013724","1.8615388989683996","3.4569799589697721","1578.8358154740285","1062.4158154740285","18.831000000000003","117.45743985617582","1","110.55693839023725","74.394967928258254","2370.7471153864294","2978.8503885004775","3722.0578423067086","5139.9780382847466","6752.2144970529635","13180.468348836874","1762.6438422723811","2438.5684760544095","3527.7415795165311","5145.1510341069861","4246.5902260011781","1473.0939790339921","2031.0387438540101","3203.65049317577","4003.3913281443897","7499.4781397297411","2.4451696431985868","1.6919602862586465",,"13.324301491005055","18.370974933160426","22.511195","28.97738","36.21113"," 67.83363"," 92.55604"
"1956","21.996269290240104","13.605697842567174","8.4624939550734162","4.6734138010904891","3.0545109832728836","1.1909859914473713","0.81258905859703945","8.3905714476729294","8.9322840414766844","1.6189028178176055","1.8635249918255123","3.4824278096431178","1617.049849540422","1087.6698495404221","23.031000000000002","126.20256345202499","1","116.03021220579932","78.044943072034997","2552.2317934824659","3157.3440157621103","3927.6198775898501","5422.5719506604055","7088.3111514819484","13819.035732177277","1947.1195712028216","2591.0370320375359","3756.8327498388644","5405.6300063081162","4489.6315304918644","1658.2801417106896","2180.736578949527","3429.6328255109379","4308.6917961165536","7683.4151454446746","2.4614026434061724","1.6842741146746829",,"14.291796163997768","18.794558223177425","22.757710","29.55810","37.13422"," 66.21909"," 87.85338"
"1957","23.676410315661357","14.649584351422504","9.0967366048064449","4.9985426281753327","3.2653198356378073","1.198435530100652","0.77817615750120794","9.0268259642388529","9.6510417232471717","1.7332227925375254","2.0668843055371555","3.8001070980746805","1656.8429875521167","1113.9629875521168","21.464999999999996","109.51462117737705","1","98.310825764535011","66.09837021381135","2327.6474492726229","2880.425469391113","3577.2307495239766","4914.1085339514602","6420.3257885373714","11781.918658975334","1774.8694291541333","2372.0047032510256","3407.8912793655495","5079.9275709278809","4151.018520059918","1535.0224055426252","2005.8443546278058","3104.0881786794239","3931.3227380395306","7295.0952947943242","2.6331638630499072","1.6123084294386212",,"15.613971234654958","20.403087239161419","24.594951","31.57423","39.98871"," 74.20439"," 98.65162"
"1958","23.196157617469286","14.299391975977295","8.7142067631623501","4.6145403157844553","2.9173586027678891","1.0264085133519345","0.65420904523118084","8.8967656414919905","9.6848516601928409","1.6971817130165663","1.8909500894159545","3.5881318024325211","1698.2109201700946","1141.2909201700945","19.36","105.34263560871506","1","92.301299998965305","62.031538225042056","2141.0355030733167","2639.7049371549551","3217.3304507986413","4259.2807004454116","5385.5198319728233","9473.8840112388898","1642.3660689916787","2234.8109963323413","3133.0415689179986","4363.4287871563074","3679.8803325794693","1362.4851143979986","1857.7652376313431","2866.8564450156537","3523.6844447048738","6125.4175720613475","2.8802523485417661","1.5318435053547745",,"14.761277624619284","20.127183882048993","24.579530","31.05976","38.17589"," 66.36329"," 84.49843"
"1959",,,,,,,,,,,,,"1740.0525510707369","1168.9125510707368",,"135.58953098151443","1","115.99630002887122","77.92266440348584",,,,,,,,,,,,,,,,,,,,,,,,,,
"1960",,,,,,,,,,,,,"1782.914358484559","1197.194358484559",,"147.14272178703993","1","122.90629398997265","82.529326822017538",,,,,,,,,,,,,,,,,,,,,,,,,,
"1961",,,,,,,,,,,,,"1826.1450080491038","1225.4850080491037",,"144.49511556077366","1","117.90851345525714","79.125762151352802",,,,,,,,,,,,,,,,,,,,,,,,,,
"1962",,,,,,,,,,,,,"1869.810484748635","1254.030484748635",,"141.2056654008671","1","112.6014615419586","75.518704463703912",,,,,,,,,,,,,,,,,,,,,,,,,,
"1963",,"10.361901383859081","6.5088977593861763","3.3494402856732859","2.0267967280096975","0.62138090063641882","0.3666337472505915",,"7.0124610981857955","1.3226435576635884","1.4054158273732786","2.7280593850368673","1915.0005596756891","1283.5605596756891","9.4440000000000008","148.90779260455076","1","116.01150524769518","77.758615710153492",,"2404.1995535393353","3020.4281062789632","3885.7360927822806","4702.634784950169","7208.7333614999461",,"2033.8154187285995","3068.8374006143927","4076.1101408127247","3516.514174035874",,"1351.2020973181","2802.3960593351089","3363.9303798013402","5316.7397162574925","3.7259814752725662","1.3668403505566786",,,"11.647138742258019","18.237554","24.15619","28.99652"," 45.82942"," 55.00148"
"1964",,,,,,,,,,,,,"1962.2543966854289","1314.434396685429",,"168.48403258058005","1","128.17987189428496","85.862481880625339",,,,,,,,,,,,,,,,,,,,,,,,,,
"1965",,,,,,,,,,,,,"2011.5639180962924","1346.6439180962925",,"235.02160664819945","1","174.52394318198236","116.83526659725516",,,,,,,,,,,,,,,,,,,,,,,,,,
"1966",,,,,,,,,,,,,"2061.8316197731351","1378.911619773135",,"274.31662049861495","1","198.93705772364643","133.04511283457677",,,,,,,,,,,,,,,,,,,,,,,,,,
"1967",,,,,,,,,,,,,"2115.1326444215842","1413.1326444215842",,"299.01634349030473","1","211.59821384828064","141.3700196434136",,,,,,,,,,,,,,,,,,,,,,,,,,
