"Country or Area";"SNA93 Table Code";"Sub Group";"Item";"SNA93 Item Code";"Year";"Series";"Currency";"SNA System";"Fiscal Year Type";"Value";"Value Footnotes"
"Australia";"4.2";"V.III.1 Capital account - Changes in assets";"Acquisitions less disposals of non-produced non-financial assets";"K.2";"1990";"200";"Australian dollar     ";"1993";"Fiscal year beginning 1 July";"7000000";""
"Australia";"4.2";"V.III.1 Capital account - Changes in assets";"Acquisitions less disposals of non-produced non-financial assets";"K.2";"1990";"100";"Australian dollar                       ";"1993";"Fiscal year beginning 1 July";"7000000";""
"Australia";"4.2";"V.III.1 Capital account - Changes in assets";"NET LENDING (+) / NET BORROWING (-)";"B.9";"1990";"200";"Australian dollar     ";"1993";"Fiscal year beginning 1 July";"14671000000";""
"Australia";"4.2";"V.III.1 Capital account - Changes in assets";"NET LENDING (+) / NET BORROWING (-)";"B.9";"1990";"100";"Australian dollar                       ";"1993";"Fiscal year beginning 1 July";"14671000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in liabilities and net worth";"Net incurrence of liabilities";"F";"1990";"1000";"Australian dollar";"2008";"Fiscal year beginning 1 July";"6166000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in liabilities and net worth";"Net incurrence of liabilities";"F";"1990";"300";"Australian dollar";"1993";"Fiscal year beginning 1 July";"5492000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in liabilities and net worth";"Net incurrence of liabilities";"F";"1990";"200";"Australian dollar     ";"1993";"Fiscal year beginning 1 July";"7181000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in liabilities and net worth";"Net incurrence of liabilities";"F";"1990";"100";"Australian dollar                       ";"1993";"Fiscal year beginning 1 July";"7181000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in liabilities and net worth";"Currency and deposits";"F.2";"1990";"1000";"Australian dollar";"2008";"Fiscal year beginning 1 July";"-142000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in liabilities and net worth";"Currency and deposits";"F.2";"1990";"300";"Australian dollar";"1993";"Fiscal year beginning 1 July";"-194000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in liabilities and net worth";"Currency and deposits";"F.2";"1990";"200";"Australian dollar     ";"1993";"Fiscal year beginning 1 July";"-2000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in liabilities and net worth";"Currency and deposits";"F.2";"1990";"100";"Australian dollar                       ";"1993";"Fiscal year beginning 1 July";"-2000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in liabilities and net worth";"Securities other than shares";"F.3";"1990";"1000";"Australian dollar";"2008";"Fiscal year beginning 1 July";"-367000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in liabilities and net worth";"Securities other than shares";"F.3";"1990";"300";"Australian dollar";"1993";"Fiscal year beginning 1 July";"-367000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in liabilities and net worth";"Securities other than shares";"F.3";"1990";"200";"Australian dollar     ";"1993";"Fiscal year beginning 1 July";"2986000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in liabilities and net worth";"Securities other than shares";"F.3";"1990";"100";"Australian dollar                       ";"1993";"Fiscal year beginning 1 July";"2986000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in liabilities and net worth";"Loans";"F.4";"1990";"1000";"Australian dollar";"2008";"Fiscal year beginning 1 July";"404000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in liabilities and net worth";"Loans";"F.4";"1990";"300";"Australian dollar";"1993";"Fiscal year beginning 1 July";"442000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in liabilities and net worth";"Loans";"F.4";"1990";"200";"Australian dollar     ";"1993";"Fiscal year beginning 1 July";"1362000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in liabilities and net worth";"Loans";"F.4";"1990";"100";"Australian dollar                       ";"1993";"Fiscal year beginning 1 July";"1362000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in liabilities and net worth";"Shares and other equity";"F.5";"1990";"1000";"Australian dollar";"2008";"Fiscal year beginning 1 July";"1165000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in liabilities and net worth";"Shares and other equity";"F.5";"1990";"300";"Australian dollar";"1993";"Fiscal year beginning 1 July";"476000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in liabilities and net worth";"Shares and other equity";"F.5";"1990";"200";"Australian dollar     ";"1993";"Fiscal year beginning 1 July";"2098000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in liabilities and net worth";"Shares and other equity";"F.5";"1990";"100";"Australian dollar                       ";"1993";"Fiscal year beginning 1 July";"2098000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in liabilities and net worth";"Insurance technical reserves";"F.6";"1990";"1000";"Australian dollar";"2008";"Fiscal year beginning 1 July";"179000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in liabilities and net worth";"Insurance technical reserves";"F.6";"1990";"300";"Australian dollar";"1993";"Fiscal year beginning 1 July";"179000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in liabilities and net worth";"Insurance technical reserves";"F.6";"1990";"200";"Australian dollar     ";"1993";"Fiscal year beginning 1 July";"0";""
"Australia";"4.2";"V.III.2 Financial account - Changes in liabilities and net worth";"Insurance technical reserves";"F.6";"1990";"100";"Australian dollar                       ";"1993";"Fiscal year beginning 1 July";"0";""
"Australia";"4.2";"V.III.2 Financial account - Changes in liabilities and net worth";"Other accounts payable";"F.8";"1990";"1000";"Australian dollar";"2008";"Fiscal year beginning 1 July";"4958000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in liabilities and net worth";"Other accounts payable";"F.8";"1990";"300";"Australian dollar";"1993";"Fiscal year beginning 1 July";"4956000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in liabilities and net worth";"Other accounts payable";"F.8";"1990";"200";"Australian dollar     ";"1993";"Fiscal year beginning 1 July";"737000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in liabilities and net worth";"Other accounts payable";"F.8";"1990";"100";"Australian dollar                       ";"1993";"Fiscal year beginning 1 July";"737000000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in liabilities and net worth";"Adjustment to reconcile Net Lending of Financial Account and Capital Account";"";"1990";"1000";"Australian dollar";"2008";"Fiscal year beginning 1 July";"1146970000";""
"Australia";"4.2";"V.III.2 Financial account - Changes in liabilities and net worth";"Adjustment to reconcile Net Lending of Financial Account and Capital Account";"";"1990";"300";"Australian dollar";"1993";"Fiscal year beginning 1 July";"283000000";""
