alpha2;year;p2;ahweal992j;ahwnfa992j;ahwhou992j;ahwbus992j;ahwfin992j;ahwfix992j;ahwcud992j;ahwbol992j;ahwequ992j;ahwpen992j;ahwdeb992j;ahwfie992j
"FR";1997;"p50p60";56795.8;48298.302;46775.839;1522.4633;24953.944;12433.667;10908.8;1524.8669;850.65809;11669.619;16456.445;14045.14
"FR";1998;"p50p60";57876.16;48730.566;47332.626;1397.9397;24206.861;12286.721;11250.708;1036.0133;852.68268;11067.457;15061.271;12956.15
"FR";1999;"p50p60";63381.63;54935.813;53478.11;1457.7029;25119.98;13020.708;11948.187;1072.5214;882.34082;11216.931;16674.166;13171.79
"FR";2000;"p50p60";69140.77;63184.439;61655.439;1529.0001;25730.37;13437.999;12295.302;1142.6975;1120.2219;11172.149;19774.039;13435.07
"FR";2001;"p50p60";73371.28;68652.95;67135.105;1517.8446;25541.602;13193.262;11931.903;1261.3586;1157.6082;11190.732;20823.273;13609.7
"FR";2002;"p50p60";78867.28;75485.787;73966.826;1518.9609;25508.727;13108.372;11921.486;1186.8861;1144.2863;11256.069;22127.232;13587.24
"FR";2003;"p50p60";86413.48;85769.593;84051.227;1718.3662;24892.81;13080.319;12042.766;1037.553;1130.1011;10682.391;24248.917;12850.04
"FR";2004;"p50p60";99327.02;101394.41;99422.929;1971.4785;24681.527;13423.541;12471.957;951.58377;1232.5519;10025.434;26748.91;12209.57
"FR";2005;"p50p60";112893.8;111539.87;109402.06;2137.813;29870.971;14424.988;13200.682;1224.3061;870.182;14575.801;28517.026;16670.29
"FR";2006;"p50p60";122104.9;125498.15;123420.47;2077.6717;30609.803;14492.475;13280.499;1211.9756;864.92196;15252.407;34003.092;17329.3
"FR";2007;"p50p60";126135.4;137193.37;135128.35;2065.0188;27456.943;14136.649;13056.635;1080.0149;732.8377;12587.456;38514.917;14400.31
"FR";2008;"p50p60";120650;133919.4;131755.27;2164.132;26012.813;14979.203;13061.053;1918.1503;900.07766;10133.533;39282.229;12951.76
"FR";2009;"p50p60";112721.1;125435.21;123083.03;2352.1775;26044.508;16183.482;14095.438;2088.0447;943.9122;8917.1135;38758.61;11949.07
"FR";2010;"p50p60";111065.3;126811.51;124158.15;2653.3575;24558.305;16402.667;14614.657;1788.0096;647.29285;7508.3455;40304.489;9943.647
"FR";2011;"p50p60";118233.9;132399.74;129597.59;2802.1542;23423.654;16048.438;14569.526;1478.9121;556.97142;6818.2449;37589.542;8854.129
"FR";2012;"p50p60";119704.4;132026.91;129207.62;2819.291;23010.47;16302.512;14813.804;1488.7087;511.48994;6196.468;35332.937;8196.666
"FR";2013;"p50p60";118040.7;129107.73;126442.53;2665.2021;23373.058;16509.954;15093.868;1416.0866;552.07359;6311.0298;34440.076;8279.189
"FR";2014;"p50p60";115542.7;126406.52;123867.73;2538.7973;23672.592;16636.371;15185.478;1450.893;571.0591;6465.1626;34536.457;8487.114
"FR";1970;"p60p70";40100.95;34049.784;31278.43;2771.3537;11340.719;9744.3563;8999.2244;745.13184;473.48101;1122.8815;5289.5491;2341.494
"FR";1971;"p60p70";42296.74;35759.167;32939.887;2819.2805;12300.588;10543.841;9648.9161;894.92503;466.02069;1290.726;5763.0157;2651.672
"FR";1972;"p60p70";44378.4;37504.598;34557.903;2946.695;13456.132;11451.775;10391.316;1060.4584;540.40876;1463.9482;6582.3262;3064.815
"FR";1973;"p60p70";46966.87;39925.332;36874.135;3051.1971;14517.825;12205.127;10998.176;1206.9506;678.08576;1634.6126;7476.2864;3519.649
"FR";1974;"p60p70";50579.82;43514.969;40419.521;3095.4485;14880.217;12502.852;11176.738;1326.1143;616.5373;1760.8268;7815.369;3703.478
"FR";1975;"p60p70";52890.17;45648.203;42526.004;3122.199;15159.203;12744.004;11317.696;1426.308;560.35263;1854.8463;7917.2345;3841.507
"FR";1976;"p60p70";54673.55;47690.639;44458.566;3232.0731;15501.68;13083.656;11634.522;1449.1343;542.55098;1875.4729;8518.7666;3867.158
"FR";1977;"p60p70";57032.36;50317.692;46967.608;3350.0837;16034.158;13495.474;11983.764;1511.7097;475.99031;2062.6933;9319.4954;4050.393
"FR";1978;"p60p70";62008.09;54827.817;51318.777;3509.0393;16400.743;13730.832;12071.452;1659.3794;474.09497;2195.8162;9220.4745;4329.291
"FR";1979;"p60p70";66724.2;59635.575;55968.234;3667.3409;16586.911;13897.531;12066.548;1830.9827;486.56351;2202.8169;9498.2882;4520.364
"FR";1980;"p60p70";68412.7;61533.428;57887.139;3646.2889;17188.973;14448.001;12203.388;2244.6131;547.05356;2193.9184;10309.703;4985.585
"FR";1981;"p60p70";69778.5;62643.642;59090.049;3553.593;17708.199;14955.713;12451.903;2503.8097;561.70703;2190.7791;10573.344;5256.296
"FR";1982;"p60p70";69606.97;62039.16;58607.733;3431.4267;18458.117;15689.601;12975.962;2713.6391;590.42619;2178.0888;10890.304;5482.154
"FR";1983;"p60p70";69797.51;61701.678;58315.958;3385.7196;19520.868;16446.756;13512.487;2934.2695;846.98431;2227.1274;11425.035;6008.381
"FR";1984;"p60p70";69784.66;61250.307;57941.367;3308.9398;20767.114;17119.402;13927.596;3191.8059;1281.4976;2366.2142;12232.763;6839.518
"FR";1985;"p60p70";69265.56;60470.983;57365.701;3105.2827;21501.484;17280.398;14037.355;3243.0427;1592.6162;2628.4702;12706.906;7464.128
"FR";1986;"p60p70";70007.39;60272.663;57352.006;2920.6571;22300.161;17268.536;14043.892;3224.6437;2089.6343;2941.9909;12565.435;8256.27
"FR";1987;"p60p70";72390.39;62183.534;59365.953;2817.581;23128.163;17694.534;14345.427;3349.107;2048.7478;3384.8807;12921.303;8782.735
"FR";1988;"p60p70";74528.98;64366.373;61671.923;2694.4493;23853.848;18033.248;14551.527;3481.721;1914.7964;3905.8039;13691.236;9302.32
"FR";1989;"p60p70";79147.51;68320.416;65052.423;3267.9923;25805.715;18222.78;14349.114;3873.6659;2564.0859;5018.8493;14978.627;11456.6
"FR";1990;"p60p70";82918.21;71997.352;68084.38;3912.9728;27141.227;18173.54;13947.79;4225.7494;2680.8485;6286.8383;16220.367;13193.44
"FR";1991;"p60p70";82602.35;75394.301;72853.72;2540.5808;25164.548;16230.667;12760.579;3470.0888;2035.8594;6898.0211;17956.496;12403.97
"FR";1992;"p60p70";78936.07;75074.393;71949.467;3124.9252;24496.379;15601.357;12540.042;3061.3145;2110.0653;6784.9571;20634.7;11956.34
"FR";1993;"p60p70";77391.44;68562.462;65503.018;3059.4437;26741.531;16495.816;13355.245;3140.5707;1753.5238;8492.1915;17912.553;13386.29
"FR";1994;"p60p70";78344.17;67562.883;64452.105;3110.7784;27970.285;16924.748;13122.089;3802.6598;2135.4882;8910.0483;17188.998;14848.2
"FR";1995;"p60p70";78980.51;68319.087;64908.449;3410.6384;28392.55;17553.899;13088.904;4464.9947;2076.7152;8761.9363;17731.128;15303.65
"FR";1996;"p60p70";76490.17;67401.353;64856.714;2544.6385;27809.553;16242.305;13035.959;3206.346;1743.7898;9823.4576;18720.73;14773.59
"FR";1997;"p60p70";77292.27;68892.605;66199.32;2693.2849;28912.157;16238.841;13730.656;2508.1841;1557.1251;11116.192;20512.493;15181.5
"FR";1998;"p60p70";79342.7;74336.687;71589.948;2746.7393;28725.978;15193.907;13504.007;1689.9;1196.041;12336.03;23719.966;15221.97
"FR";1999;"p60p70";86365.43;80249.414;77545.929;2703.4843;31278.393;16157.092;14236.024;1921.0678;1746.6726;13374.628;25162.376;17042.37
"FR";2000;"p60p70";93036.09;86527.304;84124.298;2403.0056;32101.232;16107.164;14381.796;1725.3682;1753.8646;14240.203;25592.45;17719.44
"FR";2001;"p60p70";98179.21;89630.268;87195.49;2434.7778;34301.05;15901.916;14296.595;1605.3209;1744.3875;16654.747;25752.109;20004.46
"FR";2002;"p60p70";105257.9;97974.703;95390.64;2584.0635;33676.694;16158.917;14854.944;1303.9733;1459.2589;16058.518;26393.526;18821.75
"FR";2003;"p60p70";115900.5;107965.8;104981.48;2984.3194;35633.313;17136.362;15844.064;1292.2982;1539.8967;16957.054;27698.589;19789.25
"FR";2004;"p60p70";131376.3;119152.23;115745.94;3406.2826;40408.448;18024.142;16612.528;1411.6137;1846.5193;20537.786;28184.402;23795.92
"FR";2005;"p60p70";147649.1;141411.75;137657.29;3754.4541;36895.475;18527.68;16248.984;2278.6955;1519.635;16848.16;30658.159;20646.49
"FR";2006;"p60p70";159952.9;150624.54;146908.34;3716.1982;38009.41;18366.816;15840.876;2525.9397;1488.9015;18153.693;28681.031;22168.54
"FR";2007;"p60p70";165774.2;156812.34;152987.26;3825.0772;37363.282;18404.109;15966.158;2437.9516;1553.8038;17405.368;28401.382;21397.13
"FR";2008;"p60p70";162245.5;154512.45;150545.23;3967.2174;34635.369;19421.887;16543.65;2878.2375;1500.9406;13712.541;26902.358;18091.72
"FR";2009;"p60p70";153676.4;152339.32;148903.61;3435.7176;29992.181;17847.764;15898.393;1949.3706;1071.8376;11072.579;28655.071;14093.79
"FR";2010;"p60p70";152491.5;158134.5;154562.28;3572.2213;25682.696;16685.736;15113.341;1572.3954;719.85357;8277.1062;31325.729;10569.36
"FR";2011;"p60p70";158229.5;162976.39;159113.16;3863.2293;26958.48;17198.862;15623.775;1575.0873;704.0535;9055.5645;31705.333;11334.71
"FR";2012;"p60p70";158775.9;161681.42;157867.81;3813.6101;27671.348;17820.147;16082.289;1737.8578;653.41679;9197.784;30576.833;11589.06
"FR";2013;"p60p70";156408.9;158100.58;154495.4;3605.1763;28112.512;18039.416;16386.335;1653.0817;705.26147;9367.8347;29804.158;11726.18
"FR";2014;"p60p70";153404.7;154786.59;151352.4;3434.1908;28505.642;18179.503;16485.79;1693.7133;729.51506;9596.6236;29887.566;12019.85
"FR";1970;"p70p80";57730.95;48252.369;40643.239;7609.1307;15086.955;12217.188;10258.54;1958.6473;1244.5882;1625.1791;5608.3751;4828.415
"FR";1971;"p70p80";60313.11;50097.491;42576.477;7521.0134;16098.562;13285.99;11095.681;2190.3094;1140.5754;1671.9959;5882.9423;5002.881
"FR";1972;"p70p80";63061.23;52068.653;44429.078;7639.5742;17455.302;14503.272;12054.137;2449.1347;1248.0771;1703.9533;6462.7269;5401.165
"FR";1973;"p70p80";66520.27;54839.406;47149.964;7689.4422;18733.45;15526.176;12869.798;2656.378;1492.3992;1714.8752;7052.5859;5863.652
"FR";1974;"p70p80";70875.95;58983.758;51399.251;7584.5073;18967.392;15995.433;13193.105;2802.3287;1302.8591;1669.099;7075.1939;5774.287
"FR";1975;"p70p80";73468;61215.659;53776.453;7439.2061;19122.256;16387.078;13476.171;2910.907;1143.606;1591.572;6869.9174;5646.085
"FR";1976;"p70p80";75959.03;63289.89;55493.66;7796.2301;20006.41;17211.643;14196.108;3015.5352;1129.0062;1665.76;7337.2653;5810.302
"FR";1977;"p70p80";79152.19;66022.586;57849.701;8172.8849;21097.463;18193.425;14989.191;3204.2339;1008.9135;1895.124;7967.8603;6108.271
"FR";1978;"p70p80";85348.56;71003.018;62352.319;8650.6985;22170.946;19062.708;15483.428;3579.2796;1022.6223;2085.616;7825.3984;6687.518
"FR";1979;"p70p80";91305.7;76186.146;67057.095;9129.0506;23121.853;19893.014;15877.384;4015.63;1067.1095;2161.7292;8002.2924;7244.469
"FR";1980;"p70p80";93411.2;78512.457;69515.795;8996.6615;23633.3;20288.36;15716.381;4571.9793;1114.2756;2230.664;8734.554;7916.919
"FR";1981;"p70p80";94701.08;79819.57;71126.58;8692.9892;23889.545;20503.343;15701.52;4801.8229;1077.2454;2308.9572;9008.0394;8188.025
"FR";1982;"p70p80";94142.73;79038.75;70714.268;8324.4828;24433.925;20976.13;16026.215;4949.915;1076.989;2380.8061;9329.9439;8407.71
"FR";1983;"p70p80";94326.66;78680.53;70533.117;8147.413;25488.86;21481.793;16351.523;5130.2698;1480.8653;2526.2018;9842.732;9137.337
"FR";1984;"p70p80";94416.31;78166.405;70266.094;7900.3108;26847.313;21899.881;16518.526;5381.355;2160.5931;2786.8381;10597.407;10328.79
"FR";1985;"p70p80";93397.02;76384.427;69221.562;7162.8653;28381.153;22385.222;16656.944;5728.2785;2808.6708;3187.26;11368.556;11724.21
"FR";1986;"p70p80";93880.7;75329.331;68826.222;6503.1092;30177.4;22611.1;16672.838;5938.2615;3895.5971;3670.7035;11626.028;13504.56
"FR";1987;"p70p80";96368.71;76867.126;70816.895;6050.2311;31883.692;23442.712;17039.025;6403.6871;4097.9312;4343.0488;12382.105;14844.67
"FR";1988;"p70p80";98603.88;78682.372;73108.02;5574.3519;33531.733;24180.105;17292.044;6888.0604;4200.9173;5150.7108;13610.218;16239.69
"FR";1989;"p70p80";104569.6;82909.339;76776.425;6132.9137;35155.024;24153.126;17319.913;6833.2126;5266.0646;5735.8337;13494.787;17835.11
"FR";1990;"p70p80";108916.6;86859.506;80021.302;6838.2037;35197.121;23820.685;17105.164;6715.5212;5146.7723;6229.6637;13139.988;18091.96
"FR";1991;"p70p80";106877;85001.523;78986.111;6015.4118;34181.683;21345.123;15670.443;5674.6803;4401.9185;8434.6416;12306.229;18511.24
"FR";1992;"p70p80";109567.4;89333.493;81776.545;7556.9478;36218.727;21894.291;15084.965;6809.3269;5330.953;8993.4822;15984.838;21133.76
"FR";1993;"p70p80";108202.5;87662.127;80436.027;7226.1001;35518.67;20815.913;14356.602;6459.3116;4481.3346;10221.422;14978.266;21162.07
"FR";1994;"p70p80";109215.6;84855.974;78416.123;6439.8506;39494.8;23503.174;15202.795;8300.3786;4006.5199;11985.106;15135.161;24292
"FR";1995;"p70p80";109983.5;83864.29;77638.314;6225.9755;41013.656;23838.585;15645.278;8193.3064;3714.9082;13460.163;14894.415;25368.38
"FR";1996;"p70p80";106778.3;81962.253;76700.613;5261.6403;40070.053;21743.748;16169.675;5574.0738;3232.8462;15093.459;15254.044;23900.38
"FR";1997;"p70p80";107235.9;81434.606;75857.961;5576.6446;40989.412;20780.773;16293.778;4486.9946;2746.1356;17462.504;15188.134;24695.63
"FR";1998;"p70p80";109384.6;82989.214;77794.557;5194.6566;41081.188;20461.525;16891.38;3570.1443;2610.6718;18008.991;14685.763;24189.81
"FR";1999;"p70p80";117454.7;88290.036;83285.487;5004.5494;43916.914;21176.674;18103.304;3073.3699;2799.0958;19941.144;14752.27;25813.61
"FR";2000;"p70p80";125870.5;94663.854;89688.369;4975.4851;46107.083;20656.521;17896.542;2759.9793;2975.4425;22475.12;14900.469;28210.54
"FR";2001;"p70p80";132109;103435.81;98444.869;4990.9409;44476.493;20182.496;17663.111;2519.3847;2928.2682;21365.729;15803.338;26813.38
"FR";2002;"p70p80";140305.2;112664.82;107302.47;5362.3495;45923.662;20784.113;18140.891;2643.2218;2954.4591;22185.091;18283.28;27782.77
"FR";2003;"p70p80";153494.9;131179.84;125703.55;5476.2843;43663.917;20599.593;18367.662;2231.9306;2693.753;20370.571;21348.835;25296.26
"FR";2004;"p70p80";171996.9;149089;143434.03;5654.968;44476.12;20500.932;18472.563;2028.3693;2930.3061;21044.882;21568.256;26003.56
"FR";2005;"p70p80";193383.6;170464.26;164329.62;6134.6404;45942.423;22020.526;18925.783;3094.7422;2212.0164;21709.881;23023.058;27016.64
"FR";2006;"p70p80";210340.9;191403.67;185306.32;6097.3506;44767.248;23088.526;19512.769;3575.757;2559.7023;19119.02;25829.981;25254.48
"FR";2007;"p70p80";218133.5;201288.1;195155.66;6132.437;45088.437;23178.395;19370.663;3807.7323;2459.5222;19450.519;28243.046;25717.77
"FR";2008;"p70p80";212438.7;189649.95;183607.58;6042.3697;50606.55;25449.292;20077.517;5371.7743;2780.5871;22376.672;27817.845;30529.03
"FR";2009;"p70p80";201542.8;174709.17;168481.47;6227.7003;53594.509;27201.635;21805.103;5396.5319;2538.0036;23854.871;26760.883;31789.41
"FR";2010;"p70p80";203038.2;176126.43;169115.01;7011.4145;51265.687;27783.542;23404.469;4379.0723;1803.9878;21678.158;24353.89;27861.21
"FR";2011;"p70p80";208292.2;180556.27;172915.78;7640.4874;53582.031;28528.865;24087.076;4441.7894;1787.3407;23265.825;25846.111;29494.96
"FR";2012;"p70p80";209022.8;180193.96;172786.49;7407.47;54572.23;29433.641;24539.639;4894.0017;1706.8523;23431.737;25743.387;30032.59
"FR";2013;"p70p80";206397.8;176124.56;169121.95;7002.613;55366.067;29658.838;25003.575;4655.2627;1842.2807;23864.948;25092.852;30362.49
"FR";2014;"p70p80";203480.7;172365.28;165694.78;6670.4944;56278.449;29925.017;25155.331;4769.6858;1905.6358;24447.797;25163.075;31123.12
"FR";1970;"p80p90";99024.95;78334.4;42096.992;36237.408;26219.85;19232.536;11675.614;7556.9223;4801.9142;2185.3999;5529.3023;14544.24
"FR";1971;"p80p90";100922;79660.441;44407.4;35253.041;27109.864;20648.656;12735.35;7913.3061;4120.7523;2340.4562;5848.3421;14374.52
"FR";1972;"p80p90";104416.8;81890.527;46667.309;35223.219;29007.636;22277.85;13950.48;8327.37;4243.621;2486.1648;6481.3624;15057.16
"FR";1973;"p80p90";108553.7;84731.151;49879.764;34851.387;30961.562;23553.407;15016.063;8537.3435;4796.4276;2611.7273;7138.9971;15945.5
"FR";1974;"p80p90";111999;88538.788;54769.146;33769.643;30693.087;24062.514;15516.72;8545.7939;3973.112;2657.461;7232.9001;15176.37
"FR";1975;"p80p90";113540.8;90238.126;57722.719;32515.406;30399.806;24425.955;15974.482;8451.4726;3320.3243;2653.5267;7097.1081;14425.32
"FR";1976;"p80p90";117212.1;93754.24;60402.94;33351.3;30957.721;25151.46;16640.832;8510.6281;3186.3504;2619.9103;7499.8567;14316.89
"FR";1977;"p80p90";121845.4;98143.868;63872.727;34271.142;31758.741;26176.482;17375.032;8801.4495;2771.3023;2810.9568;8057.1787;14383.71
"FR";1978;"p80p90";130617.1;105463.02;69857.283;35605.733;32981.177;27327.974;17748.111;9579.8629;2737.0262;2916.1776;7827.1258;15233.07
"FR";1979;"p80p90";139385.8;113187.19;76260.466;36926.725;34114.427;28480.633;17996.875;10483.758;2785.9433;2847.8513;7915.8039;16117.55
"FR";1980;"p80p90";142113.6;115408.38;79908.213;35500.168;35405.868;29606.366;17871.268;11735.099;2860.0598;2939.4414;8700.6696;17534.6
"FR";1981;"p80p90";142888.6;116104.14;82644.726;33459.417;35819.577;30052.455;17911.445;12141.009;2723.7255;3043.3974;9035.1043;17908.13
"FR";1982;"p80p90";141403.6;114310.67;83059.265;31251.406;36514.729;30689.041;18340.346;12348.694;2686.7952;3138.8931;9421.7888;18174.38
"FR";1983;"p80p90";141975.1;113581.99;83751.924;29830.069;38399.665;31418.095;18772.573;12645.523;3650.1621;3331.4081;10006.511;19627.09
"FR";1984;"p80p90";142856.3;112611.24;84404.256;28206.979;41090.381;32146.278;19025.121;13121.157;5268.0936;3676.0094;10845.298;22065.26
"FR";1985;"p80p90";141109.4;108207.19;83040.731;25166.463;44129.38;33091.798;19004.769;14087.028;6887.6983;4149.8839;11227.178;25124.61
"FR";1986;"p80p90";141643.1;104811.6;82355.944;22455.654;47892.634;33555.442;18845.435;14710.007;9617.3552;4719.8365;11061.169;29047.2
"FR";1987;"p80p90";144351.3;104922.65;84419.42;20503.226;50757.538;35042.986;19080.45;15962.536;10197.264;5517.2886;11328.855;31677.09
"FR";1988;"p80p90";146819;105301.41;86792.362;18509.046;53469.142;36448.36;19184.699;17263.661;10553.303;6467.4797;11951.541;34284.44
"FR";1989;"p80p90";157632.8;111368.11;91213.276;20154.834;59558.239;36942.258;19941.117;17001.141;14430.383;8185.5982;13293.601;39617.13
"FR";1990;"p80p90";165375.1;117501.9;95214.439;22287.465;62499.311;36995.014;20411.485;16583.529;15385.857;10118.441;14626.158;42087.83
"FR";1991;"p80p90";161128.5;111328.03;92482.146;18845.882;63521.6;37839.655;21020.109;16819.546;14594.913;11087.031;13721.112;42501.49
"FR";1992;"p80p90";167146.8;118352.87;98278.258;20074.612;65343.523;36615.03;18135.851;18479.179;16285.9;12442.592;16549.597;47207.68
"FR";1993;"p80p90";165403.2;108628.41;90690.214;17938.193;72839.517;39320.696;19005.015;20315.681;18183.222;15335.599;16064.766;53834.5
"FR";1994;"p80p90";162760.5;112317.25;94161.11;18156.135;67653.508;38039.613;18835.405;19204.207;12000.857;17613.038;17210.229;48818.1
"FR";1995;"p80p90";163073.8;111965.44;94616.164;17349.274;68935.993;38960.062;19073.241;19886.821;10711.379;19264.552;17827.62;49862.75
"FR";1996;"p80p90";156088.1;112904.16;97106.134;15798.024;62134.392;33116.973;19398.688;13718.285;8086.095;20931.324;18950.48;42735.7
"FR";1997;"p80p90";157834.7;113213.56;96958.689;16254.875;64491.956;31812.331;20138.28;11674.05;7785.5449;24894.081;19870.828;44353.68
"FR";1998;"p80p90";160169.3;113843.13;97846.447;15996.68;67160.918;30395.422;20892.708;9502.7135;7555.7869;29209.709;20834.769;46268.21
"FR";1999;"p80p90";171834.5;120773.08;104318.14;16454.94;73064.163;29869.941;21308.894;8561.0469;8111.6272;35082.594;22002.76;51755.27
"FR";2000;"p80p90";184185.9;129376.32;113091.39;16284.934;77823.101;28868.226;21154.559;7713.6677;8712.2821;40242.592;23013.536;56668.54
"FR";2001;"p80p90";191456.7;135830.13;119124.94;16705.186;78786.991;27602.697;20608.117;6994.5798;8027.787;43156.507;23160.463;58178.87
"FR";2002;"p80p90";199676;147613.03;131330.74;16282.291;75573.95;27319.166;21279.749;6039.4167;7114.2568;41140.527;23511.025;54294.2
"FR";2003;"p80p90";216568.8;161984.95;145632.54;16352.411;77926.759;28350.327;22957.491;5392.8361;6726.8786;42849.554;23342.94;54969.27
"FR";2004;"p80p90";241346.1;187894.77;169586.5;18308.272;77493.912;28797.904;23818.17;4979.7336;7697.3289;40998.679;24042.544;53675.74
"FR";2005;"p80p90";269622.6;211282.99;193137.34;18145.65;83854.147;32097.797;24333.87;7763.9266;5779.9112;45976.439;25514.508;59520.28
"FR";2006;"p80p90";293361.9;228210.2;208751.62;19458.582;90948.653;34443.638;25076.687;9366.9504;6571.6177;49933.397;25796.991;65871.96
"FR";2007;"p80p90";303280.9;239030.69;218771.23;20259.461;90014.973;34996.208;25688.142;9308.0663;6758.0081;48260.757;25764.772;64326.83
"FR";2008;"p80p90";298622.8;236861.02;217055.14;19805.872;87196.175;37899.167;26805.177;11093.991;6486.454;42810.554;25434.392;60391
"FR";2009;"p80p90";289296.8;232516.03;213077.29;19438.747;81688.775;39296.004;28799.829;10496.176;5414.5968;36978.174;24908.016;52888.95
"FR";2010;"p80p90";296786.4;241818.81;220480.08;21338.728;81771.169;40896.615;31391.717;9504.8977;4136.5506;36738.004;26803.552;50379.45
"FR";2011;"p80p90";302172.6;247079.39;225797.82;21281.567;82154.812;40792.445;31556.833;9235.6118;3903.2043;37459.163;27061.576;50597.98
"FR";2012;"p80p90";302265.8;244650.78;224030.52;20620.267;84275.797;42355.82;32192.84;10162.981;3866.2885;38053.688;26660.747;52082.96
"FR";2013;"p80p90";298270.6;238858.67;219365.41;19493.262;85398.964;42468.675;32801.464;9667.2108;4173.0551;38757.233;25987.031;52597.5
"FR";2014;"p80p90";294398.3;233532.33;214963.59;18568.74;86925.734;42905.374;33000.55;9904.8244;4316.5645;39703.795;26059.758;53925.18
"FR";1970;"p90p100";377846.2;258240.84;74763.751;183477.09;131149.03;83679.356;15673.432;68005.929;43213.181;4256.4902;11543.7;115475.6
"FR";1971;"p90p100";379371.7;263869.93;79634.004;184235.93;128022.16;86989.674;16904.614;70085.057;36495.892;4536.6011;12520.463;111117.5
"FR";1972;"p90p100";393072.9;274626.97;84496.808;190130.16;132682.67;90897.766;18313.405;72584.357;36988.929;4795.9783;14236.71;114369.3
"FR";1973;"p90p100";408423.2;285627.72;91183.803;194443.93;138894.21;92734.569;19498.216;73236.358;41145.454;5014.1815;16098.704;119396
"FR";1974;"p90p100";409915.2;295968.23;101082.71;194885.55;130701.94;92081.033;19932.838;72148.196;33543.154;5077.7557;16754.992;110769.1
"FR";1975;"p90p100";408066.3;301804.64;107551.71;194252.94;123161.16;90526.791;20304.672;70222.119;27588.116;5046.2488;16899.458;102856.5
"FR";1976;"p90p100";410568.7;306315.7;113892.79;192422.91;122427.98;91144.591;21384.841;69759.752;26117.816;5165.5667;18174.969;101043.1
"FR";1977;"p90p100";414985.7;312949.1;121872.17;191076.93;121910.79;93748.57;22574.755;71173.815;22410.419;5751.7962;19874.178;99336.03
"FR";1978;"p90p100";434954;326826.97;134876.26;191950.71;127781.09;99745.038;23314.228;76430.814;21836.756;6199.293;19654.046;104466.9
"FR";1979;"p90p100";455996.1;341577.94;148984.9;192593.06;134655.2;106428.14;23902.473;82525.664;21930.288;6296.7752;20237.089;110752.7
"FR";1980;"p90p100";459674.9;344291.22;156433.08;187858.14;137397.01;109914.26;23931.894;85982.358;20955.485;6527.2724;22013.344;113465.1
"FR";1981;"p90p100";451773.3;341802.16;162121.08;179681.09;132596.31;107188.17;24181.961;83006.213;18621.692;6786.4466;22625.167;108414.4
"FR";1982;"p90p100";438374.9;333608.07;163264.78;170343.28;128120.89;103914.55;24961.546;78952.997;17178.379;7027.9694;23353.999;103159.3
"FR";1983;"p90p100";436343.3;330028.59;164957.59;165071.01;130868.76;101512.4;25754.638;75757.763;21867.67;7488.6818;24554.048;105114.1
"FR";1984;"p90p100";437148;325483.74;166984.79;158498.94;138011.55;100092.23;26308.25;73783.974;29623.98;8295.3483;26347.339;111703.3
"FR";1985;"p90p100";438113.5;317413.92;167837.69;149576.23;148775.02;96860.506;26356.385;70504.124;42797.324;9117.1828;28075.407;122418.6
"FR";1986;"p90p100";450886.1;310806.06;169347.85;141458.22;168596.09;92160.659;26211.425;65949.231;66340.823;10094.602;28516.058;142384.7
"FR";1987;"p90p100";464062.4;313143.85;175937.72;137206.13;181079.29;91062.688;26615.64;64447.05;78529.977;11486.619;30160.782;154463.6
"FR";1988;"p90p100";476581.7;315157.43;183246.55;131910.9;194343.87;89883.309;26839.21;63044.1;91354.633;13105.933;32919.601;167504.7
"FR";1989;"p90p100";507563.9;318371.39;194173.33;124198.07;225166.65;90354.407;27224.824;63129.583;119482.14;15330.104;35974.166;197941.8
"FR";1990;"p90p100";515488.6;324904.1;204982.14;119921.97;229497.77;89854.457;27225.905;62628.552;122075.06;17568.254;38913.287;202271.9
"FR";1991;"p90p100";514169.5;327975.99;206566.49;121409.49;228046.59;90662.182;24591.912;66070.267;117683.19;19701.223;41853.084;203454.7
"FR";1992;"p90p100";512067.4;310677.35;204490.13;106187.24;239394.61;93343.897;23722.503;69621.393;122941.57;23109.146;38004.568;215672.1
"FR";1993;"p90p100";510515.6;293626.81;194621.73;99005.063;254791.27;98589.328;23513.507;75075.82;129396.59;26805.338;37902.439;231277.8
"FR";1994;"p90p100";509102.4;286731.02;191933.35;94797.666;261486.79;102553.04;24852.714;77700.325;125157;33776.767;39115.376;236634.1
"FR";1995;"p90p100";512865;279487.73;188432.67;91055.069;272955.72;114072.34;26828.988;87243.355;118202.17;40681.208;39578.457;246126.7
"FR";1996;"p90p100";556842.6;273096.66;182605.96;90490.688;324006.8;137776.96;27937.006;109839.96;136980.14;49249.705;40260.898;296069.8
"FR";1997;"p90p100";587930.9;270482.94;183021.87;87461.068;360278.23;147538.04;29601.993;117936.05;151980.81;60759.367;42830.248;330676.3
"FR";1998;"p90p100";624937.3;273299.71;183698.18;89601.522;395248.77;155173.29;31200.135;123973.16;167233.37;72842.13;43611.286;364048.7
"FR";1999;"p90p100";691084.1;297699.74;198762.79;98936.933;440530.7;157569.83;31768.242;125801.59;203264.06;79696.82;47146.348;408762.5
"FR";2000;"p90p100";747563.2;324315.9;213556.67;110759.22;472996.5;160512.86;31098.183;129414.69;227796.2;84687.438;49749.196;441898.3
