alpha2;year;p2;nhweal992j;thweal992j;ahweal992j;ohweal992j;bhweal992j;shweal992j
"FR";1807;"p0";177898.8;0;40.44121;18875.9;;1
"FR";1817;"p0";186763.6;0;33.70101;21361.88;;1
"FR";1827;"p0";199030.1;0;46.78769;21353.24;;1
"FR";1837;"p0";212004.9;0;44.4978;22666.27;;1
"FR";1847;"p0";225265.2;0;27.46151;24605.87;;1
"FR";1857;"p0";236815.8;0;49.90407;27214.86;;1
"FR";1867;"p0";239646.3;0;72.59462;30133.53;;1
"FR";1877;"p0";243667.4;0;65.06835;30706.37;;.9999999
"FR";1887;"p0";252162.4;0;78.38148;35917.64;;1
"FR";1902;"p0";261488.9;0;44.23557;43369.6;;1
"FR";1903;"p0";262333.8;0;52.18492;43524.21;;.9999999
"FR";1904;"p0";263257.1;0;51.48328;43544.15;;1
"FR";1905;"p0";264131.6;0;57.17946;43661.41;;1
"FR";1907;"p0";265560.6;0;59.88316;44086.91;;1
"FR";1909;"p0";266888.5;0;62.22719;44569.7;;1
"FR";1910;"p0";267596.1;0;67.546;44870.19;;1
"FR";1911;"p0";268375.7;0;61.65099;45163.98;;1
"FR";1912;"p0";269113.8;0;62.26635;45345.29;;1
"FR";1913;"p0";270078.1;0;69.34242;45679.39;;1
"FR";1914;"p0";271323.7;0;65.26345;42803.84;;.9999999
"FR";1915;"p0";270224.8;0;65.29095;41069.73;;.9999999
"FR";1916;"p0";268058.5;0;61.36365;38790.14;;1
"FR";1917;"p0";267257.4;0;53.78283;36008.57;;1
"FR";1918;"p0";267420.9;0;49.36561;32913.77;;1
"FR";1919;"p0";265746.9;0;45.81128;30729.16;;1
"FR";1920;"p0";271940.1;0;43.51772;28294.9;;1
"FR";1921;"p0";274463;0;41.38759;26103.09;;1
"FR";1922;"p0";276326.8;0;39.16485;24659.85;;.9999999
"FR";1923;"p0";278830.1;0;37.58515;23399.48;;1
"FR";1924;"p0";282232;0;35.64151;22314.01;;1
"FR";1925;"p0";285562;0;31.72437;21443.24;;.9999999
"FR";1926;"p0";287377.6;0;33.05805;22181.29;;1
"FR";1927;"p0";289488.3;0;32.27991;24090.33;;1
"FR";1929;"p0";292888.7;0;35.16055;29154.22;;1
"FR";1930;"p0";294542;0;38.9203;28574.2;;1
"FR";1931;"p0";297448.8;0;38.73898;26959.4;;1
"FR";1932;"p0";297663.2;0;42.70441;27798.47;;1
"FR";1933;"p0";298393.8;0;38.20028;28026.45;;1
"FR";1935;"p0";299495.3;0;42.64424;28572.21;;1
"FR";1936;"p0";297436.6;0;45.47705;29118.29;;1
"FR";1937;"p0";295365.4;0;53.82296;29753.71;;1
"FR";1938;"p0";293685.6;0;59.23191;30562.19;;1
"FR";1939;"p0";279905.5;0;58.55861;32582.52;;1
"FR";1940;"p0";279382.4;0;45.11841;22140.57;;1
"FR";1941;"p0";260810.6;0;40.64135;23843.12;;1
"FR";1942;"p0";263296.5;0;45.32087;22473.47;;1
"FR";1943;"p0";262914.9;0;38.67966;21423.97;;1
"FR";1944;"p0";260955.5;0;33.61597;18505.4;;.9999999
"FR";1945;"p0";262159.1;0;26.70938;16260.38;;1
"FR";1946;"p0";291547.4;0;24.27534;14526.81;;1
"FR";1947;"p0";293642.4;0;26.96318;14796.61;;1
"FR";1948;"p0";296139.9;0;27.00292;14997.9;;1
"FR";1949;"p0";298357;0;21.52313;15267.84;;1
"FR";1950;"p0";299844.5;0;39.71407;16718.05;;.9999999
"FR";1951;"p0";302141;0;33.29738;18246.95;;1
"FR";1952;"p0";303815.2;0;44.1407;19675.23;;1
"FR";1953;"p0";305733.5;0;44.02013;20924.17;;.9999999
"FR";1954;"p0";306944.2;0;43.78352;22180.86;;1
"FR";1955;"p0";308800.7;0;57.22799;24168.55;;1
"FR";1956;"p0";310734.9;0;68.09416;26427.22;;1
"FR";1957;"p0";312716.3;0;63.62834;28517.77;;1
"FR";1958;"p0";315036.2;0;79.13166;30785.04;;1
"FR";1959;"p0";317126.4;0;85.07822;33066.53;;1
"FR";1960;"p0";319069.1;0;93.22408;35236.66;;1
"FR";1962;"p0";321886;0;95.67622;40749.4;;1
"FR";1964;"p0";330595.2;0;113.105;46072.47;;1
"FR";1965;"p0";332870.9;0;135.0963;49200.48;;.9999999
"FR";1966;"p0";334544.1;0;172.158;52688.76;;1
"FR";1967;"p0";338503.7;0;206.8316;56078.21;;1
"FR";1968;"p0";342571.3;0;266.6425;59670.51;;1
"FR";1969;"p0";347080.8;0;326.4554;63314.73;;.9999999
"FR";1970;"p0";351718.5;168.342;1521.812;64961.2;385.8883;1
"FR";1971;"p0";356749.5;0;483.3658;66213.59;;1
"FR";1972;"p0";361012.3;0;553.2673;68834.13;;1
"FR";1973;"p0";365150.5;0;623.9968;71812.48;;1
"FR";1974;"p0";369145.2;0;575.3347;73542.67;;1
"FR";1975;"p0";372786.7;0;1518.864;74289.22;;1
"FR";1976;"p0";375910.4;0;732.5244;75850.88;;1
"FR";1977;"p0";379517.4;0;803.2728;77943.99;;1
"FR";1978;"p0";383307.4;0;669.1162;82902.79;;1
"FR";1979;"p0";386735.5;0;1880.697;87838.97;;1
"FR";1980;"p0";390554.6;0;552.3631;89013.39;;1
"FR";1981;"p0";394280;0;552.5918;88751.89;;1
"FR";1982;"p0";398249.6;0;624.2543;87253.13;;1
"FR";1983;"p0";402015.3;0;682.7208;87253.57;;1
"FR";1984;"p0";410833.5;468.9627;2189.103;87244.01;186.0362;1
"FR";1985;"p0";409975.6;225.9155;868.9058;87380.61;386.7844;1
"FR";1986;"p0";413828;151.9618;736.6844;89168.43;586.7818;1
"FR";1987;"p0";417725.8;117.5652;689.2863;91894.03;781.6433;1
"FR";1988;"p0";421525.2;95.12454;2434.252;94400.99;992.3936;1
"FR";1989;"p0";425680.6;165.8981;678.6741;100001.1;602.7861;1
"FR";1990;"p0";429620.8;463.7976;2157.54;102527.9;221.0616;1
"FR";1991;"p0";434051.5;0;1958.846;101505.7;;1
"FR";1992;"p0";435216.1;96.78916;1897.909;100412.9;1037.44;1
"FR";1993;"p0";402446.2;0;1552.347;99678.53;;1
"FR";1994;"p0";401722.2;0;1697.31;99432.65;;1
"FR";1995;"p0";436966;0;1866.481;100333.7;;1
"FR";1996;"p0";433471.6;0;1913.943;103104.8;;1
"FR";1997;"p0";430188.2;0;1804.549;106433.9;;1
"FR";1998;"p0";457362.8;0;1230.199;110945.3;;1
"FR";1999;"p0";459965;0;1334.59;121511.4;;1
"FR";2000;"p0";463606.2;0;880.2138;131024.3;;1
"FR";2001;"p0";467894.4;0;1384.553;134586.7;;1
"FR";2002;"p0";472468.6;0;1397.448;137872.3;;1
"FR";2003;"p0";476836.1;0;1461.501;147429.6;;1
"FR";2004;"p0";480640.7;0;1465.829;162935.1;;1
"FR";2005;"p0";484114.4;0;1754.083;180575.2;;1
"FR";2006;"p0";487723.1;0;1628.668;197025.7;;1
"FR";2007;"p0";491541;0;1533.308;206676.5;;1
"FR";2008;"p0";495127.4;0;1422.907;199225.5;;1
"FR";2009;"p0";498497.2;0;1190.444;191870.6;;1
"FR";2010;"p0";501103.8;0;878.9555;198410.3;;1
"FR";2011;"p0";505618.1;0;984.0267;202659.6;;1
"FR";2012;"p0";508617.1;0;1014.508;201994;;1
"FR";2013;"p0";513180;0;308.475;201147.5;;1
"FR";2014;"p0";517215.1;0;315.8376;199806.6;;1
"FR";1807;"p1";177898.8;87.62262;121.3236;19066.16;217.5941;.9999785
"FR";1817;"p1";186763.6;67.40202;101.103;21577.31;320.1286;.9999842
"FR";1827;"p1";199030.1;100.2593;147.047;21568.46;215.1267;.9999781
"FR";1837;"p1";212004.9;101.7092;146.207;22894.77;225.1002;.9999804
"FR";1847;"p1";225265.2;60.41531;87.87682;24854.14;411.3881;.9999889
"FR";1857;"p1";236815.8;94.81774;144.7218;27489.26;289.9168;.9999817
"FR";1867;"p1";239646.3;140.3496;212.9442;30437.18;216.8669;.9999759
"FR";1877;"p1";243667.4;130.1367;195.2051;31015.87;238.333;.9999788
"FR";1887;"p1";252162.4;151.8641;230.2456;36279.65;238.8955;.9999782
"FR";1902;"p1";261488.9;93.38619;137.6217;43807.22;469.0974;.9999898
"FR";1903;"p1";262333.8;104.3698;156.5548;43963.32;421.2263;.999988
"FR";1904;"p1";263257.1;102.9666;159.1301;43983.47;427.1627;.9999882
"FR";1905;"p1";264131.6;109.594;166.7734;44101.85;402.4113;.9999869
"FR";1907;"p1";265560.6;119.7663;179.6495;44531.63;371.8209;.9999863
"FR";1909;"p1";266888.5;124.4544;182.2368;45019.27;361.7331;.999986
"FR";1910;"p1";267596.1;130.8704;194.1947;45322.75;346.3178;.9999849
"FR";1911;"p1";268375.7;131.5221;193.1731;45619.56;346.8585;.9999865
"FR";1912;"p1";269113.8;124.5327;186.7991;45802.69;367.7965;.9999862
"FR";1913;"p1";270078.1;138.6848;208.0273;46140.1;332.6975;.9999849
"FR";1914;"p1";271323.7;130.5269;195.7904;43235.54;331.2385;.9999847
"FR";1915;"p1";270224.8;130.5819;202.7456;41483.92;317.6851;.999984
"FR";1916;"p1";268058.5;119.6591;181.0228;39181.34;327.4413;.9999841
"FR";1917;"p1";267257.4;107.5657;163.9096;36371.75;338.1353;.999985
"FR";1918;"p1";267420.9;100.7058;148.0968;33245.74;330.1272;.9999851
"FR";1919;"p1";265746.9;93.20226;139.0135;31039.1;333.0294;.999985
"FR";1920;"p1";271940.1;87.03543;131.669;28580.27;328.3751;.9999846
"FR";1921;"p1";274463;82.77518;124.1628;26366.34;318.5296;.9999842
"FR";1922;"p1";276326.8;79.41761;118.5825;24908.55;313.6401;.999984
"FR";1923;"p1";278830.1;75.1703;113.7995;23635.45;314.4254;.9999839
"FR";1924;"p1";282232;70.36915;106.9245;22539.04;320.2972;.999984
"FR";1925;"p1";285562;65.21121;96.05435;21659.51;332.144;.9999852
"FR";1926;"p1";287377.6;66.11609;99.17414;22405.01;338.8738;.9999851
"FR";1927;"p1";289488.3;64.55982;96.16724;24333.34;376.9115;.9999866
"FR";1929;"p1";292888.7;70.3211;104.1794;29448.35;418.7698;.999988
"FR";1930;"p1";294542;78.45839;117.3787;28862.44;367.8694;.9999864
"FR";1931;"p1";297448.8;78.10278;115.5921;27231.33;348.6602;.9999856
"FR";1932;"p1";297663.2;86.07608;128.1132;28078.83;326.2095;.9999847
"FR";1933;"p1";298393.8;75.70602;113.2118;28309.16;373.9354;.9999864
"FR";1935;"p1";299495.3;85.28848;127.143;28860.39;338.3856;.9999852
"FR";1936;"p1";297436.6;91.71206;136.4312;29411.96;320.6989;.9999844
"FR";1937;"p1";295365.4;107.0412;159.6546;30053.71;280.7677;.9999819
"FR";1938;"p1";293685.6;118.4638;176.6285;30870.3;260.5884;.9999806
"FR";1939;"p1";279905.5;118.1268;176.1806;32911.04;278.6076;.999982
"FR";1940;"p1";279382.4;91.08811;135.3552;22363.76;245.5179;.9999797
"FR";1941;"p1";260810.6;81.28271;121.5612;24083.55;296.2937;.999983
"FR";1942;"p1";263296.5;90.03745;133.8476;22700.02;252.1176;.9999799
"FR";1943;"p1";262914.9;77.35933;114.8226;21639.99;279.7334;.999982
"FR";1944;"p1";260955.5;67.82867;101.0468;18691.98;275.5764;.9999818
"FR";1945;"p1";262159.1;53.28454;79.45704;16424.36;308.2387;.9999836
"FR";1946;"p1";291547.4;48.28681;71.77056;14673.3;303.8781;.9999833
"FR";1947;"p1";293642.4;53.63201;79.771;14945.8;278.673;.9999818
"FR";1948;"p1";296139.9;54.34013;81.04591;15149.12;278.7834;.999982
"FR";1949;"p1";298357;64.56938;86.09251;15421.85;238.8415;.9999859
"FR";1950;"p1";299844.5;59.5711;99.28516;16886.52;283.4683;.9999763
"FR";1951;"p1";302141;66.59476;99.89215;18430.92;276.7623;.9999818
"FR";1952;"p1";303815.2;73.56783;117.7085;19873.53;270.1388;.9999776
"FR";1953;"p1";305733.5;73.36688;117.387;21135.08;288.0739;.9999789
"FR";1954;"p1";306944.2;87.56703;145.9451;22404.47;255.8551;.9999803
"FR";1955;"p1";308800.7;114.456;157.377;24412.1;213.2881;.9999764
"FR";1956;"p1";310734.9;122.5695;177.0448;26693.47;217.7824;.9999742
"FR";1957;"p1";312716.3;139.9824;203.6107;28805.18;205.7773;.9999776
"FR";1958;"p1";315036.2;158.2633;214.7859;31095.2;196.4776;.9999743
"FR";1959;"p1";317126.4;159.5217;233.9651;33399.68;209.374;.9999743
"FR";1960;"p1";319069.1;176.0899;269.314;35591.64;202.122;.9999736
"FR";1962;"p1";321886;200.9201;296.5963;41160.04;204.8578;.9999765
"FR";1964;"p1";330595.2;226.21;348.0154;46536.7;205.7234;.9999754
"FR";1965;"p1";332870.9;278.6362;405.289;49696.09;178.3547;.9999725
"FR";1966;"p1";334544.1;344.3159;516.4739;53219.24;154.5651;.9999673
"FR";1967;"p1";338503.7;413.6631;620.4947;56642.57;136.9292;.9999632
"FR";1968;"p1";342571.3;525.6667;807.546;60270.55;114.6554;.9999553
"FR";1969;"p1";347080.8;674.2014;993.5599;63950.97;94.8544;.9999484
"FR";1970;"p1";351721.1;2047.038;2296.185;65601.99;32.04727;.9997658
"FR";1971;"p1";356749.5;998.532;1500.978;66877.54;66.97585;.999927
"FR";1972;"p1";361012.3;1148.178;1737.14;69523.85;60.55144;.9999197
"FR";1973;"p1";365150.5;1297.692;1921.689;72531.55;55.89272;.999913
"FR";1974;"p1";369145.2;1185.388;1800.401;74279.71;62.66279;.9999217
"FR";1975;"p1";372822.2;1959.684;2435.42;75024.21;38.28383;.9997955
"FR";1976;"p1";375910.4;1543.815;2252.709;76609.65;49.6236;.9999034
"FR";1977;"p1";379517.4;1700.622;2474.948;78723.19;46.29081;.9998969
"FR";1978;"p1";383307.4;1387.919;2100.097;83733.44;60.33019;.9999193
"FR";1979;"p1";386509.5;2460.529;3121.477;88707.17;36.05207;.9997859
"FR";1980;"p1";390554.6;1102.032;1640.923;89906.93;81.58289;.999938
"FR";1981;"p1";394280;1102.77;1640.884;89642.79;81.28871;.9999377
"FR";1982;"p1";398249.6;1270.035;1905.052;88128.17;69.39036;.9999285
"FR";1983;"p1";402015.3;1404.678;2120.75;88128.02;62.73893;.9999218
"FR";1984;"p1";410853.7;2465.718;2722.182;88103.12;35.73123;.9997491
"FR";1985;"p1";409975.6;1544.915;2210.496;88254.47;57.12579;.9999006
"FR";1986;"p1";413828;1328.014;1907.781;90061.68;67.81681;.9999174
"FR";1987;"p1";417725.8;1261.007;1819.844;92815.29;73.60408;.999925
"FR";1988;"p1";394058.5;3001.881;3270.101;95329.69;31.75665;.9997422
"FR";1989;"p1";425680.6;1188.434;1687.636;101004.3;84.98946;.9999321
"FR";1990;"p1";430136.5;2704.997;2862.042;103541;38.27768;.9997897
"FR";1991;"p1";404061.6;2449.273;2607.982;102511.1;41.8537;.999807
"FR";1992;"p1";424010.7;2456.2;2456.2;101400.3;41.28342;.9998124
"FR";1993;"p1";481543.3;2364.365;2364.365;100578.1;42.53914;.9998586
"FR";1994;"p1";459679.1;2235.814;2235.813;100319.1;44.86915;.9998466
"FR";1995;"p1";458792;2281.255;2281.255;101298.8;44.40485;.9998195
"FR";1996;"p1";440479.8;2285.582;2285.582;104083.1;45.53898;.9998223
"FR";1997;"p1";469262;2221.489;2221.489;107432.7;48.36065;.9998397
"FR";1998;"p1";456771.2;1741.805;2207.849;112053.2;64.33163;.9998891
"FR";1999;"p1";459967.8;1867.386;2372.893;122725.3;65.72037;.9998901
"FR";2000;"p1";463675;1521.184;1997.113;132338.7;86.99722;.9999329
"FR";2001;"p1";468105.5;1921.318;2459.338;135931.9;70.74928;.9998972
"FR";2002;"p1";472397.3;1932.38;2494.304;139250.8;72.06178;.9998987
"FR";2003;"p1";476847.1;2121.883;2485.154;148903.8;70.17531;.9999009
"FR";2004;"p1";480760.7;1991.114;2212.349;164565.8;82.65012;.9999101
"FR";2005;"p1";475845.6;2419.265;2788.424;182380.7;75.38681;.9999029
"FR";2006;"p1";487764.5;2237.856;2618.599;198999;88.92395;.9999173
"FR";2007;"p1";491609.4;2253.43;2452.849;208748.4;92.63582;.9999258
"FR";2008;"p1";495095.5;1980.402;2125.177;201223.3;101.6073;.9999287
"FR";2009;"p1";498529.8;1701.249;1839.973;193796.6;113.9143;.999938
"FR";2010;"p1";501023;1229.898;1409.102;200405.5;162.9449;.9999557
"FR";2011;"p1";505536.7;1403.962;1507.379;204696.5;145.7992;.9999514
"FR";2012;"p1";508383.1;1432.006;1557.152;204024.1;142.4743;.9999499
"FR";2013;"p1";513180;613.8959;911.1721;203176.2;330.962;.9999847
"FR";2014;"p1";517215.1;629.6507;934.353;201821.6;320.5295;.9999842
"FR";1807;"p2";177898.8;161.7648;202.206;19259.48;119.0585;.9999143
"FR";1817;"p2";186763.6;134.804;161.7648;21796.46;161.69;.999937
"FR";1827;"p2";199030.1;193.8347;240.6224;21787.04;112.4001;.9999093
"FR";1837;"p2";212004.9;197.0617;235.2026;23126.9;117.3587;.9999159
"FR";1847;"p2";225265.2;109.846;137.3075;25106.86;228.5641;.9999532
"FR";1857;"p2";236815.8;189.6355;234.5491;27768.28;146.4298;.9999287
"FR";1867;"p2";239646.3;280.6992;348.4542;30745.59;109.5322;.9999053
"FR";1877;"p2";243667.4;260.2734;325.3418;31330.37;120.3748;.9999152
"FR";1887;"p2";252162.4;308.6271;382.1097;36647.5;118.7436;.9999141
"FR";1902;"p2";261488.9;181.8573;226.0929;44252.83;243.3382;.9999581
"FR";1903;"p2";262333.8;203.9956;251.4364;44410.33;217.7024;.999952
"FR";1904;"p2";263257.1;205.9331;252.7361;44430.66;215.7529;.9999517
"FR";1905;"p2";264131.6;219.1879;266.8375;44550.17;203.251;.9999487
"FR";1907;"p2";265560.6;239.5327;290.203;44984.19;187.7998;.9999455
"FR";1909;"p2";266888.5;244.464;302.2463;45476.79;186.0266;.9999451
"FR";1910;"p2";267596.1;257.5191;316.6219;45783.24;177.7858;.9999416
"FR";1911;"p2";268375.7;258.9341;316.4751;46083.1;177.9723;.9999437
"FR";1912;"p2";269113.8;249.0654;307.1807;46268.16;185.7671;.999945
"FR";1913;"p2";270078.1;273.2907;338.5542;46608.79;170.5466;.9999393
"FR";1914;"p2";271323.7;256.9749;318.1593;43674.72;169.9572;.999939
"FR";1915;"p2";270224.8;264.6001;326.4547;41905.15;158.3716;.9999347
"FR";1916;"p2";268058.5;242.3864;297.6137;39579.31;163.2901;.9999375
"FR";1917;"p2";267257.4;217.6924;266.3531;36741.22;168.7758;.9999394
"FR";1918;"p2";267420.9;195.4878;240.9042;33583.47;171.7932;.99994
"FR";1919;"p2";265746.9;183.2451;225.897;31354.4;171.1063;.9999399
"FR";1920;"p2";271940.1;174.0709;214.2411;28870.56;165.8552;.9999381
"FR";1921;"p2";274463;164.4318;201.345;26634.12;161.9767;.9999366
"FR";1922;"p2";276326.8;156.6594;192.5605;25161.51;160.6128;.999936
"FR";1923;"p2";278830.1;149.2966;183.7496;23875.47;159.9198;.9999353
"FR";1924;"p2";282232;141.6522;173.6382;22767.94;160.7313;.9999361
"FR";1925;"p2";285562;127.7787;156.8594;21879.55;171.23;.9999403
"FR";1926;"p2";287377.6;130.0762;159.541;22632.62;173.9951;.9999404
"FR";1927;"p2";289488.3;127.1021;156.6921;24580.66;193.3929;.9999467
"FR";1929;"p2";292888.7;138.0377;169.2915;29747.78;215.5047;.9999522
"FR";1930;"p2";294542;154.4457;189.6593;29155.75;188.7768;.9999452
"FR";1931;"p2";297448.8;153.7063;188.0715;27508.02;178.9649;.9999428
"FR";1932;"p2";297663.2;169.4831;208.8513;28364.04;167.3561;.9999385
"FR";1933;"p2";298393.8;149.3284;183.3614;28596.87;191.5033;.999946
"FR";1935;"p2";299495.3;168.2078;206.1138;29153.59;173.3188;.9999407
"FR";1936;"p2";297436.6;180.3923;221.3217;29710.69;164.7004;.9999376
"FR";1937;"p2";295365.4;209.8491;258.2293;30358.75;144.6694;.9999282
"FR";1938;"p2";293685.6;233.1923;286.5544;31183.5;133.7244;.9999228
"FR";1939;"p2";279905.5;232.72;285.7256;33245.07;142.8544;.9999279
"FR";1940;"p2";279382.4;179.1967;220.0587;22590.58;126.0658;.9999186
"FR";1941;"p2";260810.6;160.3882;197.038;24328.06;151.6824;.9999321
"FR";1942;"p2";263296.5;177.0535;217.5401;22930.29;129.5105;.9999204
"FR";1943;"p2";262914.9;152.286;187.8031;21859.63;143.5433;.9999284
"FR";1944;"p2";260955.5;133.6682;164.3005;18881.69;141.2578;.9999272
"FR";1945;"p2";262159.1;104.9585;128.8493;16591.14;158.0734;.9999347
"FR";1946;"p2";291547.4;94.9025;116.6272;14822.3;156.1845;.9999338
"FR";1947;"p2";293642.4;105.5567;129.753;15097.49;143.0272;.9999279
"FR";1948;"p2";296139.9;106.9717;131.4117;15302.88;143.0554;.9999279
"FR";1949;"p2";298357;107.6156;129.1388;15578.34;144.759;.9999295
"FR";1950;"p2";299844.5;119.1422;158.8563;17057.82;143.1719;.9999169
"FR";1951;"p2";302141;133.1895;183.1356;18617.97;139.7856;.9999271
"FR";1952;"p2";303815.2;147.1357;191.2764;20075.12;136.4395;.9999177
"FR";1953;"p2";305733.5;161.4071;190.7539;21349.55;132.2714;.9999228
"FR";1954;"p2";306944.2;189.7286;233.5121;22631.6;119.2841;.9999144
"FR";1955;"p2";308800.7;214.605;257.526;24659.6;114.9069;.9999113
"FR";1956;"p2";310734.9;245.139;299.6143;26964.05;109.995;.9999073
"FR";1957;"p2";312716.3;267.239;330.8674;29097.04;108.8802;.9999062
"FR";1958;"p2";315036.2;293.9176;361.7447;31410.3;106.8677;.9999045
"FR";1959;"p2";317126.4;319.0433;382.852;33738.11;105.7477;.9999035
"FR";1960;"p2";319069.1;352.1798;424.6875;35952.08;102.0844;.9998971
"FR";1962;"p2";321886;392.2725;487.9487;41577.02;105.9901;.9999036
"FR";1964;"p2";330595.2;452.42;556.8246;47008.01;103.9035;.9998999
"FR";1965;"p2";332870.9;540.3854;667.0382;50199.06;92.89492;.9998901
"FR";1966;"p2";334544.1;664.0378;827.9978;53757.02;80.95475;.9998693
"FR";1967;"p2";338503.7;811.4161;1002.338;57214.23;70.51157;.9998525
"FR";1968;"p2";342571.3;1058.952;1302.739;60877.31;57.48827;.9998199
"FR";1969;"p2";347080.8;1312.919;1610.986;64593.39;49.19833;.9997914
"FR";1970;"p2";351706;2363.521;2376.989;66247.95;28.02934;.9994123
"FR";1971;"p2";356749.5;1977.984;2372.309;67544.64;34.14823;.9997003
"FR";1972;"p2";361012.3;2290.408;2736.591;70215.55;30.65636;.9996673
"FR";1973;"p2";365150.5;2462.854;2838.357;73252.06;29.74275;.9996455
"FR";1974;"p2";369145.2;2385.655;2866.754;75019.3;31.446;.9996769
"FR";1975;"p2";372796.6;2924.25;2924.25;75764.92;25.90918;.9994677
"FR";1976;"p2";375910.4;2819.825;3107.321;77368.39;27.4373;.9996064
"FR";1977;"p2";379517.4;3082.831;3357.825;79501.23;25.78839;.9995794
"FR";1978;"p2";383307.4;2769.214;3292.582;84566.43;30.53807;.999666
"FR";1979;"p2";387002.9;3500.02;3545.084;89579.9;25.59411;.9994308
"FR";1980;"p2";390554.6;2166.341;2659.426;90807.6;41.9175;.9997535
"FR";1981;"p2";394280;2166.932;2659.197;90540.77;41.78293;.9997528
"FR";1982;"p2";398249.6;2509.933;3033.015;89008;35.4623;.9997101
"FR";1983;"p2";402015.3;2791.7;3331.207;89005.65;31.88224;.9996787
"FR";1984;"p2";410792.4;3634.461;3722.391;88974.38;24.48077;.999437
"FR";1985;"p2";409975.6;2839.584;3355.714;89132.47;31.38927;.9996476
"FR";1986;"p2";413828;2469.379;2979.773;90961.21;36.83566;.9997035
"FR";1987;"p2";417725.8;2365.798;2874.71;93743.82;39.62461;.999727
"FR";1988;"p2";449229.2;3497.776;3513.37;96207.04;27.5052;.9994185
"FR";1989;"p2";425680.6;2179.298;2643.813;102017.8;46.81222;.9997634
"FR";1990;"p2";409047.5;2951.573;2976.524;104568.9;35.42819;.9995104
"FR";1991;"p2";417985.7;2610.842;2610.842;103459.3;39.62681;.9995679
"FR";1992;"p2";435883.4;2456.2;2456.2;102376.1;41.68066;.9995759
"FR";1993;"p2";444483.1;2364.365;2365.744;101667.3;42.99982;.9996007
"FR";1994;"p2";479025.1;2235.814;2242.63;101347.6;45.32919;.9996154
"FR";1995;"p2";454492.4;2281.255;2300.108;102328.3;44.85613;.9995878
"FR";1996;"p2";484166.2;2285.582;2325.401;105093;45.98086;.9996065
"FR";1997;"p2";465241.7;2221.489;2271.469;108539.7;48.859;.9996244
"FR";1998;"p2";458002.6;2633.537;2641.348;113172.2;42.97348;.9996905
"FR";1999;"p2";459933.2;2739.352;2739.353;123953.4;45.24915;.9996949
"FR";2000;"p2";463668.2;2492.233;2742.992;133668.8;53.63413;.9997804
"FR";2001;"p2";467875;2685.08;2685.08;137294.1;51.13223;.9997144
"FR";2002;"p2";472546.9;2723.736;2755.636;140646;51.63714;.9997178
"FR";2003;"p2";477020.8;2643.934;2677.615;150397.6;56.88404;.9997324
"FR";2004;"p2";480584.8;2634.707;2659.552;166222.7;63.08963;.9997742
"FR";2005;"p2";492933;2859.237;2889.42;184180.9;64.4161;.9997512
"FR";2006;"p2";487892.3;2687.928;2701.567;201002.7;74.77977;.9997844
"FR";2007;"p2";491562.4;2477.222;2480.546;210853.4;85.11687;.9998071
"FR";2008;"p2";495326.2;2140.303;2186.761;203254.5;94.96529;.999822
"FR";2009;"p2";498414.7;1847.501;1916.325;195755.4;105.9569;.999842
"FR";2010;"p2";501208.2;1449.637;1457.103;202435.7;139.6458;.9998847
"FR";2011;"p2";505672.5;1533.494;1541.851;206769.2;134.8354;.9998771
"FR";2012;"p2";508628;1585.874;1594.081;206089.1;129.953;.9998728
"FR";2013;"p2";513180;1200.304;1465.002;205240.2;170.9902;.9999394
"FR";2014;"p2";517215.1;1227.92;1497.192;203871.5;166.0299;.9999374
"FR";1807;"p3";177898.8;235.9071;269.6081;19455.94;82.47292;.9998072
"FR";1817;"p3";186763.6;195.4658;215.6864;22019.5;112.6514;.9998613
"FR";1827;"p3";199030.1;287.4101;294.094;22009.17;76.57758;.9997966
"FR";1837;"p3";212004.9;286.0572;324.1982;23362.9;81.67211;.9998122
"FR";1847;"p3";225265.2;164.769;186.7383;25364.28;153.9384;.9998974
"FR";1857;"p3";236815.8;274.4724;309.4052;28052.14;102.2039;.9998425
"FR";1867;"p3";239646.3;411.3695;425.8885;31058.96;75.50136;.9997896
"FR";1877;"p3";243667.4;385.7624;395.0579;31650.01;82.04535;.9998092
"FR";1887;"p3";252162.4;450.6935;465.39;37021.37;82.14311;.9998076
"FR";1902;"p3";261488.9;265.4134;299.8188;44706.72;168.4418;.999906
"FR";1903;"p3";262333.8;294.1332;332.0858;44865.58;152.5349;.9998943
"FR";1904;"p3";263257.1;299.5391;341.6618;44886.1;149.8506;.9998937
"FR";1905;"p3";264131.6;314.487;357.3716;45006.7;143.1115;.9998876
"FR";1907;"p3";265560.6;345.4798;391.5438;45444.96;131.5416;.9998797
"FR";1909;"p3";266888.5;355.5839;400.0319;45942.5;129.203;.9998773
"FR";1910;"p3";267596.1;375.7246;422.1625;46251.97;123.1007;.9998711
"FR";1911;"p3";268375.7;369.9059;423.3368;46554.92;125.8561;.9998736
"FR";1912;"p3";269113.8;361.1448;406.8068;46741.99;129.4273;.9998773
"FR";1913;"p3";270078.1;395.6597;452.7652;47085.81;119.0058;.9998652
"FR";1914;"p3";271323.7;375.2649;424.2125;44121.69;117.5748;.9998646
"FR";1915;"p3";270224.8;381.4366;432.9821;42333.8;110.9852;.9998552
"FR";1916;"p3";268058.5;349.7728;395.7955;39984.27;114.315;.9998608
