"LOCATION","Country","TRANSACT","Transaction","SECTOR","Sector","MEASURE","Measure","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","LF5LINC","Equity and investment fund shares/units","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2002","2002","USD","US Dollar","6","Millions",,,321310.1338,,
"AUT","Austria","LF5LINC","Equity and investment fund shares/units","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2003","2003","USD","US Dollar","6","Millions",,,422339.2305,,
"AUT","Austria","LF5LINC","Equity and investment fund shares/units","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2004","2004","USD","US Dollar","6","Millions",,,516817.8436,,
"AUT","Austria","LF5LINC","Equity and investment fund shares/units","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2005","2005","USD","US Dollar","6","Millions",,,645141.1705,,
"AUT","Austria","LF5LINC","Equity and investment fund shares/units","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2006","2006","USD","US Dollar","6","Millions",,,845765.5865,,
"AUT","Austria","LF5LINC","Equity and investment fund shares/units","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2007","2007","USD","US Dollar","6","Millions",,,1063021.2813,,
"AUT","Austria","LF5LINC","Equity and investment fund shares/units","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2008","2008","USD","US Dollar","6","Millions",,,850105.4852,,
"AUT","Austria","LF5LINC","Equity and investment fund shares/units","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2009","2009","USD","US Dollar","6","Millions",,,1000745.9814,,
"AUT","Austria","LF5LINC","Equity and investment fund shares/units","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2010","2010","USD","US Dollar","6","Millions",,,953706.9643,,
"AUT","Austria","LF5LINC","Equity and investment fund shares/units","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2011","2011","USD","US Dollar","6","Millions",,,901790.4885,,
"AUT","Austria","LF5LINC","Equity and investment fund shares/units","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2012","2012","USD","US Dollar","6","Millions",,,1007476.8857,,
"AUT","Austria","LF5LINC","Equity and investment fund shares/units","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2013","2013","USD","US Dollar","6","Millions",,,1093928.9435,,
"AUT","Austria","LF5LINC","Equity and investment fund shares/units","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2014","2014","USD","US Dollar","6","Millions",,,1000530.0608,,
"AUT","Austria","LF5LINC","Equity and investment fund shares/units","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2015","2015","USD","US Dollar","6","Millions",,,925144.5446,,
"AUT","Austria","LF5LINC","Equity and investment fund shares/units","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2016","2016","USD","US Dollar","6","Millions",,,888402.047,,
"AUT","Austria","LF5LINC","Equity and investment fund shares/units","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2017","2017","USD","US Dollar","6","Millions",,,1100643.4712,,
"AUT","Austria","LF5LINC","Equity and investment fund shares/units","RS1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2018","2018","USD","US Dollar","6","Millions",,,1038230.1469,,
"BEL","Belgium","LF52LINC","Investment fund shares/units","RS2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","1995","1995","USD","US Dollar","6","Millions",,,1269.8943,,
"BEL","Belgium","LF52LINC","Investment fund shares/units","RS2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","1996","1996","USD","US Dollar","6","Millions",,,1893.4608,,
"BEL","Belgium","LF52LINC","Investment fund shares/units","RS2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","1997","1997","USD","US Dollar","6","Millions",,,1738.866,,
"BEL","Belgium","LF52LINC","Investment fund shares/units","RS2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","1998","1998","USD","US Dollar","6","Millions",,,1623.8751,,
"BEL","Belgium","LF52LINC","Investment fund shares/units","RS2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","1999","1999","USD","US Dollar","6","Millions",,,1320.6773,,
"BEL","Belgium","LF52LINC","Investment fund shares/units","RS2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","2000","2000","USD","US Dollar","6","Millions",,,1617.8417,,
"BEL","Belgium","LF52LINC","Investment fund shares/units","RS2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","2001","2001","USD","US Dollar","6","Millions",,,963.6927,,
"BEL","Belgium","LF52LINC","Investment fund shares/units","RS2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","2002","2002","USD","US Dollar","6","Millions",,,1000.3444,,
"BEL","Belgium","LF52LINC","Investment fund shares/units","RS2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","2003","2003","USD","US Dollar","6","Millions",,,2023.2502,,
"BEL","Belgium","LF52LINC","Investment fund shares/units","RS2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","2004","2004","USD","US Dollar","6","Millions",,,4151.2994,,
"BEL","Belgium","LF52LINC","Investment fund shares/units","RS2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","2005","2005","USD","US Dollar","6","Millions",,,11499.1493,,
"BEL","Belgium","LF52LINC","Investment fund shares/units","RS2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","2006","2006","USD","US Dollar","6","Millions",,,17581.9105,,
"BEL","Belgium","LF52LINC","Investment fund shares/units","RS2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","2007","2007","USD","US Dollar","6","Millions",,,24953.5671,,
"BEL","Belgium","LF52LINC","Investment fund shares/units","RS2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","2008","2008","USD","US Dollar","6","Millions",,,19168.566,,
"BEL","Belgium","LF52LINC","Investment fund shares/units","RS2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","2009","2009","USD","US Dollar","6","Millions",,,23036.4329,,
"BEL","Belgium","LF52LINC","Investment fund shares/units","RS2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","2010","2010","USD","US Dollar","6","Millions",,,20948.6496,,
"BEL","Belgium","LF52LINC","Investment fund shares/units","RS2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","2011","2011","USD","US Dollar","6","Millions",,,16195.4616,,
"BEL","Belgium","LF52LINC","Investment fund shares/units","RS2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","2012","2012","USD","US Dollar","6","Millions",,,17946.4788,,
"BEL","Belgium","LF52LINC","Investment fund shares/units","RS2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","2013","2013","USD","US Dollar","6","Millions",,,31569.9159,,
"BEL","Belgium","LF52LINC","Investment fund shares/units","RS2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","2014","2014","USD","US Dollar","6","Millions",,,35816.0228,,
"BEL","Belgium","LF52LINC","Investment fund shares/units","RS2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","2015","2015","USD","US Dollar","6","Millions",,,32381.2041,,
"BEL","Belgium","LF52LINC","Investment fund shares/units","RS2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","2016","2016","USD","US Dollar","6","Millions",,,31277.2447,,
"BEL","Belgium","LF52LINC","Investment fund shares/units","RS2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","2017","2017","USD","US Dollar","6","Millions",,,43741.901,,
"BEL","Belgium","LF52LINC","Investment fund shares/units","RS2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","2018","2018","USD","US Dollar","6","Millions",,,36278.18,,
"DNK","Denmark","LF5ASNC","Equity and investment fund shares/units","RS2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","1994","1994","USD","US Dollar","6","Millions",,,27289.1665,,
"DNK","Denmark","LF5ASNC","Equity and investment fund shares/units","RS2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","1995","1995","USD","US Dollar","6","Millions",,,33195.0956,,
"DNK","Denmark","LF5ASNC","Equity and investment fund shares/units","RS2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","1996","1996","USD","US Dollar","6","Millions",,,39973.4208,,
"DNK","Denmark","LF5ASNC","Equity and investment fund shares/units","RS2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","1997","1997","USD","US Dollar","6","Millions",,,45688.2508,,
"DNK","Denmark","LF5ASNC","Equity and investment fund shares/units","RS2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","1998","1998","USD","US Dollar","6","Millions",,,65318.7192,,
"DNK","Denmark","LF5ASNC","Equity and investment fund shares/units","RS2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","1999","1999","USD","US Dollar","6","Millions",,,95732.1458,,
"DNK","Denmark","LF5ASNC","Equity and investment fund shares/units","RS2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","2000","2000","USD","US Dollar","6","Millions",,,115035.3469,,
"DNK","Denmark","LF5ASNC","Equity and investment fund shares/units","RS2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","2001","2001","USD","US Dollar","6","Millions",,,113907.4856,,
"DNK","Denmark","LF5ASNC","Equity and investment fund shares/units","RS2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","2002","2002","USD","US Dollar","6","Millions",,,105500.2683,,
"DNK","Denmark","LF5ASNC","Equity and investment fund shares/units","RS2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","2003","2003","USD","US Dollar","6","Millions",,,123857.0901,,
"DNK","Denmark","LF5ASNC","Equity and investment fund shares/units","RS2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","2004","2004","USD","US Dollar","6","Millions",,,151058.7826,,
"DNK","Denmark","LF5ASNC","Equity and investment fund shares/units","RS2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","2005","2005","USD","US Dollar","6","Millions",,,176106.7978,,
"DNK","Denmark","LF5ASNC","Equity and investment fund shares/units","RS2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","2006","2006","USD","US Dollar","6","Millions",,,232048.2566,,
"DNK","Denmark","LF5ASNC","Equity and investment fund shares/units","RS2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","2007","2007","USD","US Dollar","6","Millions",,,279391.7601,,
"DNK","Denmark","LF5ASNC","Equity and investment fund shares/units","RS2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","2008","2008","USD","US Dollar","6","Millions",,,208206.0209,,
"DNK","Denmark","LF5ASNC","Equity and investment fund shares/units","RS2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","2009","2009","USD","US Dollar","6","Millions",,,255637.271,,
"DNK","Denmark","LF5ASNC","Equity and investment fund shares/units","RS2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","2010","2010","USD","US Dollar","6","Millions",,,284332.211,,
"DNK","Denmark","LF5ASNC","Equity and investment fund shares/units","RS2","Rest of the world","CXCE","US $, current prices, current exchange rates, end of period","2011","2011","USD","US Dollar","6","Millions",,,276255.7435,,
