"LOCATION","Country","TRANSACT","Transaction","SECTOR","Sector","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CAN","Canada","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1996","1996","USD","US Dollar","6","Millions",,,1150562.5274,,
"CAN","Canada","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1997","1997","USD","US Dollar","6","Millions",,,1259818.2454,,
"CAN","Canada","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1998","1998","USD","US Dollar","6","Millions",,,1227003.8479,,
"CAN","Canada","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1999","1999","USD","US Dollar","6","Millions",,,1547873.6229,,
"CAN","Canada","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2000","2000","USD","US Dollar","6","Millions",,,1651401.8006,,
"CAN","Canada","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2001","2001","USD","US Dollar","6","Millions",,,1473707.9357,,
"CAN","Canada","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2002","2002","USD","US Dollar","6","Millions",,,1383687.8803,,
"CAN","Canada","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2003","2003","USD","US Dollar","6","Millions",,,2110367.1423,,
"CAN","Canada","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2004","2004","USD","US Dollar","6","Millions",,,2604891.015,,
"CAN","Canada","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2005","2005","USD","US Dollar","6","Millions",,,3194171.1092,,
"CAN","Canada","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2006","2006","USD","US Dollar","6","Millions",,,3578453.7498,,
"CAN","Canada","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2007","2007","USD","US Dollar","6","Millions",,,4744609.0992,,
"CAN","Canada","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2008","2008","USD","US Dollar","6","Millions",,,2908695.4023,,
"CAN","Canada","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2009","2009","USD","US Dollar","6","Millions",,,4271441.4843,,
"CAN","Canada","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2010","2010","USD","US Dollar","6","Millions",,,5200253.3682,,
"CAN","Canada","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2011","2011","USD","US Dollar","6","Millions",,,4792217.3058,,
"CAN","Canada","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2012","2012","USD","US Dollar","6","Millions",,,5239508.4933,,
"CAN","Canada","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2013","2013","USD","US Dollar","6","Millions",,,4985207.7849,,
"CAN","Canada","SAF51LINC","Shares and other equity, except mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2014","2014","USD","US Dollar","6","Millions",,,4820684.4238,,
"CAN","Canada","SAF52ASNC","Mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1990","1990","USD","US Dollar","6","Millions",,,27798.9484,,
"CAN","Canada","SAF52ASNC","Mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1991","1991","USD","US Dollar","6","Millions",,,37676.3306,,
"CAN","Canada","SAF52ASNC","Mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1992","1992","USD","US Dollar","6","Millions",,,48129.6719,,
"CAN","Canada","SAF52ASNC","Mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1993","1993","USD","US Dollar","6","Millions",,,77733.2224,,
"CAN","Canada","SAF52ASNC","Mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1994","1994","USD","US Dollar","6","Millions",,,86252.6751,,
"CAN","Canada","SAF52ASNC","Mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1995","1995","USD","US Dollar","6","Millions",,,101423.0235,,
"CAN","Canada","SAF52ASNC","Mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1996","1996","USD","US Dollar","6","Millions",,,133482.4165,,
"CAN","Canada","SAF52ASNC","Mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1997","1997","USD","US Dollar","6","Millions",,,173270.8843,,
"CAN","Canada","SAF52ASNC","Mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1998","1998","USD","US Dollar","6","Millions",,,190967.8471,,
"CAN","Canada","SAF52ASNC","Mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1999","1999","USD","US Dollar","6","Millions",,,251030.2778,,
"CAN","Canada","SAF52ASNC","Mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2000","2000","USD","US Dollar","6","Millions",,,281528.5095,,
"CAN","Canada","SAF52ASNC","Mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2001","2001","USD","US Dollar","6","Millions",,,264832.9985,,
"CAN","Canada","SAF52ASNC","Mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2002","2002","USD","US Dollar","6","Millions",,,255636.4097,,
"CAN","Canada","SAF52ASNC","Mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2003","2003","USD","US Dollar","6","Millions",,,359189.356,,
"CAN","Canada","SAF52ASNC","Mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2004","2004","USD","US Dollar","6","Millions",,,452084.8586,,
"CAN","Canada","SAF52ASNC","Mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2005","2005","USD","US Dollar","6","Millions",,,567223.5598,,
"CAN","Canada","SAF52ASNC","Mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2006","2006","USD","US Dollar","6","Millions",,,669063.8407,,
"CAN","Canada","SAF52ASNC","Mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2007","2007","USD","US Dollar","6","Millions",,,863964.4911,,
"CAN","Canada","SAF52ASNC","Mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2008","2008","USD","US Dollar","6","Millions",,,582275.8621,,
"CAN","Canada","SAF52ASNC","Mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2009","2009","USD","US Dollar","6","Millions",,,812734.5385,,
"CAN","Canada","SAF52ASNC","Mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2010","2010","USD","US Dollar","6","Millions",,,966326.1613,,
"CAN","Canada","SAF52ASNC","Mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2011","2011","USD","US Dollar","6","Millions",,,975060.9636,,
"CAN","Canada","SAF52ASNC","Mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2012","2012","USD","US Dollar","6","Millions",,,1127852.0454,,
"CAN","Canada","SAF52ASNC","Mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2013","2013","USD","US Dollar","6","Millions",,,1253325.4983,,
"CAN","Canada","SAF52ASNC","Mutual funds shares","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2014","2014","USD","US Dollar","6","Millions",,,1365351.2628,,
"CAN","Canada","SAF5LINC","Shares and other equity","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1970","1970","USD","US Dollar","6","Millions",,,82429.6663,,
"CAN","Canada","SAF5LINC","Shares and other equity","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1971","1971","USD","US Dollar","6","Millions",,,90103.8968,,
"CAN","Canada","SAF5LINC","Shares and other equity","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1972","1972","USD","US Dollar","6","Millions",,,101912.5628,,
"CAN","Canada","SAF5LINC","Shares and other equity","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1973","1973","USD","US Dollar","6","Millions",,,106170.6827,,
"CAN","Canada","SAF5LINC","Shares and other equity","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1974","1974","USD","US Dollar","6","Millions",,,106551.5849,,
"CAN","Canada","SAF5LINC","Shares and other equity","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1975","1975","USD","US Dollar","6","Millions",,,114213.5827,,
"CAN","Canada","SAF5LINC","Shares and other equity","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1976","1976","USD","US Dollar","6","Millions",,,130483.7431,,
"CAN","Canada","SAF5LINC","Shares and other equity","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1977","1977","USD","US Dollar","6","Millions",,,134097.8062,,
"CAN","Canada","SAF5LINC","Shares and other equity","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1978","1978","USD","US Dollar","6","Millions",,,152222.9718,,
"CAN","Canada","SAF5LINC","Shares and other equity","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1979","1979","USD","US Dollar","6","Millions",,,186806.962,,
"CAN","Canada","SAF5LINC","Shares and other equity","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1980","1980","USD","US Dollar","6","Millions",,,216067.1822,,
"CAN","Canada","SAF5LINC","Shares and other equity","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1981","1981","USD","US Dollar","6","Millions",,,233618.7263,,
"CAN","Canada","SAF5LINC","Shares and other equity","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1982","1982","USD","US Dollar","6","Millions",,,238054.1992,,
"CAN","Canada","SAF5LINC","Shares and other equity","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1983","1983","USD","US Dollar","6","Millions",,,271484.2497,,
"CAN","Canada","SAF5LINC","Shares and other equity","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1984","1984","USD","US Dollar","6","Millions",,,281011.5781,,
"CAN","Canada","SAF5LINC","Shares and other equity","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1985","1985","USD","US Dollar","6","Millions",,,305217.0515,,
"CAN","Canada","SAF5LINC","Shares and other equity","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1986","1986","USD","US Dollar","6","Millions",,,360501.2677,,
"CAN","Canada","SAF5LINC","Shares and other equity","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1987","1987","USD","US Dollar","6","Millions",,,429632.1129,,
"CAN","Canada","SAF5LINC","Shares and other equity","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1988","1988","USD","US Dollar","6","Millions",,,496328.7212,,
"CAN","Canada","SAF5LINC","Shares and other equity","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1989","1989","USD","US Dollar","6","Millions",,,558863.19,,
"CAN","Canada","SAF5LINC","Shares and other equity","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1990","1990","USD","US Dollar","6","Millions",,,817829.9924,,
"CAN","Canada","SAF5LINC","Shares and other equity","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1991","1991","USD","US Dollar","6","Millions",,,886536.5643,,
"CAN","Canada","SAF5LINC","Shares and other equity","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1992","1992","USD","US Dollar","6","Millions",,,838855.142,,
"CAN","Canada","SAF5LINC","Shares and other equity","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1993","1993","USD","US Dollar","6","Millions",,,963179.2389,,
"CAN","Canada","SAF5LINC","Shares and other equity","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1994","1994","USD","US Dollar","6","Millions",,,967333.4284,,
"CAN","Canada","SAF5LINC","Shares and other equity","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1995","1995","USD","US Dollar","6","Millions",,,1083744.8998,,
"CAN","Canada","SAF5LINC","Shares and other equity","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1996","1996","USD","US Dollar","6","Millions",,,1284044.9438,,
"CAN","Canada","SAF5LINC","Shares and other equity","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1997","1997","USD","US Dollar","6","Millions",,,1433089.1297,,
"CAN","Canada","SAF5LINC","Shares and other equity","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1998","1998","USD","US Dollar","6","Millions",,,1417971.695,,
"CAN","Canada","SAF5LINC","Shares and other equity","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","1999","1999","USD","US Dollar","6","Millions",,,1798903.9008,,
"CAN","Canada","SAF5LINC","Shares and other equity","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2000","2000","USD","US Dollar","6","Millions",,,1932930.3101,,
"CAN","Canada","SAF5LINC","Shares and other equity","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2001","2001","USD","US Dollar","6","Millions",,,1738540.9342,,
"CAN","Canada","SAF5LINC","Shares and other equity","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2002","2002","USD","US Dollar","6","Millions",,,1639324.2901,,
"CAN","Canada","SAF5LINC","Shares and other equity","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2003","2003","USD","US Dollar","6","Millions",,,2469556.4983,,
"CAN","Canada","SAF5LINC","Shares and other equity","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2004","2004","USD","US Dollar","6","Millions",,,3056975.8735,,
"CAN","Canada","SAF5LINC","Shares and other equity","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2005","2005","USD","US Dollar","6","Millions",,,3761394.669,,
"CAN","Canada","SAF5LINC","Shares and other equity","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2006","2006","USD","US Dollar","6","Millions",,,4247517.5905,,
"CAN","Canada","SAF5LINC","Shares and other equity","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2007","2007","USD","US Dollar","6","Millions",,,5608573.5902,,
"CAN","Canada","SAF5LINC","Shares and other equity","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2008","2008","USD","US Dollar","6","Millions",,,3490971.2644,,
"CAN","Canada","SAF5LINC","Shares and other equity","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2009","2009","USD","US Dollar","6","Millions",,,5084176.0228,,
"CAN","Canada","SAF5LINC","Shares and other equity","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2010","2010","USD","US Dollar","6","Millions",,,6166579.5295,,
"CAN","Canada","SAF5LINC","Shares and other equity","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2011","2011","USD","US Dollar","6","Millions",,,5767278.2694,,
"CAN","Canada","SAF5LINC","Shares and other equity","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2012","2012","USD","US Dollar","6","Millions",,,6367360.5387,,
"CAN","Canada","SAF5LINC","Shares and other equity","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2013","2013","USD","US Dollar","6","Millions",,,6238533.2832,,
"CAN","Canada","SAF5LINC","Shares and other equity","S1","Total economy","CXCE","US $, current prices, current exchange rates, end of period","2014","2014","USD","US Dollar","6","Millions",,,6186035.6866,,
