Year,Economy,Economy Label,Flow,Flow Label,US$ at current prices in millions,US$ at current prices in millions Footnote,US$ at current prices in millions Missing value,Percentage of Gross Domestic Product,Percentage of Gross Domestic Product Footnote,Percentage of Gross Domestic Product Missing value
2000,400,"Jordan",16,"Payments",197.461,,,2.26322,,
2000,398,"Kazakhstan",15,"Receipts",67.5,,,0.36901,,
2000,412,"Kosovo",15,"Receipts",,,"Not applicable",,,"Not applicable"
2000,412,"Kosovo",16,"Payments",,,"Not applicable",,,"Not applicable"
2000,414,"Kuwait",16,"Payments",1734.302,,,4.5981,,
2000,417,"Kyrgyzstan",16,"Payments",11.17,,,0.81529,,
2000,428,"Latvia",15,"Receipts",252.1,,,3.16744,,
2000,426,"Lesotho",15,"Receipts",477.594,,,58.09451,,
2000,434,"Libya",16,"Payments",463,,,1.20352,,
2000,442,"Luxembourg",15,"Receipts",578.526,,,2.7318,,
2000,442,"Luxembourg",16,"Payments",2719.591,,,12.84192,,
2000,462,"Maldives",15,"Receipts",2.197,,,0.24789,,
2000,462,"Maldives",16,"Payments",46.352,,,5.23027,,
2000,466,"Mali",16,"Payments",26.387,,,0.89321,,
2000,480,"Mauritius",15,"Receipts",177,"Imputed from EIU",,3.63505,,
2000,499,"Montenegro",15,"Receipts",,,"Not applicable",,,"Not applicable"
2000,499,"Montenegro",16,"Payments",,,"Not applicable",,,"Not applicable"
2000,500,"Montserrat",16,"Payments",1.4,"Imputed from IMF_bop",,3.89658,,
2000,504,"Morocco",15,"Receipts",2160.962,,,5.55506,,
2000,504,"Morocco",16,"Payments",23.199,,,0.05964,,
2000,528,"Netherlands (Kingdom of the)",16,"Payments",1447.233,,,0.34752,,
2000,530,"Netherlands Antilles",16,"Payments",45.687,"Imputed from IMF_bop",,1.59938,,
2000,554,"New Zealand",16,"Payments",187.2,,,0.34384,,
2000,807,"North Macedonia",15,"Receipts",80.921,,,2.14482,,
2000,807,"North Macedonia",16,"Payments",14.208,,,0.37659,,
2000,578,"Norway",15,"Receipts",270.45,,,0.15774,,
2000,578,"Norway",16,"Payments",1059.51,,,0.61795,,
2000,512,"Oman",15,"Receipts",39,,,0.17521,,
2000,512,"Oman",16,"Payments",1451.2,,,6.51946,,
2000,604,"Peru",15,"Receipts",717.664,,,1.38697,,
2000,620,"Portugal",15,"Receipts",3712.361,,,3.13781,,
2000,620,"Portugal",16,"Payments",203.164,,,0.17172,,
2000,410,"Republic of Korea",15,"Receipts",4523.5,,,0.78509,,
2000,410,"Republic of Korea",16,"Payments",3640.4,,,0.63182,,
2000,498,"Republic of Moldova",16,"Payments",29.21,,,1.88909,,
2000,659,"Saint Kitts and Nevis",15,"Receipts",12.403,,,2.83532,,
2000,662,"Saint Lucia",15,"Receipts",25.019,,,2.67243,,
2000,670,"Saint Vincent and the Grenadines",15,"Receipts",34.149,,,7.97983,,
2000,670,"Saint Vincent and the Grenadines",16,"Payments",9.298,,,2.17283,,
2000,682,"Saudi Arabia",16,"Payments",15390.133,,,8.1208,,
2000,688,"Serbia",15,"Receipts",,,"Not applicable",,,"Not applicable"
2000,688,"Serbia",16,"Payments",,,"Not applicable",,,"Not applicable"
2000,534,"Sint Maarten (Dutch part)",15,"Receipts",,,"Not applicable",,,"Not applicable"
2000,534,"Sint Maarten (Dutch part)",16,"Payments",,,"Not applicable",,,"Not applicable"
2000,705,"Slovenia",15,"Receipts",202.3,,,0.99698,,
2000,710,"South Africa",15,"Receipts",324.664,,,0.21394,,
2000,710,"South Africa",16,"Payments",614.277,,,0.40479,,
2000,724,"Spain",15,"Receipts",2234.812,,,0.37442,,
2000,724,"Spain",16,"Payments",621.628,,,0.10415,,
2000,144,"Sri Lanka",15,"Receipts",1154.286,,,6.03334,,
2000,275,"State of Palestine",15,"Receipts",863.8,,,20.02504,,
2000,275,"State of Palestine",16,"Payments",5.6,,,0.12982,,
2000,729,"Sudan",15,"Receipts",,,"Not applicable",,,"Not applicable"
2000,729,"Sudan",16,"Payments",,,"Not applicable",,,"Not applicable"
2000,736,"Sudan (...2011)",15,"Receipts",640.8,,,4.89456,,
2000,736,"Sudan (...2011)",16,"Payments",4.4,,,0.03361,,
2000,752,"Sweden",16,"Payments",538.813,,,0.205,,
2000,756,"Switzerland",15,"Receipts",994.933,,,0.35634,,
2000,756,"Switzerland",16,"Payments",6196.274,,,2.21922,,
2000,760,"Syrian Arab Republic",15,"Receipts",180,,,0.9153,,
2000,764,"Thailand",15,"Receipts",1696.785,,,1.34248,,
2000,626,"Timor-Leste",15,"Receipts",,,"Not applicable",,,"Not applicable"
2000,626,"Timor-Leste",16,"Payments",,,"Not applicable",,,"Not applicable"
2000,788,"Tunisia",15,"Receipts",795.953,,,3.70667,,
2000,788,"Tunisia",16,"Payments",21.157,,,0.09853,,
2000,800,"Uganda",15,"Receipts",238.1,,,3.51245,,
2000,800,"Uganda",16,"Payments",353,,,5.20745,,
2000,784,"United Arab Emirates",16,"Payments",13500,,,12.77188,,
