Ticker,Name,Series Type,Currency,Country,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
NY.GDP.DEFL.ZS SYC,Seychelles GDP deflator (base year varies by country),National Account Aggregates,Seychelles Rupee,Seychelles,Index Number,Units,Stock,Current Not Seasonally Adjusted,Annual From Dec 1960 To Dec 2013<BR>,Definition:The GDP implicit deflator is the ratio of GDP in current local currency to GDP in constant local currency. The base year varies by country.

Date,Ticker,Open,High,Low,Close,Volume,Openint
12/31/1960,NY.GDP.DEFL.ZS SYC,7.4022119,7.4022119,7.4022119,7.4022119,0,
12/31/1961,NY.GDP.DEFL.ZS SYC,7.5100549,7.5100549,7.5100549,7.5100549,0,
12/31/1962,NY.GDP.DEFL.ZS SYC,7.5550417,7.5550417,7.5550417,7.5550417,0,
12/31/1963,NY.GDP.DEFL.ZS SYC,7.5548556,7.5548556,7.5548556,7.5548556,0,
12/31/1964,NY.GDP.DEFL.ZS SYC,7.8857269,7.8857269,7.8857269,7.8857269,0,
12/31/1965,NY.GDP.DEFL.ZS SYC,8.0789919,8.0789919,8.0789919,8.0789919,0,
12/31/1966,NY.GDP.DEFL.ZS SYC,7.4751469,7.4751469,7.4751469,7.4751469,0,
12/31/1967,NY.GDP.DEFL.ZS SYC,7.6275831,7.6275831,7.6275831,7.6275831,0,
12/31/1968,NY.GDP.DEFL.ZS SYC,7.8867739,7.8867739,7.8867739,7.8867739,0,
12/31/1969,NY.GDP.DEFL.ZS SYC,8.0722411,8.0722411,8.0722411,8.0722411,0,
12/31/1970,NY.GDP.DEFL.ZS SYC,8.3067702,8.3067702,8.3067702,8.3067702,0,
12/31/1971,NY.GDP.DEFL.ZS SYC,8.4375546,8.4375546,8.4375546,8.4375546,0,
12/31/1972,NY.GDP.DEFL.ZS SYC,10.7757038,10.7757038,10.7757038,10.7757038,0,
12/31/1973,NY.GDP.DEFL.ZS SYC,12.1278471,12.1278471,12.1278471,12.1278471,0,
12/31/1974,NY.GDP.DEFL.ZS SYC,14.6667353,14.6667353,14.6667353,14.6667353,0,
12/31/1975,NY.GDP.DEFL.ZS SYC,16.6478059,16.6478059,16.6478059,16.6478059,0,
12/31/1976,NY.GDP.DEFL.ZS SYC,18.1684447,18.1684447,18.1684447,18.1684447,0,
12/31/1977,NY.GDP.DEFL.ZS SYC,26.1271767,26.1271767,26.1271767,26.1271767,0,
12/31/1978,NY.GDP.DEFL.ZS SYC,26.0082357,26.0082357,26.0082357,26.0082357,0,
12/31/1979,NY.GDP.DEFL.ZS SYC,30.4322283,30.4322283,30.4322283,30.4322283,0,
12/31/1980,NY.GDP.DEFL.ZS SYC,37.1459878,37.1459878,37.1459878,37.1459878,0,
12/31/1981,NY.GDP.DEFL.ZS SYC,42.0304373,42.0304373,42.0304373,42.0304373,0,
12/31/1982,NY.GDP.DEFL.ZS SYC,42.1144353,42.1144353,42.1144353,42.1144353,0,
12/31/1983,NY.GDP.DEFL.ZS SYC,43.8945311,43.8945311,43.8945311,43.8945311,0,
12/31/1984,NY.GDP.DEFL.ZS SYC,45.1808354,45.1808354,45.1808354,45.1808354,0,
12/31/1985,NY.GDP.DEFL.ZS SYC,45.8647148,45.8647148,45.8647148,45.8647148,0,
12/31/1986,NY.GDP.DEFL.ZS SYC,48.9565159,48.9565159,48.9565159,48.9565159,0,
12/31/1987,NY.GDP.DEFL.ZS SYC,50.9837935,50.9837935,50.9837935,50.9837935,0,
12/31/1988,NY.GDP.DEFL.ZS SYC,52.951461,52.951461,52.951461,52.951461,0,
12/31/1989,NY.GDP.DEFL.ZS SYC,53.6330014,53.6330014,53.6330014,53.6330014,0,
12/31/1990,NY.GDP.DEFL.ZS SYC,57.2943738,57.2943738,57.2943738,57.2943738,0,
12/31/1991,NY.GDP.DEFL.ZS SYC,56.123761,56.123761,56.123761,56.123761,0,
12/31/1992,NY.GDP.DEFL.ZS SYC,58.750107,58.750107,58.750107,58.750107,0,
12/31/1993,NY.GDP.DEFL.ZS SYC,61.160046,61.160046,61.160046,61.160046,0,
12/31/1994,NY.GDP.DEFL.ZS SYC,61.7478689,61.7478689,61.7478689,61.7478689,0,
12/31/1995,NY.GDP.DEFL.ZS SYC,61.267014,61.267014,61.267014,61.267014,0,
12/31/1996,NY.GDP.DEFL.ZS SYC,60.3281656,60.3281656,60.3281656,60.3281656,0,
12/31/1997,NY.GDP.DEFL.ZS SYC,60.9819749,60.9819749,60.9819749,60.9819749,0,
12/31/1998,NY.GDP.DEFL.ZS SYC,63.6443588,63.6443588,63.6443588,63.6443588,0,
12/31/1999,NY.GDP.DEFL.ZS SYC,64.9532896,64.9532896,64.9532896,64.9532896,0,
12/31/2000,NY.GDP.DEFL.ZS SYC,67.5408509,67.5408509,67.5408509,67.5408509,0,
12/31/2001,NY.GDP.DEFL.ZS SYC,71.6991785,71.6991785,71.6991785,71.6991785,0,
12/31/2002,NY.GDP.DEFL.ZS SYC,74.2897873,74.2897873,74.2897873,74.2897873,0,
12/31/2003,NY.GDP.DEFL.ZS SYC,78.7076762,78.7076762,78.7076762,78.7076762,0,
12/31/2004,NY.GDP.DEFL.ZS SYC,107.2029768,107.2029768,107.2029768,107.2029768,0,
12/31/2005,NY.GDP.DEFL.ZS SYC,98.3461568,98.3461568,98.3461568,98.3461568,0,
12/31/2006,NY.GDP.DEFL.ZS SYC,100,100,100,100,0,
12/31/2007,NY.GDP.DEFL.ZS SYC,110.2216696,110.2216696,110.2216696,110.2216696,0,
12/31/2008,NY.GDP.DEFL.ZS SYC,150.1244948,150.1244948,150.1244948,150.1244948,0,
12/31/2009,NY.GDP.DEFL.ZS SYC,192.3814586,192.3814586,192.3814586,192.3814586,0,
12/31/2010,NY.GDP.DEFL.ZS SYC,184.9361015,184.9361015,184.9361015,184.9361015,0,
12/31/2011,NY.GDP.DEFL.ZS SYC,191.3979327,191.3979327,191.3979327,191.3979327,0,
12/31/2012,NY.GDP.DEFL.ZS SYC,200.7411346,200.7411346,200.7411346,200.7411346,0,
12/31/2013,NY.GDP.DEFL.ZS SYC,234.6459874,234.6459874,234.6459874,234.6459874,0,
