"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1992","1992","INR","Indian Rupee","0","Units",,,6.890921,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1993","1993","INR","Indian Rupee","0","Units",,,7.394557,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1994","1994","INR","Indian Rupee","0","Units",,,7.963074,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1995","1995","INR","Indian Rupee","0","Units",,,8.507306,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1996","1996","INR","Indian Rupee","0","Units",,,8.987661,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1997","1997","INR","Indian Rupee","0","Units",,,9.408691,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1998","1998","INR","Indian Rupee","0","Units",,,10.05324,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","1999","1999","INR","Indian Rupee","0","Units",,,10.205536,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2000","2000","INR","Indian Rupee","0","Units",,,10.342186,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2001","2001","INR","Indian Rupee","0","Units",,,10.436904,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2002","2002","INR","Indian Rupee","0","Units",,,10.661046,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2003","2003","INR","Indian Rupee","0","Units",,,10.856901,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2004","2004","INR","Indian Rupee","0","Units",,,11.171323,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2005","2005","INR","Indian Rupee","0","Units",,,11.281641,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2006","2006","INR","Indian Rupee","0","Units",,,11.648346,,
"IND","India","PPPGDP","Purchasing Power Parities for GDP","CD","National currency per US dollar","2007","2007","INR","Indian Rupee","0","Units",,,11.999506,,
