"Data Source","World Development Indicators",

"Last Updated Date","2018-05-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Burundi","BDI","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","1.469180093","1.534365558","1.517651336","1.609579556","1.674347165","1.671004321","1.735354075","1.801793106","1.910017692","2.210316543","2.5575545","2.732914544","2.919695972","3.617375445","4.939191817","5.062598487","5.67858481","6.011809638","6.50184615","7.432706998","7.715468491","7.84475472","8.402770766","8.779786091","9.803649612","10.49011778","11.43390725","11.64238549","12.76929234","14.6658917","17.49101962","22.11508228","28.99543597","32.61998456","33.72430944","41.92527942","45.80042115","45.17250908","50.03382531","53.96232528","61.26001658","62.98081962","68.2347","84.68428124","93.98385913","100","109.7350192","129.5013864","139.7976198","145.920532","154.0252562","162.5559222","165.067735106301",
"Belgium","BEL","Consumer price index (2010 = 100)","FP.CPI.TOTL","15.55485041","15.70777731","15.92842898","16.27142217","16.95085454","17.63902559","18.37525938","18.91050353","19.42171631","20.14921142","20.93787729","21.84670002","23.036799","24.63907239","27.76278638","31.30759551","34.1749642","36.60509409","38.24155947","39.95060698","42.60771195","45.85794519","49.85944101","53.68035446","57.08772429","59.86657001","60.64214223","61.58481397","62.30046086","64.23517063","66.45309738","68.58527955","70.2518426","72.18655237","73.90300319","74.98702268","76.53094498","77.77645498","78.51878658","79.39695722","81.41732366","83.43195042","84.80182009","86.1525575","87.9548162","90.40374522","92.02282269","93.70222844","97.91150824","97.85768113","100","103.5310582","106.4700183","107.6542147","108.020239","108.6231026","110.7654215","113.120262084075",
"Benin","BEN","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.38601045","38.55513891","53.41076789","61.13532595","64.13966242","66.36293292","70.18100121","70.41029861","73.3431723","76.265381","78.16375015","79.32623464","80.01945933","84.31211991","87.50095349","88.63677549","95.68100485","97.74468143","100","102.7128005","109.6491228","110.7147498","109.5126706","109.8635478","108.8417804","108.927842513298",
"Burkina Faso","BFA","Consumer price index (2010 = 100)","FP.CPI.TOTL","10.71330051","12.70191821","12.91479087","13.63468751","13.88626429","13.7848595","14.11074819","13.49922309","13.46051897","14.76020333","15.02184318","15.33147615","14.88328243","16.01499091","17.41143557","20.67728925","18.94024833","24.61969094","26.65552767","30.65211514","34.39248133","36.99107597","41.45211288","44.83201982","47.00500885","50.25120194","48.93876973","47.62633752","49.65313157","49.41390342","49.16470743","50.22794365","49.22783708","49.50029136","61.96341345","66.58516841","70.64540173","72.28345003","75.95858166","75.14383956","74.91524285","78.66657338","80.37811793","82.01346358","81.68522216","86.92536198","88.95342505","88.74827416","98.20866083","100.7701162","100","102.7597672","106.6832918","107.2527016","106.9758936","107.9975062","107.7306733","108.127172849888",
"Bangladesh","BGD","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","24.28000283","26.67757932","28.65512584","30.38746567","32.24922014","34.29942049","35.54588781","36.61753185","38.56329232","42.53446758","43.54556676","45.85592081","49.70884439","52.74441235","53.90914412","54.9911943","56.82381156","60.04498736","64.60092262","69.15310297","73.83149099","80.55531378","87.72630342","92.48411524","100","110.7048046","117.5886312","126.4430232","135.282864","143.6626637","151.5835416","160.352453194828",
"Bulgaria","BGR","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","0.024834863","0.025505404","0.02620078","0.026821652","0.028535257","0.035326648","0.154889375","0.296300173","0.512240158","1.004284419","1.627491445","3.606643103","41.77841063","49.579384","50.85506604","56.10140678","60.23100357","63.73050349","65.10523866","69.23690379","72.72564304","78.00669802","84.56120049","95.00347041","97.61907981","100","104.2199035","107.2991517","108.2542145","106.719037","106.6071182","105.7558358","107.939011750888",
"Bahrain","BHR","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","17.96565475","18.34912657","19.1304504","19.75359211","19.71524493","20.03640258","21.19640483","22.27491932","25.46732222","31.6795657","36.79891449","45.0771124","53.06978969","61.4471413","62.80266029","65.23282496","72.63322594","79.08720601","81.43799344","81.70054893","79.54694754","77.72047547","76.36425181","76.59596842","77.73410586","78.45651645","79.05625355","78.91994966","80.92361678","81.58469062","83.79076901","83.41184421","85.44004602","85.12687932","84.03079586","83.43850231","82.43092249","82.02244418","83.32957477","85.29027064","87.4960535","89.25251023","92.15916698","95.40870212","98.07586463","100","99.63555225","102.3800669","105.7642246","108.568241","110.561547","113.6556341","115.232428447831",
"Bahamas, The","BHS","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","13.9623369","14.72157478","15.39008612","16.76530945","17.79672695","18.61804089","19.88980413","20.9801143","23.7226025","26.18017753","27.2943631","28.16501954","29.8856404","32.6026615","36.54687842","40.60888067","43.05053877","44.77256032","46.54839504","48.69195312","51.33776748","54.29300759","56.68320937","59.73710697","62.52642313","66.9749788","70.81813627","72.74644165","73.76440752","75.2891141","76.32745444","76.74279057","77.76854497","78.74395559","80.00884292","81.64501557","83.41963361","85.94311528","86.78700279","88.16831009","90.27537954","92.52556374","96.6795544","98.67379715","100","103.1987814","105.2468625","105.6119408","107.2008348","109.2063564","108.8280907","110.480326398985",
"Bosnia and Herzegovina","BIH","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.89325495","90.09296682","91.45833333","98.24166667","97.85833333","100","103.6416667","105.8","105.7083333","104.7416667","103.85","102.550375","",
"Belarus","BLR","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belize","BLZ","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","43.50568555","48.38897678","51.69831465","54.28121249","56.11749142","59.61763259","60.09443742","61.30347824","63.2277263","64.57299708","66.54833138","67.05539739","68.66251458","69.67363668","71.46379142","73.52882046","77.91483002","78.81010069","80.54018927","82.65146597","85.18674982","88.29727402","92.04131385","94.17490766","100.1968572","99.09037279","92.04131385","94.17490766","100.1968572","99.09037279","100","101.6020562","102.9234993","103.4481496","104.6909753","103.7641654","104.450221217407","105.65178597973",
"Bermuda","BMU","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Consumer price index (2010 = 100)","FP.CPI.TOTL","2.24E-05","2.41E-05","2.55E-05","2.54E-05","2.79E-05","2.87E-05","3.07E-05","3.42E-05","3.61E-05","3.69E-05","3.83E-05","3.97E-05","4.23E-05","5.56E-05","9.06E-05","9.78E-05","0.000102209","0.000110495","0.000121938","0.000145983","0.000214948","0.000284019","0.000634883","0.002384535","0.03293877","3.903125526","14.68886521","16.83031058","19.5235122","22.4859061","26.33521768","31.98335021","35.84064574","38.89709191","41.95986613","46.23692204","51.9820846","54.42963213","58.60614242","59.8717516","62.63077962","63.62639217","64.21700979","66.360108","69.30475869","73.04252447","76.17279784","82.80458994","94.39757003","97.55929376","100","109.8126898","114.8491113","121.4134042","128.4354258","133.6511419","138.4963157","142.404938718029",
"Brazil","BRA","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","3.57E-10","7.21E-10","1.45E-09","3.4E-09","9.92E-09","3.23E-08","7.99E-08","2.62E-07","1.91E-06","2.93E-05","0.00089289","0.004757179","0.050028803","1.014575865","22.0760262","36.64794227","42.42271836","45.36062606","46.81152737","49.08561557","52.54355113","56.13639023","60.88003909","69.83873521","74.44748054","79.56004928","82.88858757","85.90326866","90.76805539","95.20335332","100","106.6361987","112.3966485","119.3673758","126.9258283","138.384186","150.4782422","155.664275933863",
