"Data Source","World Development Indicators",

"Last Updated Date","2021-03-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","31.9824591381405","","","","39.8575370165269","41.4646957639131","41.9100126677082","43.4368134807205","44.792853676488","46.5808177864629","49.299594672792","52.0384610435028","54.0541059764705","56.8733302847083","60.4626514942459","62.4950376641989","64.5106825971666","66.4459695926078","67.6881693768789","69.2317114268757","72.0314565915752","74.1085587734806","76.5654403862613","79.3649524114213","81.3721948111764","84.1370484876733","87.1727337163219","91.8735825241023","100.101768678965","97.9641667608969","100","104.316297421952","104.970852972298","102.480875854163","102.91277219904","103.401364578457","102.438495220917","101.385138831048","105.061405952227","109.534355432857","",
"Afghanistan","AFG","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.5233948093157","71.5821433759539","76.4387030058668","83.0740187275294","105.021064735005","97.8679108385313","100","111.804185808913","119.005731346616","127.795223073732","133.768366733582","132.883209191418","138.708665508891","145.610741438593","146.522481857209","149.895975208032","",
"Angola","AGO","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.22008150730772E-08","4.08014979721419E-08","1.63005984545567E-07","2.41008848315838E-06","2.5300928889588E-05","0.000699937697271513","0.0297130970585906","0.0948372889505529","0.19658330514343","0.684495013337208","2.90908239295018","7.34720823610931","15.3481296293837","30.4236985252629","43.6708178150299","53.6948050312199","60.8390116952927","68.2927016592819","76.8127824283574","87.3593955494137","100","113.482467921851","125.146088077866","136.131179284704","146.042056377604","159.405447922387","208.335449090845","270.510219450188","323.607609271218","378.883721459389","",
"Albania","ALB","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.11442010166843","16.6732867971191","30.8463727623279","37.8068730301404","40.7532452677226","45.939290450596","61.1820730682136","73.8118020636263","74.0992530136344","74.1363160790387","76.4401675415541","82.3799705081646","82.7786917170394","84.6660617563507","86.6697534974079","88.7244578876156","91.3264645210008","94.3978991640055","96.5042908980298","100","103.429123247222","105.530385115854","107.575160377427","109.324187306059","111.397164149808","112.817958876089","115.059269640307","117.392740239273","119.049258384381","",
"Andorra","AND","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.9531235204222","97.605246567666","99.1296581675539","100","100.877346595685","101.545425889605","102.663561221631","105.072324180443","109.348732137854","111.117434855702","113.302920986271","116.779772707568","114.524660532343","",
"Argentina","ARG","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.462030295706842","16.0498210283141","44.289693873561","52.5635338054846","59.9018047741462","65.0967806009243","65.5187677213725","65.0005904218581","67.0454470164194","67.756161803785","70.9553051421402","75.8946893809888","76.3796018037861","78.5887722763934","82.0524630946995","89.3961202671007","92.4416376368405","100","107.650008078593","110.403716898759","116.795725329982","120.277766438018","124.766161254862","123.014933984404","124.207629297982","127.33795197859","129.176007326748","",
"American Samoa","ASM","Consumer price index (2010 = 100)","FP.CPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
