currency;lcu_to_usd;year
XOF;7,049511e+02;2000
XPF;1,282447e+02;2000
ZAR;7,570363e+00;2000
ZMK;2,916174e+03;2000
ZWD;5,589382e+01;2000
AED;3,672460e+00;2001
ALL;1,376943e+02;2001
AMD;5,681096e+02;2001
ANG;1,790000e+00;2001
ARS;1,000337e+00;2001
AUD;1,958286e+00;2001
AWG;1,790000e+00;2001
BBD;2,000000e+00;2001
BDT;5,723828e+01;2001
BGN;2,201264e+00;2001
BHD;3,764300e-01;2001
BIF;8,510836e+02;2001
BMD;1,000000e+00;2001
BND;1,856598e+00;2001
BOB;6,813684e+00;2001
BRL;2,319496e+00;2001
BSD;1,000000e+00;2001
BTN;4,848508e+01;2001
BWP;7,023613e+00;2001
BYR;1,554340e+03;2001
BZD;2,000000e+00;2001
CAD;1,593250e+00;2001
CDF;3,060354e+02;2001
CHF;1,663638e+00;2001
CLP;6,605727e+02;2001
CNY;8,274975e+00;2001
COP;2,293699e+03;2001
CRC;3,396267e+02;2001
CVE;1,251129e+02;2001
CYP;6,554150e-01;2001
CZK;3,611905e+01;2001
DJF;1,777210e+02;2001
DKK;8,379779e+00;2001
DOP;1,690446e+01;2001
DZD;7,681263e+01;2001
EEK;1,781125e+01;2001
EGP;4,575561e+00;2001
ETB;8,451242e+00;2001
EUR;1,124966e+00;2001
FJD;2,318802e+00;2001
FKP;6,885790e-01;2001
GBP;6,878270e-01;2001
GEL;2,030421e+00;2001
GIP;6,923400e-01;2001
GMD;1,732123e+01;2001
GNF;1,980132e+03;2001
GTQ;7,990843e+00;2001
GYD;1,809259e+02;2001
HKD;7,798556e+00;2001
HNL;1,588211e+01;2001
HRK;8,340043e+00;2001
HTG;2,583161e+01;2001
HUF;2,779902e+02;2001
IDR;1,023328e+04;2001
IEP;8,885700e-01;2001
ILS;4,415627e+00;2001
INR;4,833357e+01;2001
IQD;3,125020e+03;2001
IRR;1,750210e+03;2001
ISK;1,038012e+02;2001
JMD;4,729116e+01;2001
JOD;7,089000e-01;2001
JPY;1,312737e+02;2001
KES;7,883961e+01;2001
KGS;4,779530e+01;2001
KHR;3,835141e+03;2001
KMF;5,582299e+02;2001
KPW;2,211290e+00;2001
KRW;1,315196e+03;2001
KWD;3,076890e-01;2001
KZT;1,507568e+02;2001
LAK;7,600669e+03;2001
LBP;1,510605e+03;2001
LKR;9,332218e+01;2001
LSL;1,212697e+01;2001
LTL;3,997277e+00;2001
LVL;6,312270e-01;2001
LYD;6,539750e-01;2001
MAD;1,161001e+01;2001
MDL;1,307058e+01;2001
MKD;6,962941e+01;2001
MMK;6,810609e+00;2001
MNT;1,085479e+03;2001
MOP;8,031850e+00;2001
MRO;2,640338e+02;2001
MTL;4,536520e-01;2001
MUR;3,049541e+01;2001
MVR;1,177000e+01;2001
MWK;6,735221e+01;2001
MXN;9,176183e+00;2001
MYR;3,799848e+00;2001
NAD;1,191115e+01;2001
NGN;1,206105e+02;2001
NIO;1,383331e+01;2001
NOK;8,988000e+00;2001
NPR;7,692171e+01;2001
NZD;2,403539e+00;2001
OMR;3,844970e-01;2001
PAB;1,000000e+00;2001
PEN;3,449333e+00;2001
PGK;3,822421e+00;2001
PHP;5,165485e+01;2001
PKR;6,053173e+01;2001
PLN;3,966073e+00;2001
PYG;4,658709e+03;2001
QAR;3,640000e+00;2001
RON;3,144700e+00;2001
RUB;3,034506e+01;2001
RWF;4,528424e+02;2001
SAR;3,749765e+00;2001
SBD;5,658573e+00;2001
SCR;5,768739e+00;2001
SEK;1,048758e+01;2001
SGD;1,848856e+00;2001
SHP;6,885790e-01;2001
SIT;2,470880e+02;2001
SKK;4,874361e+01;2001
SLL;1,974957e+03;2001
SOS;2,619925e+03;2001
STD;8,936957e+03;2001
SVC;8,795019e+00;2001
SYP;4,589811e+01;2001
SZL;1,211596e+01;2001
THB;4,428666e+01;2001
TJS;2,412050e+00;2001
TND;1,471247e+00;2001
TOP;1,937286e+00;2001
TRY;1,443440e+00;2001
TTD;6,250500e+00;2001
TWD;3,503282e+01;2001
TZS;9,119834e+02;2001
UAH;5,329536e+00;2001
UGX;1,731113e+03;2001
USD;1,000000e+00;2001
UZS;1,731113e+03;2001
VEF;7,646700e-01;2001
VND;1,515509e+04;2001
VUV;1,462147e+02;2001
WST;3,538659e+00;2001
XAF;7,443061e+02;2001
XCD;2,713707e+00;2001
XDR;8,005210e-01;2001
XOF;7,443061e+02;2001
XPF;1,354042e+02;2001
YER;1,706944e+02;2001
ZAR;1,191035e+01;2001
ZMK;3,778815e+03;2001
ZWD;5,572779e+01;2001
AED;3,672460e+00;2002
ALL;1,310937e+02;2002
AMD;5,579098e+02;2002
ANG;1,790000e+00;2002
ARS;3,372193e+00;2002
AUD;1,778260e+00;2002
AWG;1,790000e+00;2002
BBD;2,000000e+00;2002
BDT;5,762477e+01;2002
BGN;1,871273e+00;2002
BHD;3,764500e-01;2002
BIF;1,033356e+03;2002
BMD;1,000000e+00;2002
BND;1,734233e+00;2002
BOB;7,496129e+00;2002
BRL;3,539602e+00;2002
BSD;1,000000e+00;2002
BTN;4,792553e+01;2002
BWP;5,436569e+00;2002
BYR;1,907514e+03;2002
BZD;2,000000e+00;2002
CAD;1,577803e+00;2002
CDF;3,430533e+02;2002
CHF;1,383259e+00;2002
