currency,lcu_to_usd,year
ANG,1.798486,1999
AUD,1.510377,1999
AWG,1.798486,1999
BBD,2,1999
BMD,1,1999
BRL,1.776095,1999
BSD,1,1999
CAD,1.472262,1999
CHF,1.551979,1999
CNY,8.27435,1999
CYP,0.559495,1999
CZK,35.178635,1999
DKK,7.201709,1999
EEK,15.115121,1999
EUR,0.968274,1999
FKP,0.634479,1999
GBP,0.634482,1999
GRD,315.138385,1999
HKD,7.757766,1999
HUF,242.836564,1999
IDR,6642.702288,1999
IEP,0.763726,1999
INR,43.41001,1999
ISK,74.819489,1999
JPY,120.948345,1999
KPW,900,1999
KRW,1158.382925,1999
LKR,71.59,1999
LTL,3.982147,1999
LVL,0.599704,1999
MTL,0.411568,1999
MXN,9.42456,1999
MYR,3.79966,1999
NOK,7.855748,1999
NZD,1.894666,1999
PAB,1,1999
PHP,37.939166,1999
PLN,3.920282,1999
RON,1.593166,1999
RUB,24.347195,1999
SAR,3.75077,1999
SEK,8.475232,1999
SGD,1.70056,1999
SHP,0.634479,1999
SIT,189.948564,1999
SKK,43.990557,1999
THB,36.871015,1999
TRY,0.423142,1999
TWD,32.297018,1999
USD,1,1999
VEF,0.606003,1999
ZAR,6.045909,1999
AED,3.67246,2000
ALL,140.42591,2000
ANG,1.79,2000
ARS,0.996361,2000
AUD,1.670055,2000
AWG,1.79,2000
BBD,2,2000
BDT,50.476559,2000
BHD,0.37599,2000
BIF,669.223524,2000
BMD,1,2000
BND,1.712955,2000
BOB,6.059858,2000
BRL,1.806116,2000
BSD,1,2000
BTN,43.878924,2000
BWP,5.073043,2000
BZD,2,2000
CAD,1.480617,2000
CHF,1.631901,2000
CLP,535.334099,2000
CNY,8.275066,2000
COP,2119.752816,2000
CRC,304.636877,2000
CVE,115.385098,2000
CYP,0.602929,2000
CZK,37.321123,2000
DJF,177.721,2000
DKK,7.810548,2000
DOP,15.683264,2000
DZD,74.598211,2000
EEK,16.39641,2000
EGP,3.453227,2000
ETB,7.99571,2000
EUR,1.047853,2000
FJD,2.056718,2000
FKP,0.66059,2000
GBP,0.660655,2000
GIP,0.65226,2000
GMD,12.828694,2000
GNF,1623.367518,2000
GRD,352.231782,2000
GTQ,7.657807,2000
GYD,178.140435,2000
HKD,7.779699,2000
HNL,14.616785,2000
HRK,7.989274,2000
HTG,18.656342,2000
HUF,271.745569,2000
IDR,8791.956052,2000
IEP,0.825829,2000
ILS,4.074165,2000
INR,44.589814,2000
IQD,1944.223524,2000
IRR,1731.979908,2000
ISK,76.209083,2000
JMD,41.055776,2000
JOD,0.7095,2000
JPY,105.749782,2000
KES,76.974571,2000
KHR,3890.089996,2000
KMF,514.826287,2000
KPW,2.171306,2000
