currency,lcu_to_usd,year
GNF,1980.131624,2001
GTQ,7.990843,2001
GYD,180.925905,2001
HKD,7.798556,2001
HNL,15.882106,2001
HRK,8.340043,2001
HTG,25.831612,2001
HUF,277.990213,2001
IDR,10233.280382,2001
IEP,0.88857,2001
ILS,4.415627,2001
INR,48.333565,2001
IQD,3125.02,2001
IRR,1750.209917,2001
ISK,103.801203,2001
JMD,47.291161,2001
JOD,0.7089,2001
JPY,131.273741,2001
KES,78.839611,2001
KGS,47.795302,2001
KHR,3835.141269,2001
KMF,558.229888,2001
KPW,2.21129,2001
KRW,1315.196393,2001
KWD,0.307689,2001
KZT,150.756836,2001
LAK,7600.669466,2001
LBP,1510.605361,2001
LKR,93.322177,2001
LSL,12.126972,2001
LTL,3.997277,2001
LVL,0.631227,2001
LYD,0.653975,2001
MAD,11.610008,2001
MDL,13.070578,2001
MKD,69.629411,2001
MMK,6.810609,2001
MNT,1085.479405,2001
MOP,8.03185,2001
MRO,264.033814,2001
MTL,0.453652,2001
MUR,30.495405,2001
MVR,11.77,2001
MWK,67.352207,2001
MXN,9.176183,2001
MYR,3.799848,2001
NAD,11.911154,2001
NGN,120.610462,2001
NIO,13.833314,2001
NOK,8.988,2001
NPR,76.921707,2001
NZD,2.403539,2001
OMR,0.384497,2001
PAB,1,2001
PEN,3.449333,2001
PGK,3.822421,2001
PHP,51.654847,2001
PKR,60.531726,2001
PLN,3.966073,2001
PYG,4658.708726,2001
QAR,3.64,2001
RON,3.1447,2001
RUB,30.345058,2001
RWF,452.842392,2001
SAR,3.749765,2001
SBD,5.658573,2001
SCR,5.768739,2001
SEK,10.487584,2001
SGD,1.848856,2001
SHP,0.688579,2001
SIT,247.087964,2001
SKK,48.743613,2001
SLL,1974.957449,2001
SOS,2619.925111,2001
STD,8936.956768,2001
SVC,8.795019,2001
SYP,45.898105,2001
SZL,12.115965,2001
THB,44.286658,2001
TJS,2.41205,2001
TND,1.471247,2001
TOP,1.937286,2001
TRY,1.44344,2001
TTD,6.2505,2001
TWD,35.032818,2001
TZS,911.983434,2001
UAH,5.329536,2001
UGX,1731.113128,2001
USD,1,2001
UZS,1731.113128,2001
VEF,0.76467,2001
VND,15155.089073,2001
VUV,146.214683,2001
WST,3.538659,2001
XAF,744.306139,2001
XCD,2.713707,2001
XDR,0.800521,2001
XOF,744.306139,2001
XPF,135.404176,2001
YER,170.694429,2001
ZAR,11.910347,2001
ZMK,3778.815386,2001
ZWD,55.727788,2001
