"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CCUS","Currency exchange rates, monthly average","ISR","Israel","A","Annual","2001","2001","NATUSD","National currency per US dollar","0","Units",,,4.206044,,
"CCUS","Currency exchange rates, monthly average","ISR","Israel","A","Annual","2002","2002","NATUSD","National currency per US dollar","0","Units",,,4.736465,,
"CCUS","Currency exchange rates, monthly average","ISR","Israel","A","Annual","2003","2003","NATUSD","National currency per US dollar","0","Units",,,4.546993,,
"CCUS","Currency exchange rates, monthly average","ISR","Israel","A","Annual","2004","2004","NATUSD","National currency per US dollar","0","Units",,,4.480753,,
"CCUS","Currency exchange rates, monthly average","ISR","Israel","A","Annual","2005","2005","NATUSD","National currency per US dollar","0","Units",,,4.487234,,
"CCUS","Currency exchange rates, monthly average","ISR","Israel","A","Annual","2006","2006","NATUSD","National currency per US dollar","0","Units",,,4.457342,,
"CCUS","Currency exchange rates, monthly average","ISR","Israel","A","Annual","2007","2007","NATUSD","National currency per US dollar","0","Units",,,4.10895,,
"CCUS","Currency exchange rates, monthly average","ISR","Israel","A","Annual","2008","2008","NATUSD","National currency per US dollar","0","Units",,,3.58478,,
"CCUS","Currency exchange rates, monthly average","ISR","Israel","A","Annual","2009","2009","NATUSD","National currency per US dollar","0","Units",,,3.92675,,
"CCUS","Currency exchange rates, monthly average","ISR","Israel","A","Annual","2010","2010","NATUSD","National currency per US dollar","0","Units",,,3.73054,,
"CCUS","Currency exchange rates, monthly average","ISR","Israel","A","Annual","2011","2011","NATUSD","National currency per US dollar","0","Units",,,3.574147,,
"CCUS","Currency exchange rates, monthly average","ISR","Israel","A","Annual","2012","2012","NATUSD","National currency per US dollar","0","Units",,,3.850048,,
"CCUS","Currency exchange rates, monthly average","ISR","Israel","A","Annual","2013","2013","NATUSD","National currency per US dollar","0","Units",,,3.609113,,
"CCUS","Currency exchange rates, monthly average","ISR","Israel","A","Annual","2014","2014","NATUSD","National currency per US dollar","0","Units",,,3.577102,,
"CCUS","Currency exchange rates, monthly average","ISR","Israel","A","Annual","2015","2015","NATUSD","National currency per US dollar","0","Units",,,3.886946,,
"CCUS","Currency exchange rates, monthly average","ISR","Israel","A","Annual","2016","2016","NATUSD","National currency per US dollar","0","Units",,,3.839472,,
"CCUS","Currency exchange rates, monthly average","ISR","Israel","A","Annual","2017","2017","NATUSD","National currency per US dollar","0","Units",,,3.599434,,
"CCUS","Currency exchange rates, monthly average","ISR","Israel","A","Annual","2018","2018","NATUSD","National currency per US dollar","0","Units",,,3.595016,,
"CCUS","Currency exchange rates, monthly average","ISR","Israel","A","Annual","2019","2019","NATUSD","National currency per US dollar","0","Units",,,3.564246,,
