"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","D1_D4FRS2","Primary incomes receivable from the rest of the world","C","Current prices","2001","2001","AUD","Australian Dollar","6","Millions",,,17458,,
"AUS","Australia","D1_D4FRS2","Primary incomes receivable from the rest of the world","C","Current prices","2002","2002","AUD","Australian Dollar","6","Millions",,,18211,,
"AUS","Australia","D1_D4FRS2","Primary incomes receivable from the rest of the world","C","Current prices","2003","2003","AUD","Australian Dollar","6","Millions",,,19666,,
"AUS","Australia","D1_D4FRS2","Primary incomes receivable from the rest of the world","C","Current prices","2004","2004","AUD","Australian Dollar","6","Millions",,,24589,,
"AUS","Australia","D1_D4FRS2","Primary incomes receivable from the rest of the world","C","Current prices","2005","2005","AUD","Australian Dollar","6","Millions",,,29764,,
"AUS","Australia","D1_D4FRS2","Primary incomes receivable from the rest of the world","C","Current prices","2006","2006","AUD","Australian Dollar","6","Millions",,,40161,,
"AUS","Australia","D1_D4FRS2","Primary incomes receivable from the rest of the world","C","Current prices","2007","2007","AUD","Australian Dollar","6","Millions",,,49039,,
"AUS","Australia","D1_D4FRS2","Primary incomes receivable from the rest of the world","C","Current prices","2008","2008","AUD","Australian Dollar","6","Millions",,,47700,,
"AUS","Australia","D1_D4FRS2","Primary incomes receivable from the rest of the world","C","Current prices","2009","2009","AUD","Australian Dollar","6","Millions",,,38515,,
"AUS","Australia","D1_D4FRS2","Primary incomes receivable from the rest of the world","C","Current prices","2010","2010","AUD","Australian Dollar","6","Millions",,,44394,,
"AUS","Australia","D1_D4FRS2","Primary incomes receivable from the rest of the world","C","Current prices","2011","2011","AUD","Australian Dollar","6","Millions",,,47324,,
"AUS","Australia","D1_D4FRS2","Primary incomes receivable from the rest of the world","C","Current prices","2012","2012","AUD","Australian Dollar","6","Millions",,,46583,,
"AUS","Australia","D1_D4FRS2","Primary incomes receivable from the rest of the world","C","Current prices","2013","2013","AUD","Australian Dollar","6","Millions",,,49068,,
"AUS","Australia","D1_D4FRS2","Primary incomes receivable from the rest of the world","C","Current prices","2014","2014","AUD","Australian Dollar","6","Millions",,,53021,,
"AUS","Australia","D1_D4FRS2","Primary incomes receivable from the rest of the world","C","Current prices","2015","2015","AUD","Australian Dollar","6","Millions",,,53737,,
"AUS","Australia","D1_D4FRS2","Primary incomes receivable from the rest of the world","C","Current prices","2016","2016","AUD","Australian Dollar","6","Millions",,,60128,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1959","1959","AUD","Australian Dollar","6","Millions",,,16584,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1960","1960","AUD","Australian Dollar","6","Millions",,,17544,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1961","1961","AUD","Australian Dollar","6","Millions",,,17758,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1962","1962","AUD","Australian Dollar","6","Millions",,,19199,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1963","1963","AUD","Australian Dollar","6","Millions",,,21214,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1964","1964","AUD","Australian Dollar","6","Millions",,,23154,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1965","1965","AUD","Australian Dollar","6","Millions",,,24342,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1966","1966","AUD","Australian Dollar","6","Millions",,,27135,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1967","1967","AUD","Australian Dollar","6","Millions",,,29160,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1968","1968","AUD","Australian Dollar","6","Millions",,,32698,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1969","1969","AUD","Australian Dollar","6","Millions",,,36842,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1970","1970","AUD","Australian Dollar","6","Millions",,,40304,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1971","1971","AUD","Australian Dollar","6","Millions",,,44473,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1972","1972","AUD","Australian Dollar","6","Millions",,,49735,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1973","1973","AUD","Australian Dollar","6","Millions",,,60257,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1974","1974","AUD","Australian Dollar","6","Millions",,,71141,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1975","1975","AUD","Australian Dollar","6","Millions",,,83213,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1976","1976","AUD","Australian Dollar","6","Millions",,,96050,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1977","1977","AUD","Australian Dollar","6","Millions",,,104893,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1978","1978","AUD","Australian Dollar","6","Millions",,,118558,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1979","1979","AUD","Australian Dollar","6","Millions",,,134390,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1980","1980","AUD","Australian Dollar","6","Millions",,,152105,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1981","1981","AUD","Australian Dollar","6","Millions",,,175570,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1982","1982","AUD","Australian Dollar","6","Millions",,,189110,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1983","1983","AUD","Australian Dollar","6","Millions",,,213325,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1984","1984","AUD","Australian Dollar","6","Millions",,,234915,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1985","1985","AUD","Australian Dollar","6","Millions",,,260155,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1986","1986","AUD","Australian Dollar","6","Millions",,,285679,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1987","1987","AUD","Australian Dollar","6","Millions",,,323946,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1988","1988","AUD","Australian Dollar","6","Millions",,,367592,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1989","1989","AUD","Australian Dollar","6","Millions",,,403934,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1990","1990","AUD","Australian Dollar","6","Millions",,,414539,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1991","1991","AUD","Australian Dollar","6","Millions",,,422439,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1992","1992","AUD","Australian Dollar","6","Millions",,,443368,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1993","1993","AUD","Australian Dollar","6","Millions",,,465742,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1994","1994","AUD","Australian Dollar","6","Millions",,,494567,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1995","1995","AUD","Australian Dollar","6","Millions",,,527599,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1996","1996","AUD","Australian Dollar","6","Millions",,,555291,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1997","1997","AUD","Australian Dollar","6","Millions",,,588097,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1998","1998","AUD","Australian Dollar","6","Millions",,,619801,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","1999","1999","AUD","Australian Dollar","6","Millions",,,660859,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2000","2000","AUD","Australian Dollar","6","Millions",,,704766,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2001","2001","AUD","Australian Dollar","6","Millions",,,753943,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2002","2002","AUD","Australian Dollar","6","Millions",,,800628,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2003","2003","AUD","Australian Dollar","6","Millions",,,860215,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2004","2004","AUD","Australian Dollar","6","Millions",,,921352,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2005","2005","AUD","Australian Dollar","6","Millions",,,995719,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2006","2006","AUD","Australian Dollar","6","Millions",,,1085145,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2007","2007","AUD","Australian Dollar","6","Millions",,,1175737,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2008","2008","AUD","Australian Dollar","6","Millions",,,1258302,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2009","2009","AUD","Australian Dollar","6","Millions",,,1299079,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2010","2010","AUD","Australian Dollar","6","Millions",,,1414219,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2011","2011","AUD","Australian Dollar","6","Millions",,,1496800,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2012","2012","AUD","Australian Dollar","6","Millions",,,1533882,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2013","2013","AUD","Australian Dollar","6","Millions",,,1595776,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2014","2014","AUD","Australian Dollar","6","Millions",,,1621404,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2015","2015","AUD","Australian Dollar","6","Millions",,,1659604,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2016","2016","AUD","Australian Dollar","6","Millions",,,1754724,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","C","Current prices","2017","2017","AUD","Australian Dollar","6","Millions",,,1855318,"E","Estimated value"
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","1959","1959","AUD","Australian Dollar","6","Millions",,,311,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","1960","1960","AUD","Australian Dollar","6","Millions",,,317,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","1961","1961","AUD","Australian Dollar","6","Millions",,,288,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","1962","1962","AUD","Australian Dollar","6","Millions",,,351,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","1963","1963","AUD","Australian Dollar","6","Millions",,,382,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","1964","1964","AUD","Australian Dollar","6","Millions",,,389,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","1965","1965","AUD","Australian Dollar","6","Millions",,,411,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","1966","1966","AUD","Australian Dollar","6","Millions",,,446,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","1967","1967","AUD","Australian Dollar","6","Millions",,,572,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","1968","1968","AUD","Australian Dollar","6","Millions",,,654,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","1969","1969","AUD","Australian Dollar","6","Millions",,,726,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","1970","1970","AUD","Australian Dollar","6","Millions",,,776,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","1971","1971","AUD","Australian Dollar","6","Millions",,,837,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","1972","1972","AUD","Australian Dollar","6","Millions",,,1042,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","1973","1973","AUD","Australian Dollar","6","Millions",,,1202,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","1974","1974","AUD","Australian Dollar","6","Millions",,,1170,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","1975","1975","AUD","Australian Dollar","6","Millions",,,1627,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","1976","1976","AUD","Australian Dollar","6","Millions",,,1861,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","1977","1977","AUD","Australian Dollar","6","Millions",,,2049,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","1978","1978","AUD","Australian Dollar","6","Millions",,,2451,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","1979","1979","AUD","Australian Dollar","6","Millions",,,3164,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","1980","1980","AUD","Australian Dollar","6","Millions",,,3245,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","1981","1981","AUD","Australian Dollar","6","Millions",,,3506,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","1982","1982","AUD","Australian Dollar","6","Millions",,,3573,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","1983","1983","AUD","Australian Dollar","6","Millions",,,5840,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","1984","1984","AUD","Australian Dollar","6","Millions",,,7536,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","1985","1985","AUD","Australian Dollar","6","Millions",,,8968,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","1986","1986","AUD","Australian Dollar","6","Millions",,,10627,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","1987","1987","AUD","Australian Dollar","6","Millions",,,13025,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","1988","1988","AUD","Australian Dollar","6","Millions",,,17594,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","1989","1989","AUD","Australian Dollar","6","Millions",,,21686,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","1990","1990","AUD","Australian Dollar","6","Millions",,,22066,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","1991","1991","AUD","Australian Dollar","6","Millions",,,19380,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","1992","1992","AUD","Australian Dollar","6","Millions",,,19275,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","1993","1993","AUD","Australian Dollar","6","Millions",,,20059,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","1994","1994","AUD","Australian Dollar","6","Millions",,,24754,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","1995","1995","AUD","Australian Dollar","6","Millions",,,27295,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","1996","1996","AUD","Australian Dollar","6","Millions",,,28318,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","1997","1997","AUD","Australian Dollar","6","Millions",,,30023,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","1998","1998","AUD","Australian Dollar","6","Millions",,,30570,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","1999","1999","AUD","Australian Dollar","6","Millions",,,34224,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","2000","2000","AUD","Australian Dollar","6","Millions",,,37545,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","2001","2001","AUD","Australian Dollar","6","Millions",,,37961,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","2002","2002","AUD","Australian Dollar","6","Millions",,,40790,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","2003","2003","AUD","Australian Dollar","6","Millions",,,44243,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","2004","2004","AUD","Australian Dollar","6","Millions",,,58857,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","2005","2005","AUD","Australian Dollar","6","Millions",,,68576,,
"AUS","Australia","D1_D4TOS2","Primary incomes payable to the rest of the world","C","Current prices","2006","2006","AUD","Australian Dollar","6","Millions",,,88627,,
