"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"American Samoa","ASM","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","-200000","-400000","-1800000","-1200000","-2000000","-3700000","-1000000","-400000","-2700000","-36033333.3333333","-39959259.2592593","-31625925.9259259","-45481481.4814815","-45325925.9259259","-32200000","-29666666.6666667","-22937037.037037","-26559259.2592593","-26859259.2592593","-26218518.5185185","-22155555.5555556","-21037037.037037","-23445185.1851852","-44518888.8888889","-24788148.1481481","-41446703.7037037","-38696296.2962963","-45085333.3333333","-42040222.2222222","-46743333.3333333","-52667407.4074074","-61084037.037037","-50820296.2962963","-27720333.3333333","-35065111.1111111","-39626333.3333333","-38660037.037037","-60755555.5555556","-84214814.8148148","-97103703.7037037","-76007407.4074074","-80225925.9259259","-80274074.0740741","-19970370.3703704","-63248148.1481481","-58048148.1481481",
"Australia","AUS","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","32480005.1968008","-21280003.4048005","58240009.3184015","-61600009.8560016","-3360000.53760009","76160012.1856019","-58240009.3184015","-213920034.227206","-303520048.563208","-534240085.478414","-465920074.547212","-497280079.564813","-221962616.82243","39718129.4042281","-306558585.114223","208930766.079476","-1260490.43161713","-775407203.487038","-1427881817.40256","-1641485857.09417","-1566573816.15599","-588645071.403692","-3695244400.30895","-1357950514.82328","-2322017873.37939","-2495990230.8139","-3251259093.45271","-3436341979.88354","-4376429706.46271","-8167034169.63329","-10836367162.16","-13078820614.3687","-12541740431.8087","-8299606520.51714","-7088204773.4348","-12678942678.9427","-14183600771.1679","-14623548875.3344","-12591738452.1468","-12151272089.2342","-11990022131.1743","-10620896618.121","-10727607303.5422","-13150262085.032","-17482572200.8821","-25760668147.5969","-29059642197.7272","-38068618984.0622","-43163818742.7593","-32638146482.5401","-44635968080.0465","-56187596313.7766","-47129089405.4417","-39322643888.4164","-38433184884.8813","-27598922067.9057","-28641662929.9853","-36348306005.7363","-45069450903.7919","-46873536073.6485","-30045228727.8507","-16938969406.7107","-63967093142.9778",
"Austria","AUT","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","-50233924.3186028","-42743694.2394537","-84797309.3636526","-124640522.875817","-43998085.98351","-80826420.1627558","-154393648.845593","-218887686.28757","-258344546.574434","-214649511.065363","-120580727.504786","-39795230.6894764","45881261.5955473","56993258.7712579","85212846.4342205","143300744.878957","-191731410.545291","-288996517.196343","360995207.84576","798636505.460218","1255878010.40784","486306423.099588","168946907.087403","298005441.854963","-82385254.7885797","-926982393.885628","-133480634.260463","-984665689.480212","-1326700755.89151","-3442351348.99615","-1718104063.68628","-2700681277.40158","-1244280465.37255","-659353392.588234","-415338983.513515","-669196157.509727","785377064.117646","-392230814.823531","3603939200.625","-173929368.007812","3281413893.33334","1455567607.97666","413444994.609375","1160642354.47059","583211844.313723","-3760915845.35156","-29886384.0466927","-3912424818.47059","-4455505174.58823","-1273066412.54902","4497854057.43192","7460607601.93786","-305489409.92218",
"Azerbaijan","AZE","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5001250.31257814","955277.109968317","-3851779.01210931","-9183344.89969811","-9158485.71338958","15120186.0945981","186764365.019362","-94542991.9169094","-144741264.252666","-194000189.268477","-251795557.890578","-513587111.375237","-1510755525.8451","-2511850197.82975","-4830071178.52432","-5020203987.24471","-3269539166.66563","-3168203339.14777","-4511793295.05652","-3944529653.97858","-3688271231.20398","-2156825996.65709","-1697112137.45554","-2275584343.6388","-1545009020.10568","-2259389170.81417","-1855705882.35294","-270117647.058824","-1138058823.52941","-5284823529.41177",
"Burundi","BDI","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","-2107986","-2179994","-2288006","-2471998","-2764002","-1515851.85185185","-9396571.42857143","-11325714.2857143","-13520000","-12034285.7142857","-7449142.85714286","-9075428.57142857","-11397714.2857143","-8357283.88273811","-8990476.19047619","-8645079.36507937","-11262608.6956522","-10348888.8888889","-14460000","-10160000","2086666.66666667","-2900000","-7666666.66666667","-9330823.02313071","-13025645.309498","-18375176.0709255","-20644652.7108698","-28415344.7717708","-22935289.7182948","-17623702.4712133","-14889492.2775977","-11244924.6059511","-13657987.6430008","-9814032.94892916","-11375600.3055453","-12410125.001001","-13908363.9966969","-12500000","-8299999.29896393","-11304510.0787849","14300000","-12317565.1231408","-13685412.5167323","-17896392.8248139","-27301126.3409361","-17786710.5436038","-8824968.54695994","-5886938.23846336","-4304326.10083273","-16979396.6280035","-10867940.7815213","-17489228.7568498","-6505624.54479164","1784525.98466317","-7461103.94963403","356346.201430827","-1271055.98778062","1474125.03031902","5655328.60997874","7415138.15020817","14544800.9704819","8116571.4845269","13986562.8672032",
"Belgium","BEL","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","314951996.772892","316223994.737275","403236183.667858","450348789.070586","528123446.561723","610705275.858287","676506792.058516","595778277.996624","631215575.765339","273408090.258668","60198648.0893916","229518687.527162","-186955677.202896","-238743984.220907","-42368053.6163083","227955024.118486","372747877.912227","876034575.904916","915296763.576522","525063472.563473","947346692.419121","1714611931.48258","1852431618.56964","3855944496.26866","5947083433.80757","6324849480.02189","6493680781.75896","6149300857.01398","6278728606.35697","6015775160.03862","6102585195.13727","4428529761.96851","4465282803.88236","6073539493.60783","5126743397.87646","4818734851.98443","5871305658.70587","6550610931.84316","12582754261.7969","8986722622.38281","7389146985.00001","837261084.630352","11513119767.5391","12854323254.353","11233935482.2353","6543241321.17187","4566307411.40079","4608986231.88236","4808610573.0196","5183614770.19607","5407384818.98834","6394722034.49602","9013253903.50198",
"Benin","BEN","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","-713322.979483183","-726043.488312665","-727508.666438617","-751189.866508134","-772704.060460492","-800008.784753918","-99999.8221252116","-400007.82436041","-1399985.9769988","-2500010.25155453","-2499983.92746172","-3102652.86424716","-2100009.85328485","","2299977.83009343","-1299938.08118877","","-199998.626667088","300008.606025122","1199984.61463564","-2899930.85227768","-3199966.69653108","-6000039.81056319","-13299954.6566779","-29600012.5559362","-21299999.9735122","-25999999.9884495","-28600000.0891738","-24799999.8952487","-38156444.0115083","-38932655.8820379","-30839581.8125816","-60448076.266553","-39832604.0814878","-35133286.0484307","-44255659.9387133","-46021228.5571588","-29820058.9836672","-13389830.0416165","-12343345.1868279","-12297806.1115188","-14589068.3465056","-28272489.606141","-38179165.8444092","-37067305.6253223","-17765483.9777288","-30239711.1550568","-48523535.0677906","-11354259.0459089","-33128254.0602317","-53535382.3484719","-15521657.9878155","-66734652.895446","-69016634.845626","-61234533.9764374","-92518467.0510525","-102758898.080178","-140238097.564167","-145018968.222952","-143474682.902029","-163073866.463164","-90196952.517519","-147670010.172428",
"Burkina Faso","BFA","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","4451866.27117807","3190155.64953161","8493787.96956259","3424696.3379191","3436547.26897567","-3627781.81527701","-1704099.4932738","-1719526.77676375","-1595400.35220046","-1598457.77229281","0","-504727.94977893","-1303797.93640639","-238219.725539575","-2253972.90591805","-12071599.9830155","-9522024.2566228","-20188163.9486133","-11100239.0985991","-9209174.78430169","-4080302.04342299","-9807491.07465303","-10261939.5377117","-10085025.0007587","-4950147.84829945","-5699962.62968154","-5399907.93804081","-8800100.33521312","-13100078.332179","-11900063.1391097","-7345790.15777832","-9216364.14087257","-11976192.2659629","-18676485.4970473","-14263805.5064289","-10038100.5709111","6899887.66156384","-2192909.65296702","-2796601.80698668","3915764.84004671","-3750587.27339527","-12079155.333986","-34289884.0243679","-54644354.2930987","-45408601.4035111","-64044632.1379638","-18588212.8197674","-22466336.9829703","-36737971.5106349","-117493023.286443","-302076958.604665","-487651202.61592","-317520069.254336","-363592869.42887","-605515183.946738","-539033650.853099","-571634813.146345","-529620985.203393","-502129405.963374","-706349583.498954","-619134233.466986","-923338882.92113","",
"Bangladesh","BGD","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","21327785.6316669","10399158.9254331","-8428819.28796755","-11816383.8383838","-42293736.2637363","-43542652.1164021","-29761228.6465177","18892474.1602067","341064871.481028","321756487.025948","513930976.430976","532080000","376923076.923077","428133333.333333","568903225.806452","605288442.138191","636853622.233871","635714247.069043","661064425.770308","769761273.209549","902698412.698413","1055810473.81546","1157014925.37313","1211149144.25428","1369039812.64637","1431101321.5859","1570840266.22296","1731961836.613","1638491475.16679","2183963085.49539","2425181347.15026","2816901647.69832","3077723577.23577","4051146515.7832","5107949609.03562","7052834863.72249","8124890047.45299","9338019435.32615","10185299309.5302","11285913455.6898","12063701944.9401","11521977918.0553","12664013818.3063","12426526957.329","10142274410.6417","12851924594.0738","14387221835.1479","15476528002.5494","21910159453.0279","18231621050.7289",
