"Data Source","World Development Indicators",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"American Samoa","ASM","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","-200000","-400000","-1800000","-1200000","-2000000","-3700000","-1000000","-400000","-2700000","-36033333.3333333","-39959259.2592593","-31625925.9259259","-45481481.4814815","-45325925.9259259","-32200000","-29666666.6666667","-22937037.037037","-26559259.2592593","-26859259.2592593","-26218518.5185185","-22155555.5555556","-21037037.037037","-23445185.1851852","-44518888.8888889","-24788148.1481481","-41446703.7037037","-38696296.2962963","-45085333.3333333","-42040222.2222222","-46743333.3333333","-52667407.4074074","-61084037.037037","-50820296.2962963","-27720333.3333333","-35065111.1111111","-39626333.3333333","-38660037.037037","-60754851.8518519","-84214037.037037","-97102185.1851852","-78749740.7407407","-77951185.1851852","-106055481.481481","-24688185.1851852",
"Australia","AUS","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","31358494.79225","-22398924.8516071","57117258.3715982","-62716989.5844999","-4479784.97032142","73916452.0103035","-61597043.3419196","-217269571.060589","-307985216.709598","-538694142.681151","-471497368.12633","-505095755.403741","-232476635.514019","25624599.615631","-324244657.332351","178888433.702035","-37816714.9880247","-813259922.000459","-1468531468.53147","-1684652959.21845","-1613370473.5376","-649018924.880994","-3761447644.2679","-1422554983.6219","-2394493751.13204","-2591853954.13055","-3291130386.12199","-3493250397.03547","-4449941792.7823","-8257470889.99267","-10936514043.863","-13220312377.3644","-12716296239.3294","-8482293423.2715","-7265997924.59357","-12678942678.9427","-14183611532.6252","-14623571763.9693","-12591738452.1468","-12151272089.2342","-11990202851.2215","-10620908017.6022","-10727814985.3495","-13150262085.032","-17482572200.8821","-25761539618.1025","-29059598682.2402","-38051346470.9115","-43091316025.0671","-32539390369.6068","-44524795208.315","-56062308981.5636","-47024128686.3271","-39200779727.0955","-38309923804.278","-27438222813.878","-28386955888.7757","-36005731955.6528","-44699635687.156","-44547990273.2084","-27149081646.3333",
"Austria","AUT","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","-50233924.3186028","-42743694.2394537","-84797309.3636526","-124640522.875817","-43998085.98351","-80826420.1627558","-154393648.845593","-218887686.28757","-258344546.574434","-214649511.065363","-120580727.504786","-39795230.6894764","45881261.5955473","56993258.7712579","85212846.4342205","143300744.878957","-191731410.545291","-288996517.196343","360995207.84576","798636505.460218","1255878010.40784","486306423.099588","168946907.087403","298005441.854963","-82385254.7885797","-926982393.885628","-133480634.260463","-984665689.480212","-1326700755.89151","-3441189004.90092","-1713838216.32578","-2698344519.01566","-1238377564.46452","-657900677.200903","-414576607.896697","-668946648.426813","784719608.581106","-391732822.337805","3589277867.29164","-173242567.379828","3278215414.16427","1453662838.70662","413468643.987089","1160312482.49087","582436112.280499","-3759403659.48315","-29866096.0898884","-3902760947.5402","-4453329430.98137","-1608796818.03921","-487489299.299612",
"Azerbaijan","AZE","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5000000.00000005","955414.012738889","-3851818.28480808","-9182843.19423467","-9158198.46945199","15120186.0945985","186771844.660194","-94546267.3223071","-144743906.367443","-193993005.554413","-251807351.593524","-513585020.860895","-1510789083.98561","-2511976718.15536","-4830206269.66555","-5020326192.79453","-3269470017.41727","-3168203339.14778","-4511713308.85145","-3944755600.81468","-3688463989.80241","-2156955246.7168","-1697052508.29592","-2275615717.24008","-1544968626.53962","-2259411764.70588","-1855705882.35294","-250941176.470583",
"Burundi","BDI","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","-2107986","-2179994","-2288006","-2471998","-2764002","-1515851.85185185","-9396571.42857143","-11325714.2857143","-13520000","-12034285.7142857","-7449142.85714286","-9075428.57142857","-11397714.2857143","-8357283.88273811","-8990476.19047619","-8645079.36507937","-11262608.6956522","-10348888.8888889","-14460000","-10160000","2086666.66666667","-2900000","-7666666.66666667","-9330823.02313071","-13025645.309498","-18375176.0709255","-20644652.7108698","-28415344.7717708","-22935289.7182948","-17623702.4712133","-14889492.2775977","-11244924.6059511","-13657987.6430008","-9814032.94892916","-11375600.3055453","-12410125.001001","-13908363.9966969","-12500000","-8299999.91066759","-11304510.0787849","14300000","-12317565.1231408","-13685412.0315118","-17896392.8248139","-27301126.3409361","-17700045.8219718","-8799999.63059584","-5899999.87983766","-4300000.13494243","-16999999.5122662","-10806433.7769144","-17445456.9770052","-6516439.17361569","1800537.94929531","-6788705.1721593","-1654051.02861935","-781264.666499304","-4158544.23898129","5361402.04266302","6293580.99688234","14544561.9670809",
"Belgium","BEL","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","314951996.772892","316223994.737275","403236183.667858","450348789.070586","528123446.561723","610705275.858287","676506792.058516","595778277.996624","631215575.765339","273408090.258668","60198648.0893916","229518687.527162","-186955677.202896","-238743984.220907","-42368053.6163083","227955024.118486","372747877.912227","876034575.904916","915296763.576522","525063472.563473","947346692.419121","1714611931.48258","1852431618.56964","3855944496.26866","5947083433.80757","6324849480.02189","6493680781.75896","6149300857.01398","6278728606.35697","6013743873.85468","6087433204.34863","4424697986.57718","4444099378.88199","6060158013.54402","5117333002.23491","4816938191.76719","5866390666.16485","6542294004.92746","12531565841.5116","8951236454.57071","7381944591.92284","836165437.010643","11513778327.0128","12850669862.7259","11218993186.9137","6540610420.22478","4563207637.02284","4597601821.92397","4806144360.72064","5143201740.39215","5523660382.87939",
"Benin","BEN","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","-713322.982392389","-726043.494233265","-727508.520945138","-751189.716280216","-772704.010003787","-800008.895747955","-99999.8371855238","-400007.88615001","-1399985.94306862","-2500010.00151561","-2499984.26211573","-3102652.37973318","-2100010.07826127","","2299977.52432753","-1299938.08118877","","-199998.616084276","300008.552845283","1199984.86284421","-2899930.23462748","-3199966.1430493","-6000038.95238771","-13299955.9131489","-29600010.2527321","-21299998.2193058","-26000000.288762","-28599996.4729753","-24800001.4772626","-38156443.8918987","-38932654.1660912","-30839582.7964506","-60448076.266553","-39832601.1274088","-35133285.7953112","-44255662.2439339","-46021231.2560747","-29820057.5531285","-13389829.4742045","-12343346.1695251","-12297805.7132558","-14589068.2070684","-28272490.7065341","-38179167.5561918","-37067307.8746459","-17765482.731048","-30239712.6021389","-48523536.8926175","-11354260.0896861","-33128255.6803902","-53535378.2369765","-15521658.8441854","-66734657.862414","-69016638.1993425","-61234537.6969616","-92518466.7353505","-102758900.69213","-140238085.388822","-145018957.36133","-143484432.277257","-162707975.350339",
"Burkina Faso","BFA","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","4451866.28933449","3190155.67554608","8493786.27090136","3424695.65302568","3436547.04457301","-3627782.31859917","-1704099.74991696","-1719527.04238074","-1595400.3135342","-1598457.61242281","0","-504727.87096001","-1303798.07608373","-238219.707370299","-2253972.60626818","-12071599.9830155","-9522024.01752664","-20188162.8803682","-11100237.1309591","-9209176.68915616","-4080301.17436799","-9807489.37830174","-10261938.069964","-10085025.9535094","-4950147.46312392","-5699962.16024912","-5399908.00041235","-8800099.22252398","-13100079.1678446","-11900063.1018064","-7345789.83401453","-9216364.43490039","-11976192.3112087","-18676484.1119555","-14263805.4036646","-10038101.0937829","6899888.06620788","-2192909.54776797","-2796601.68847692","3915765.15179456","-3750587.15193295","-12079155.2185377","-34289885.3589639","-54644356.7431066","-45408604.1590024","-64044627.6436753","-18588213.7092822","-22466337.8278629","-36737974.8878924","-117493029.032515","-302076935.405279","-487651229.520894","-317520092.886916","-363592887.096892","-605515220.73699","-539033649.029612","-571634827.615534","-529621030.808738","-502129367.994937","-851689542.097689","-1268777979.13778",
"Bangladesh","BGD","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","21327785.6316669","10399158.9254331","-8428819.28796755","-11816383.8383838","-42293736.2637363","-43542652.1164021","-29761228.6465177","18892474.1602067","341064871.481028","321756487.025948","513930976.430976","532080000","376923076.923077","428133333.333333","568903225.806452","605288446.737995","636853612.827879","635714256.229897","661064425.770308","769761273.209549","902698412.698413","1055810473.81546","1157014925.37313","1211149144.25428","1369039812.64637","1431101321.5859","1570840266.22296","1731961836.613","1638491475.16679","2183963085.49539","2425181347.15026","2816901647.69832","3077723577.23577","4051146515.7832","5107949609.03562","7052834863.72249","8124890992.17469","9338019435.32615","10185295732.9449","11285907465.2141","12063695606.2117","11521979400.5443","12664020663.5342","12753289864.5722","10730106250.8136","12496961859.4638","13520252483.6604","15790886394.2185",
