"Data Source","World Development Indicators",

"Last Updated Date","2019-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Bahrain","BHR","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","-123640222.870788","-39893617.0212766","-101063829.787234","-161702127.659574","-152925531.914894","-291754787.234043","-313563829.787234","-346808510.638298","-526063829.787234","-523404255.319149","-687500000","190957446.808511","31648936.1702128","-193617021.276596","-242021276.595745","-59042553.1914894","-25265957.4468085","-236170212.765957","-161702127.659574","-270744680.851064","-223670212.765957","-321542553.191489","-525000000","-493085106.382979","-575000000","-413297872.340426","-385904255.319149","-298670212.765957","-923670212.765957","-2399734042.55319","-2373138297.87234","-3383776595.74468","-3837000000","-3925718085.10638","-5664000000","-1736000000","-2116037234.04255","-1989361702.12766","-2076063829.78723",
"Bahamas, The","BHS","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","-20196274.5098039","-22647254.9019608","-25196372.5490196","-28235588.2352941","-31666960.7843137","-35686274.5098039","-40490196.0784314","-46372549.0196078","-52941176.4705882","-62745098.0392157","","","","","","","-75600000","-83600000","-127800000","-133600000","-134500000","-151900000","-131600000","-138500000","-165100000","-180600000","-183600000","-183300000","-166900000","-131600000","-172800000","-179000000","-82600000","-128400000","-137600000","453158500","812275600","-152600000","-197500000","-126800000","-140200000","-198900000","-184345091.1","-152420000","-141320000","-182064714.333333","-218000000","-231600000","-59340000","-140320000","-207500000","-188120000","-110820000","-99660000","-247190000","-231890000","-313150000","-255090000","",
"Bosnia and Herzegovina","BIH","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-165000000","-242000000","-222000000","-228000000","809281809.399329","727922276.688453","589894394.724447","538496751.464129","508749663.137632","532916387.766878","506471555.555556","467984993.959433","391892758.642807","468571728.481456","706204164.170162","678480005.682222","279372519.807679","149636647.949392","134679286.356449","242092710.556041","151798332.373369","109778800.915779","45958877.312928","-79836460.5967068","-101916607.136552",
"Belarus","BLR","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","-28533064.7868412","-50986349.9297931","-30769230.7692308","-84617162.2246187","-92893687.1314603","-41998435.5883592","-46699577.2090891","-50800000","-28598548.2970408","25103364.2125792","25503240.7407407","55478180.1299907","-114731934.731935","-410997204.100652","-788014981.273408","-1113712853.56248","-1096268546.49211","-1265204422.11055","-1472998560.63332","-2683539189.18919","-2412299882.62911","-2459384654.02487","-2190288399.67833","-2057567458.46918","-2263721486.06203",
"Belize","BLZ","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","-141257.174856503","-208945.821083578","-155466.890662187","-161626.767464651","-169886.602267955","-209790.20979021","-209790.20979021","-206896.551724138","-1556886.22754491","-1676646.70658683","-1736526.94610778","-2256097.56097561","-2937500","-4110429.44785276","-10818713.4502924","-12265193.3701657","-8385650.22421525","-5600000","-6800000","-5300000","-1950000","-1900000","-4900000","-5500000","-7700000","-9900000","-6200000","-6100000","-6200000","-9700000","-8100000","-9400000","-14950000","-18550000","-25616600","-22571300","-26403750","-23341450","-32152050","-40140750","-52899100","-67049500","-67481150","-89477850","-116744150","-114426250","-125282550","-158952800","-165177250","-90644800","-138499250","-97185300","-120163050","-119235550","-137799300","-95173700","-110807850","-155420050","",
"Bermuda","BMU","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","5599999.1655351","5949999.11338104","6066665.76266302","6299999.06122698","6999998.95691887","7583712.43120187","9100454.91744225","10125417.3936934","10000000","11100000","12100000","13800000","15400000","17700000","20500000","22600000","25300000","29300000","31200000","21400000","40700032","55399936","42999936","50299968","65700032","70899968","69899904","47300096","34999936","8999936","17000064","14000000","2000000","2030080","2080000","2280064","","","","","","","","","","","","1920254000","1730414000","1377749000","1419485000","1325372000","1464526000","1512952000","","","","","",
"Bolivia","BOL","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","-31500000","-67100000","-113900000","-182300297.827641","-263100000","-362200000","-410699786.333124","-361800000","-414899889.744923","-372900007.062034","-308499732.477956","-277700000","-264800187.782241","-259100320.865283","-248600000","-247000586.493884","-197700833.226509","-205899205.176901","-182500660.101721","-206601795.721101","-208200508.414456","-196498448.889481","-162200976.388813","-196200278.714473","-225531527.45209","-211160529.143774","-204700000","-301846106.642991","-384719934.475806","-376351557.754057","-397244532.927256","-489440429.488486","-536377339.983145","-673808091.168091","-864107077.527","-1160750184.27051","-1629277940.66253","-1907771099.41554","-1697959702.11495","-1127097736.45586","-620895949.659897","-1060000000","-975000000",
"Brazil","BRA","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","0","0","0","0","0","0","-1238738444.1199","-1032670703.03182","-810175889.16795","-675178483.414242","-599032024.248814","-520302243.54305","-463660646.806538","-898254736.047859","-810415500.006078","-1692729017.77704","-2320083832.3662","-2917873473.22267","-4720098101.91149","-6024274804.95134","-7724708204.37072","-10902032026.5667","-14453060026.9443","-11858046681.7018","-11879186473.896","-11878935989.4013","-11963350754.6114","-11128636522.9583","-13220010132.7362","22913690000","-12280000000","-13510000000","-7556875000","-10658074534.1615","-20992236821.5235","-11446327666.9936","-22909530196.0004","-28180350742.115","-38187248772.081","-31310007769.8793","-18874906313.2003","-18161826502.8484","-17041311337.8143","-17717946571.3357","-19774090324.7863","-25774314615.511","-27717364225.6241","-29675243028.0931","-41582259624.8228","-36886943433.0299","-64847241984.9932","-68146448768.5318","-52334596385.2337","-29786776262.6965","-48614934721.632","-38906972947.7892","-37464569475.4944","-38067320517.6412","-28427116974.1091",
"Barbados","BRB","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","-27444936.110973","-33411226.5698802","-35201113.7075523","-25655048.9733009","-45393526.5748521","-39327797.9416298","-28300000","-39675831.5517327","-45443245.6620096","-58469646.4972903","-69954755.6306866","-60806443.5936956","-67767115.795754","-85765425.3467906","-95150000","-109600000","-118950000","-133950000","-116850000","-175000000","-256350000","-187750000","-245950000","-190050000","-111850000","-300150000","-172400000","-194600000","-197450000","-212950000","-221450000","-223750000","",
"Brunei Darussalam","BRN","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","62399973.4589609","54500000","52100027.4989688","-100476714.3381","-497654821.527943","-456946222.791293","-200607416.879795","-15469613.2596685","650592770.383301","835138420.328676","757275617.351003","",
