"Data Source","World Development Indicators",

"Last Updated Date","2018-05-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Bahamas, The","BHS","Net income from abroad (current US$)","NY.GSR.NFCY.CD","-20196274.5098039","-22647254.9019608","-25196372.5490196","-28235588.2352941","-31666960.7843137","-35686274.5098039","-40490196.0784314","-46372549.0196078","-52941176.4705882","-62745098.0392157","","","","","","","-75600000","-83600000","-127800000","-133600000","-134500000","-151900000","-131600000","-138500000","-165100000","-180600000","-183600000","-183300000","-166900000","-131600000","-172800000","-179000000","-82600000","-128400000","-137600000","453158500","812275600","-170225100","-22071600","-88699900","-110599700","-127900300","-134500300","-96199700","-78000000","-182064700","-218000000","-231600000","-85277000","-152161000","-234887600","-225597200","-267591300","-329084800","-438144300","-402600000","-439900000","",
"Bosnia and Herzegovina","BIH","Net income from abroad (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-165000000","-242000000","-222000000","-228000000","809281809.399329","727922276.688453","589894394.724447","538496751.464129","508749663.137632","532916387.766878","506471555.555556","467984993.959433","391892758.642807","468571728.481456","706204164.170162","678480005.682222","279372519.807679","149636647.949392","134679279.989489","242092729.617813","146823768.823769","103487609.866742","20641422.9964369","",
"Belarus","BLR","Net income from abroad (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","7603305.78512397","-28801107.75428","-50999976.9813319","-30800000","-84600000","-92900000","-42000000","-46700001.2689724","-50800000","-28600000","25100000","25500000","55482816.5770584","-114755249.574715","-410982208.803845","-788014981.273408","-1113712853.56248","-1096268546.49211","-1265204422.11055","-1472998560.63332","-2683539189.18919","-2412299882.62911","-2459384654.02487","-2233864294.33052","",
"Belize","BLZ","Net income from abroad (current US$)","NY.GSR.NFCY.CD","-141257.174856503","-208945.821083578","-155466.890662187","-161626.767464651","-169886.602267955","-209790.20979021","-209790.20979021","-206896.551724138","-1556886.22754491","-1676646.70658683","-1736526.94610778","-2256097.56097561","-2937500","-4110429.44785276","-10818713.4502924","-12265193.3701657","-8385650.22421525","-5600000","-6800000","-5300000","-1950000","-1900000","-4900000","-5500000","-13500000","-10250000","-2400000","-7450000","-7700000","-9400000","-10200000","-10800000","-16100000","-17500000","-25318000","-22251000","-26060000","-23355000","-32100000","-40140750","-52899100","-67049500","-67481150","-89477850","-116744150","-114426250","-125282550","-158952800","-165177250","-108267950","-157520850","-98188500","-118255750","-117989700","-137800000","-95150000","-108550000","",
"Bermuda","BMU","Net income from abroad (current US$)","NY.GSR.NFCY.CD","5599999.1655351","5949999.11338104","6066665.76266302","6299999.06122698","6999998.95691887","7583712.43120187","9100454.91744225","10125417.3936934","10000000","11100000","12100000","13800000","15400000","17700000","20500000","22600000","25300000","29300000","31200000","21400000","40700032","55399936","42999936","50299968","65700032","70899968","69899904","47300096","34999936","8999936","17000064","14000000","2000000","2030080","2080000","2280064","","","","","","","","","","","","1920254000","1730414000","1377749000","1419485000","1325372000","1464526000","1512952000","","","","",
"Bolivia","BOL","Net income from abroad (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","40251776.0942761","52917188.5521886","55426882.2865739","54725532.2338831","90575037.4812594","108494262.868566","124974437.781109","118571319.34033","124720904.547726","100880357.589214","4212720.22838499","406630032.626427","-381453543.452101","-175656303.155895","-429218950.798971","-428967181.708478","-308887277.570813","-258802345.67","-260015572.877664","-249285204.779171","-241099995.272091","-242500670.278724","-190000974.234073","-204599048.08797","-187800822.421816","-221201841.55157","-164300319.236984","-196198504.082371","-162186875.011343","-196083339.068199","-225469523.732514","-211172531.747113","-204758995.8159","-301767247.232087","-384738709.677419","-376351557.754057","-397244532.927256","-489437614.632158","-536375806.473896","-673808091.168091","-864107073.125543","-1160750180.19317","-1629277945.00724","-1907771099.85528","-1697959696.09262","-1127097742.40232","-610325861.070912","",
"Brazil","BRA","Net income from abroad (current US$)","NY.GSR.NFCY.CD","0","0","0","0","0","0","-1238738444.1199","-1032670703.03182","-810175889.16795","-675178483.414242","-599032024.248814","-520302243.54305","-463660646.806538","-898254736.047859","-810415500.006078","-1692729017.77704","-2320083832.3662","-2917873473.22267","-4720098101.91149","-6024274804.95134","-7724708204.37072","-10902032026.5667","-14453060026.9443","-11858046681.7018","-11879186473.896","-11878935989.4013","-11963350754.6114","-11128636522.9583","-13220010132.7362","22913690000","-12280000000","-13510000000","-7556875000","-10658074534.1615","-20992236821.5235","-27784397951.4002","-22908925480.0517","-28180168831.1688","-38187232227.4882","-31310307488.8411","-28532385897.7863","-25135192585.6645","-21462349448.9747","-23771530711.7322","-25549059829.0598","-34887446598.7512","-45304555693.4676","-58409429407.8373","-81455447704.2207","-78880664199.2598","-64847089586.1755","-68146819703.4912","-52334237878.2448","-29786651825.0545","-48615384615.3846","-38907391265.1417","-37660074519.9197","",
"Barbados","BRB","Net income from abroad (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-45650000","-39500000","-19800000","-32100000","-31500000","-40450000","-45600000","-40300000","-46600000","-60200000","-71050000","-82000000","-87988000","-92178000","-103969208.105","-175001940.11","-256371457.05","-189746846.405","-215500000","-187750000","-99600000","-300150000","-172400000","-194600000","-197450000","-212950000","-221450000","",
"Brunei Darussalam","BRN","Net income from abroad (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","62399973.4589609","54500000","52100027.4989688","-100476714.3381","-497654821.527943","-456946222.791293","-200607416.879795","-15469613.2596685","650592770.383301","822848041.699848","",
"Bhutan","BTN","Net income from abroad (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","-25445292.6208651","-31143187.0669746","-33995771.6701903","-45158415.8415842","-34137323.943662","-34575586.0953921","-35876288.6597938","-31342592.5925926","-26250000","-13074553.2963648","-18623643.6322102","-21600703.6059807","-28317901.2345679","-24083306.0019679","-20210392.0943577","-37240209.6823928","-35184871.577759","-31421096.1167722","-56306349.9757635","-71597770.5527171","-495769.915442813","-237145.581691036","-8042886.23739971","-13795193.2159725","-15976478.3759929","-11568857.1428571","-3555660.27324696","-15957048.0186706","-34018921.8760056","-50572974.447013","-87980964.7944924","-113904929.237955","-142110739.335145","-123435350.815218","-134022938.018546","-182410196.445276","-183602871.034135","",
