"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Armenia","ARM","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-82988508.9759183","-2337662.33766234","-209314731.226918","-1300014.23892923","-4020000.33746351","39521299.9879387","44730000","97204737.8719935","58815383.5480674","54956292.9391096","58972266.9528438","63602627.4636976","82371299.5552455","92875458.8178378","148352246.883494","206006397.82349","302026880.3222","497420826.352735","691280287.832705","358781501.379227","458281199.912755","360073574.587337","423036136.886331","682547056.739848","522216009.192157","428407523.838279","245059576.182033","405555178.559475","200340508.47454","179704253.459982","-196251235.661999","-406357747.749411",
"American Samoa","ASM","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","-200000","-400000","-1800000","-1200000","-2000000","-3700000","-1000000","-400000","-2700000","-36033333.3333333","-39959259.2592593","-31625925.9259259","-45481481.4814815","-45325925.9259259","-32200000","-29666666.6666667","-22937037.037037","-26559259.2592593","-26859259.2592593","-26218518.5185185","-22155555.5555556","-21037037.037037","-23445185.1851852","-44518888.8888889","-24788148.1481481","-41446703.7037037","-38696296.2962963","-45085333.3333333","-42040222.2222222","-46743333.3333333","-52667407.4074074","-61084037.037037","-50820296.2962963","-27720333.3333333","-35065111.1111111","-39626333.3333333","-38660037.037037","-60754851.8518519","-84214037.037037","-97102185.1851852","-78749740.7407407","-77951185.1851852","-106055481.481481","-24688185.1851852","-16525925.9259259",
"Australia","AUS","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","32478441.0348303","-21278978.6090268","58237204.6141785","-61597043.3419196","-3359838.72774107","76156344.4954642","-58237204.6141785","-213909732.332848","-303505431.739277","-534214357.71083","-465897636.913428","-497256131.705678","-223130841.121495","38436899.4234465","-306558585.114223","207565205.516865","-2521114.33253498","-776554255.563203","-1427926911.79788","-1641485857.09417","-1565459610.02786","-587484035.759898","-3694141012.90963","-1356106691.62377","-2320231842.0576","-2493671857.02232","-3247761611.63962","-3437003705.66437","-4375000000","-8171158700.43156","-10846479415.1597","-13093948669.6492","-12555564100.5922","-8309443507.58853","-7095122794.88066","-12678942678.9427","-14183611532.6252","-14623571763.9693","-12591738452.1468","-12151272089.2342","-11990202851.2215","-10620908017.6022","-10727814985.3495","-13150262085.032","-17482572200.8821","-25761539618.1025","-29059598682.2402","-38051346470.9115","-43091316025.0671","-32539390369.6068","-44524795208.315","-56062308981.5636","-47024128686.3271","-39200779727.0955","-38309923804.278","-27438222813.878","-28386955888.7757","-36005731955.6528","-44699635687.156","-46506937491.0599","-29834428207.5345","-17210239570.1172",
"Austria","AUT","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","-50233924.3186028","-42743694.2394537","-84797309.3636526","-124640522.875817","-43998085.98351","-80826420.1627558","-154393648.845593","-218887686.28757","-258344546.574434","-214649511.065363","-120580727.504786","-39795230.6894764","45881261.5955473","56993258.7712579","85212846.4342205","143300744.878957","-191731410.545291","-288996517.196343","360995207.84576","798636505.460218","1255878010.40784","486306423.099588","168946907.087403","298005441.854963","-82385254.7885797","-926982393.885628","-133480634.260463","-984665689.480212","-1326700755.89151","-3442351348.99615","-1718104063.68628","-2700681277.40158","-1244280465.37255","-659353392.588234","-415338983.513515","-669196157.509727","785377064.117646","-392230814.823531","3603939200.625","-173929368.007812","3281413893.33334","1455567607.97666","413444994.609375","1160642354.47059","583211844.313723","-3760915845.35156","-29886384.0466927","-3912424818.47059","-4455505174.58823","-1273178360","3859137993.3074","2159210710.07748",
"Azerbaijan","AZE","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5000000","955414.012738853","-3851818.28480798","-9182843.19423457","-9158198.46945176","15120186.0945981","186771844.660194","-94546267.3223067","-144743906.367443","-193993005.554413","-251807351.593524","-513585020.860893","-1510789083.98561","-2511976718.15536","-4830206269.66554","-5020326192.79455","-3269470017.41727","-3168203339.14777","-4511713308.85146","-3944755600.81466","-3688463989.80242","-2156955246.71682","-1697052508.29592","-2275615717.24008","-1544968626.53962","-2259411764.70588","-1855705882.35294","-270117647.058824","-1138058823.52941",
"Burundi","BDI","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","-2107986","-2179994","-2288006","-2471998","-2764002","-1515851.85185185","-9396571.42857143","-11325714.2857143","-13520000","-12034285.7142857","-7449142.85714286","-9075428.57142857","-11397714.2857143","-8357283.88273811","-8990476.19047619","-8645079.36507937","-11262608.6956522","-10348888.8888889","-14460000","-10160000","2086666.66666667","-2900000","-7666666.66666667","-9330823.02313071","-13025645.309498","-18375176.0709255","-20644652.7108698","-28415344.7717708","-22935289.7182948","-17623702.4712133","-14889492.2775977","-11244924.6059511","-13657987.6430008","-9814032.94892916","-11375600.3055453","-12410125.001001","-13908363.9966969","-12500000","-8299999.91066759","-11304510.0787849","14300000","-12317565.1231408","-13685412.0315118","-17896392.8248139","-27301126.3409361","-17786710.0009135","-8824968.14375188","-5886938.14051729","-4304326.2206302","-16979396.1725251","-10867941.0729229","-17489229.2145112","-6505624.65754032","1784526.02253193","-7461103.79044444","356346.208911862","-1268572.68757226","1468029.0919736","5640361.98612173","7415138.05398755","14544795.9614127","8128308.84788844",
"Belgium","BEL","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","314951996.772892","316223994.737275","403236183.667858","450348789.070586","528123446.561723","610705275.858287","676506792.058516","595778277.996624","631215575.765339","273408090.258668","60198648.0893916","229518687.527162","-186955677.202896","-238743984.220907","-42368053.6163083","227955024.118486","372747877.912227","876034575.904916","915296763.576522","525063472.563473","947346692.419121","1714611931.48258","1852431618.56964","3855944496.26866","5947083433.80757","6324849480.02189","6493680781.75896","6149300857.01398","6278728606.35697","6015775160.03862","6102585195.13727","4428529761.96851","4465282803.88236","6073539493.60783","5126743397.87646","4818734851.98443","5871305658.70587","6550610931.84316","12582754261.7969","8986722622.38281","7389146985.00001","837261084.630352","11513119767.5391","12854323254.353","11233935482.2353","6543241321.17187","4566307411.40079","4608986231.88236","4808610573.0196","5183614770.19607","5358613045.1362","5497613509.30224",
"Benin","BEN","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","-713322.982392389","-726043.494233265","-727508.520945138","-751189.716280216","-772704.010003787","-800008.895747955","-99999.8371855238","-400007.88615001","-1399985.94306862","-2500010.00151561","-2499984.26211573","-3102652.37973318","-2100010.07826127","","2299977.52432753","-1299938.08118877","","-199998.616084276","300008.552845283","1199984.86284421","-2899930.23462748","-3199966.1430493","-6000038.95238771","-13299955.9131489","-29600010.2527321","-21299998.2193058","-26000000.288762","-28599996.4729753","-24800001.4772626","-38156443.8918987","-38932654.1660912","-30839582.7964506","-60448076.266553","-39832601.1274088","-35133285.7953112","-44255662.2439339","-46021231.2560747","-29820057.5531285","-13389829.4742045","-12343346.1695251","-12297805.7132558","-14589068.2070684","-28272490.7065341","-38179167.5561918","-37067307.8746459","-17765482.731048","-30239712.6021389","-48523536.8926175","-11354260.0896861","-33128255.6803902","-53535382.3243548","-15521657.9970742","-66734652.8360646","-69016634.8662793","-61234533.9919024","-92518467.0510525","-102758898.080178","-140238097.564167","-145018968.222952","-143484429.049494","-162707974.075187","454955070.402444",
"Burkina Faso","BFA","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","4451866.28933449","3190155.67554608","8493786.27090136","3424695.65302568","3436547.04457301","-3627782.31859917","-1704099.74991696","-1719527.04238074","-1595400.3135342","-1598457.61242281","0","-504727.87096001","-1303798.07608373","-238219.707370299","-2253972.60626818","-12071599.9830155","-9522024.01752664","-20188162.8803682","-11100237.1309591","-9209176.68915616","-4080301.17436799","-9807489.37830174","-10261938.069964","-10085025.9535094","-4950147.46312392","-5699962.16024912","-5399908.00041235","-8800099.22252398","-13100079.1678446","-11900063.1018064","-7345789.83401453","-9216364.43490039","-11976192.3112087","-18676484.1119555","-14263805.4036646","-10038101.0937829","6899888.06620788","-2192909.54776797","-2796601.68847692","3915765.15179456","-3750587.15193295","-12079155.2185377","-34289885.3589639","-54644356.7431066","-45408604.1590024","-64044627.6436753","-18588213.7092822","-22466337.8278629","-36737974.8878924","-117493029.032515","-302076935.405279","-487651229.520894","-317520092.886916","-363592887.096892","-605515220.73699","-539033649.029612","-571634827.615534","-529621030.808738","-502129367.994937","-851689542.097691","-1268777979.13778","-1019732221.49829",
