"Data Source","World Development Indicators",

"Last Updated Date","2017-05-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.3982769949088","85.707138273458","83.05955067137","86.4433389448995","92.9054054054054","91.9585028090223","100.366030677142","105.149697301564","105.798169383766","102.464961244262","111.643490528013","116.347808143928","118.082431368489","132.79844141449","151.756357077354","143.968136466044","","","","","","","",
"Afghanistan","AFG","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.000267212652","111.715970892373","124.275895198042","137.822300822229","147.705897364729","180.765454617944","184.70452057767","180.812643847319","197.877370096535","218.775474769614","236.944254761155","248.122173868809","248.725310638881","258.219526157084","",
"Angola","AGO","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","4.50928844886084E-08","4.38646736236621E-08","4.06530802800446E-08","3.84972351207118E-08","5.75157895121322E-08","5.76888560911872E-08","1.55705414534535E-07","5.43547365463759E-07","7.46829304744914E-06","0.000166364432537985","0.0033195095974031","0.182556657763181","0.35474331416757","0.480027390352685","3.15348837090227","16.3424159345899","33.7180798786281","100","184.886623037975","258.458126395012","327.767373838547","370.511771065463","417.25730411597","499.3800605787","462.332058743831","565.866293779802","702.619999181003","752.296769574259","771.139775840311","760.577374929358","730.020055396738","",
"Albania","ALB","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","","","","","","","","","","","","","","","","","","","","","4.88144951419542","4.77516276194633","4.77431783088932","4.77351826179164","4.77216477614183","4.78892450168605","4.67504382280602","4.67504516069282","4.67504522509942","4.67504513684339","4.65313285600757","6.44776905294482","22.54678046495","48.4385218464696","67.0469040739973","70.7836341809004","100","112.088705898066","121.540437883886","123.404054828164","128.31712568647","132.588611724176","135.784779178767","143.089626086124","146.462369033583","150.30117355135","154.353367224778","159.873344315422","166.040717278779","170.063276522934","177.699086065132","181.804292246986","183.694985284051","184.097051098482","186.715532280263","187.013409687779","",
"Andorra","AND","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","","","","","","","","","","","5.54081824278109","5.9755436940202","6.4845451496314","7.25292703803017","8.40942085419982","9.82067265696072","11.4400875553245","14.1151338172266","17.0272329194409","19.9102310550807","22.5692053488681","25.3567669949381","28.8008117935171","32.2235680211272","35.7245730914507","38.7952658254677","43.0157311228805","45.5726717004514","48.2779224533165","51.6072679922839","55.388142188722","59.2293924007684","63.2041413864442","66.0718597544631","68.6353506546604","72.0212172854118","72.5953533624887","74.2128941101172","75.3257586764745","77.3836415573946","100","102.769411910516","106.264665979586","109.324240738912","112.98697550934","116.489902593927","120.216889768313","124.869183569115","127.341721403564","127.341860498931","129.379835831366","132.613981108936","134.072691035721","134.072430418584","","","",
"Arab World","ARB","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","","","","","","","","","","","","","","","","31.6113027763745","35.3333223164911","37.1903555588115","35.8287751690557","38.3550694672447","42.0049286917766","44.9681596599312","45.5585325670128","43.9102170116945","41.2328059354399","41.5381484289076","40.8326290788656","42.337550248514","43.3456266885679","44.1047285041092","45.5760183684481","45.9455709326876","46.7757275044202","47.3735382836764","47.2491946282875","49.0954473388801","51.929749074743","51.4352217023459","49.2469383217217","53.405043206546","59.5250132548242","58.1265875532759","60.318447902988","62.7748604734281","68.1116163060879","79.3677535148071","88.857815338138","100","118.533353088051","100.53645793204","111.598979468352","129.242876789512","129.670629949179","128.844145068926","129.291624370595","114.793914857984","",
"Argentina","ARG","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","7.18895053086036E-11","8.64907652844026E-11","1.11462242081356E-10","1.39986716491777E-10","1.8026735846122E-10","2.18543409371641E-10","2.74498089075019E-10","3.54152666316617E-10","3.90542952628105E-10","4.20989017434549E-10","4.48218059328181E-10","5.88380614993583E-10","9.66384481480835E-10","1.59970732848138E-09","2.08970474384838E-09","6.2209959491128E-09","3.3489038319795E-08","8.68796669538272E-08","2.27079272548601E-07","5.617419920553E-07","1.0720329206686E-06","2.21229107772466E-06","6.80539851861043E-06","3.28258012957894E-05","0.000231991735742299","0.00168380098323629","0.00293758434129546","0.00667085383489974","0.0325865432152334","1.02896208522948","22.3983795119802","52.1777481295678","58.3977323729962","57.5412362252407","59.180781521562","61.0539262799835","61.0219489829064","60.7388601486823","59.7030927427165","58.6066105825432","59.214529394292","58.5656756966243","76.4605374112749","84.4856083466432","99.9999999007267","110.317511090884","125.476298185193","144.2223630409","177.640364725943","204.957277170416","247.824346386684","306.567321403861","374.977453388143","464.78004777865","652.007262607129","812.044769781485","",
"Armenia","ARM","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00425369583989278","0.00763053925576754","0.0510336058587751","0.760996014182881","32.0173608470466","83.6177938883311","100","117.73599450746","130.33197722852","130.402101147853","128.610798784316","133.844152164477","137.015974570245","143.265407990946","152.304785779699","157.239211443691","164.503439207622","171.466492060237","181.736584527738","186.383470963118","200.863072527354","209.463125405768","220.660614413329","228.089870351151","233.356881563032","236.106588393079","",
"American Samoa","ASM","GDP deflator (base year varies by country)","NY.GDP.DEFL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.7421981004071","70.92866756393","68.5408299866131","67.6075268817204","69.5652173913043","71.5268225584594","79.5197740112994","100","84.5814977973568","84.0409956076135","98.6217457886677","101.107594936709","99.5319812792512","98.9197530864197","",
