Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,Europe & Central Asia (excluding high income),ECA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1426000000,1312000000,982000000,982000000,983000000,1694000000,2071000000,2490000000,2140000000,1513000000,1807000000,1714000000,1634000000,2021000000,1776000000,3063000000,3246000000,2819000000,3159800000,3253184999.973,2935501999.98,3975512998.5,4512948000.05,5269932400.099,8649954053.41406,7682618530.77068,8045391548.17787,6818743167.23626,6740032365.37508,6699447039.72378,9504693051.01751,13095520730.0378,16462412245.9642,26407971600.2999,33316030667.7711,28596261180.5604,31230235428.5556,36574364221.4555,39328711290.9445,42846759132.9819,40404149670.2419,33881059428.1647,34844623313.4692,41857510722.8521,47342706779.9336,49336988478.058,45807006198.8232,55073930946.732,68332733899.0128,62523250568.9783
"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,Europe & Central Asia (IDA & IBRD countries),TEC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1426000000,1312000000,982000000,982000000,983000000,1694000000,2071000000,2490000000,2140000000,1513000000,1807000000,1714000000,1634000000,2021000000,1776000000,3063000000,3246000000,2819000000,3159800000,3483214006.973,8466011002.68,5418580998.5,6097864898.448,7005265861.718,10722006397.4766,9600222240.71107,11012679738.2478,11238224611.0333,11774007903.725,13261124230.4278,19844767032.5759,28254245327.0483,34648841597.9337,48595950299.4678,57500294465.2296,48458406733.8712,48453602725.4286,55146977171.1013,56424240168.5188,66296074190.7517,65223504377.728,57211993857.2404,59078283224.8552,69699768665.0811,77351180584.365,81843977403.2993,76965970820.5553,88759782068.7986,95275229645.6088,92008767249.219
"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,European Union,EUU,..,..,..,..,..,..,..,..,..,..,1387801445.922,1834713172.44,2126978380.36,2230588135.09,2039631810.88,6331545403.92,6836810817.45,9028074692.25,11496805928.03,14066619244.53,16398645979.58,14792673698.58,14397167733.2489,13150424222.71,12530021946.58,12552853296.38,16478518178.73,19594307400.23,22159414345.47,23322039185.89,28031602439.15,28279194930.82,30388186920.03,29298589867.6734,29187753043.3255,31735748570.0066,31860658604.0837,35648931029.897,36562773158.7195,29920128531.3353,29719401978.5527,31573494344.4491,35556406606.8222,44902017891.3302,53809096257.7751,61151205694.6874,69192770889.9717,83815502748.5807,98150187161.6568,93288811584.595,91913267567.1127,102497721025.016,99573948830.8548,114944811339.825,119054724877.617,107525896339.302,109387625103.087,117387825314.23,125047854456.665,127076404811.801,126170595620.003,137030377200.924,136466916011.886,151854083615.28
"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,Fragile and conflict affected situations,FCS,..,..,..,..,..,..,..,..,..,..,..,17899999.62,22579916,22540000.92,61891856.672,137969344.139,163734905.244,353992817.489796,947889502.411076,1377328812.96202,1567005342.2791,1323664944.32421,974902624.046593,1087775688.64574,939289410.019401,1001794756.39551,928118888.886476,979539497.866375,1112092869.95973,1371374332.29609,2348301670.85196,1797672095.7998,2161549354.35284,2696502197.73333,2668818007.39622,3010064965.43301,2946993401.53666,3490065446.56043,4397899791.98726,5377393934.79672,5790277498.94507,6048749546.99996,9296357133.30978,12642527484.5922,16169235136.1312,28599690757.8069,32016499570.0676,36754170244.6111,42561000437.159,42281322646.34,45264112742.2483,47509158733.1327,50452863382.8826,54976943393.3776,54150785070.2095,56181056063.8927,56661086526.1609,61933983283.7667,70728435271.5829,71867851288.6965,63449540409.5084,71137236104.987,74363566102.3421,72269934707.2168
"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,Heavily indebted poor countries (HIPC),HPC,..,..,..,..,..,..,..,..,..,..,..,17899999.62,22579916,22540000.92,83123534.7699,200435029.9501,248734344.6632,329723044.5403,441087784.6023,618867603.9558,957524857.6136,1021521644.4405,661016622.0354,811262011.4706,746846613.644,810563136.8969,827797372.0151,916140344.8877,1075145398.5535,1275132822.9957,866832120.5627,838074883.6921,1095631046.701,931690899.1907,931406176.4848,1355983221.36237,1299934014.56172,1563293076.51831,2304311086.76611,2859558589.97458,3235545128.52799,3743292761.37636,4562464326.09567,5587706800.56681,6748466334.03263,7399212472.68255,9060600052.4428,11194526353.8725,13305753804.9808,12527615786.9828,14404617595.157,18305065967.3523,18627767893.3972,19544673718.0323,21453422210.4268,23888804163.0173,21883158829.987,24442469072.4514,29089886668.2602,31974688286.6947,31951393548.2547,35336189728.0668,41166929268.5269,43954643023.7381
"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,High income,HIC,..,..,..,..,..,..,..,..,..,..,1644521483.817,2155367565.17,2658606068.735,2851601020.619,2648670927.767,6896448115.783,7409949936.606,10585919012.375,13486539349.729,16451276696.054,19317665582.8361,17975166968.539,17588604486.7219,16567357378.174,15990013667.381,16030460399.934,21871506878.6026,27543224868.114,31389924581.8435,33124622840.87,39030447143.151,40305529712.12,42934326734.954,41279015112.1925,47357935841.3363,44680304805.6835,44690146632.7155,48332728223.8785,49635824557.1518,48581738042.1692,48229027182.1417,51361549809.673,57099870211.4152,68575121675.1605,79978187339.4856,88713459813.8969,99312289437.4878,117109811849.09,135362034542.518,127825628904.618,127324398197.82,142282284653.131,139732258214.957,156120243358.102,163068987875.963,149692759105.782,151077799136.805,161447504883.187,171020257721.813,174362439465.977,171672627590.518,185558962366.552,179385472999.865,195054624735.469
"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,IBRD only,IBD,..,..,..,..,..,..,..,..,..,..,281899994.375,294551655.3,316492974.275,345800816.059,1800244265.547,2959690131.563,3464123758.76,5458391987.626,7156165404.0167,9416009319.4544,13054465302.6123,13347217184.0989,14392381611.5009,15324337820.7551,15287700403.5489,14533798452.9234,14835375760.777,17555491032.0161,17614834527.9806,19140379529.1332,22140224155.2132,26002797204.246,30720723417.046,32404525403.3427,41545697605.046,42516906333.932,46084642834.2615,54372884626.4037,52729666234.0797,56442139642.3813,64015892108.0409,72454869608.6547,83859814525.268,106903614020.225,123101856731.916,141212731281.066,166675763972.578,203920714590.097,232418820506.481,217927832935.528,234900622613.535,260054160944.123,272671719842.602,290939475831.582,313965227574.246,311205913203.708,304403307177.81,336817798151.297,361850306517.044,375408486623.745,378680016546.969,432292817467.539,469138527224.731,484283111179.457
"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,IDA & IBRD total,IBT,..,..,..,..,..,..,..,..,..,..,289159994.604,320505425.1046,353540799.674,382942983.391,1909893863.2799,3318263258.36624,4333241316.8482,7132554712.24249,9990379980.21228,13016209993.0856,17779846836.3372,18020082156.6853,19921589856.3326,21519417100.1733,20751014754.6167,19891316945.8557,20268872113.3952,23425844764.3935,23330388397.5167,25309078984.2894,29601082684.0798,32518319867.8612,38095752408.6643,40247064874.4966,50041242505.7563,50955036421.0124,54198608462.7519,63984223716.125,62401472302.3521,67563999490.873,75897256250.2057,84729621809.839,100616096650.197,126546568903.998,146945543847.345,181582320610.731,214354678735.065,258574118043.093,298802575759.547,285316745222.056,311600491254.025,348902947987.152,371766959728.458,395075722693.778,425409322480.521,425715877129.425,416611119539.946,456615262896.363,495548704601.189,516302935213.139,519898580195.835,587090562821.646,638065033753.047,655124962689.748
"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,IDA blend,IDB,..,..,..,..,..,..,..,..,..,..,7260000.229,7260000.229,13859999.66,12539999.96,22012127.874,21178279.877,446689813.516,979749844.773795,1411757381.89658,1622693853.26372,2247060996.0222,2321660851.96561,2816711547.59079,3163271944.56564,2799181719.9115,2776990343.84171,2728839963.39918,2510065568.58217,2229470768.48483,2426878908.36719,2465682471.06326,2014686896.4706,2047176719.50494,2674065676.24413,2799223844.28302,2383263990.20228,2005103621.55349,3122763153.97938,2465202652.93611,3195121374.63238,3341260242.50135,3035498921.74493,5211052343.99165,5626297497.06571,7248943634.21104,21096154737.0404,24845084443.2569,27213472068.8835,31371644573.3489,32074784364.816,35857499776.8015,41710074806.992,45075746965.1596,46125029544.2667,49554315573.1431,49546150717.9335,50124917513.4764,54130442518.3722,58716119596.565,60394236298.0161,56913901371.1851,68402064956.6898,75195975290.9033,70097483110.0903
"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,IDA only,IDX,..,..,..,..,..,..,..,..,..,..,..,18693769.5756,23187825.739,24602167.372,87637469.8589,337394846.926239,422427744.5722,694412879.8427,1422457194.299,1977506820.36745,2478320537.70275,2351204120.62076,2712496697.24096,3031807334.85259,2664132631.15633,2580528149.09056,2704656389.21907,3360288163.79522,3486083101.05128,3741820546.78898,4995176057.80335,4500835767.14462,5327852272.11334,5168473794.90977,5696321056.42725,6054866096.87805,6108862006.93691,6488575935.74193,7206603415.33636,7926738473.85934,8540103899.6635,9239253279.43941,11545229780.9375,14016657386.7069,16594743481.2181,19273434592.6243,22833830319.2302,27439931384.1123,35012110679.717,35314127921.7118,40842368863.6888,47138712236.0365,54019492920.6964,58011217317.929,61889779333.1322,64963813207.7836,62082894848.6593,65667022226.6939,74982278487.58,80500212291.3775,84304662277.681,86395680397.4167,93730531237.4129,100744368400.2
