"Data Source","World Development Indicators",

"Last Updated Date","2017-05-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1330167597.76536","1320670391.06145","1379888268.15642","1531843575.41899","1665363128.49162","1722798882.68156","1873452513.96648","1920262569.8324","1941094972.06704","2021301675.97765","2228279329.60894","2331005586.59218","2421474860.3352","2623726256.98324","2791960893.85475","2498932960.89385","2467703910.61453","2584463687.15084","","","","","",
"Afghanistan","AFG","GDP (current US$)","NY.GDP.MKTP.CD","537777811.111111","548888895.555556","546666677.777778","751111191.111111","800000044.444444","1006666637.77778","1399999966.66667","1673333417.77778","1373333366.66667","1408888922.22222","1748886595.55556","1831108971.11111","1595555475.55556","1733333264.44444","2155555497.77778","2366666615.55556","2555555566.66667","2953333417.77778","3300000108.88889","3697940409.61098","3641723321.99546","3478787909.09091","","","","","","","","","","","","","","","","","","","","2461665937.89386","4128820723.04713","4583644246.48061","5285465685.86423","6275073571.54659","7057598406.61553","9843842455.48323","10190529882.4878","12486943505.7381","15936800636.2487","17930239399.8149","20536542736.7297","20046334303.9661","20050189881.6659","19331286549.3323","",
"Angola","AGO","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","6684491978.60963","6684491978.60963","6684491978.60963","6684491978.60963","10026737967.9144","10026737967.9144","12118610904.2251","5684291718.77106","5278182970.79618","4059352153.05368","5039552482.42778","7526446605.51712","7648377412.83277","6445041824.66621","6152922942.98032","9129594818.60749","8936063723.20121","12497346669.6684","14188949190.618","19640848728.8937","28233712830.9035","41789478661.3096","60448921272.2326","84178032716.0971","75492384801.3695","82470913120.7314","104115923082.737","115398371427.673","124912063308.202","126776874216.703","102626929544.805","",
"Albania","ALB","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","1924242453.00793","1965384586.2409","2173750012.5","2156624900","2126000000","2335124987.5","2101624962.5","1139166645.83333","709452583.880319","1228071037.84446","1985673798.10258","2424499009.14264","3314898291.37753","2359903108.25164","2707123772.39715","3414760915.22464","3632043907.78974","4060758804.1064","4435078647.86039","5746945912.88569","7314865175.67485","8158548716.52941","8992642348.95796","10701011896.7708","12881352687.7773","12044212903.8168","11926953258.916","12890867538.5302","12319784787.2987","12781029643.5936","13219857459.1009","11398392444.316","",
"Andorra","AND","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","78619206.0850963","89409820.3592814","113408231.944085","150820102.798401","186558696.279204","220127246.376812","227281024.620741","254020153.340635","308008897.569444","411578334.159643","446416105.825017","388958731.302938","375895956.383462","327861832.946636","330070689.298282","346737964.774951","482000594.03588","611316399.407088","721425939.15155","795449332.396346","1029048481.88051","1106928582.86629","1210013651.87713","1007025755.00065","1017549124.33238","1178738991.19295","1223945356.62682","1180597272.72727","1211932397.81713","1239876305.13531","1401695227.56587","1484017897.09172","1717485413.13759","2373927765.23702","2916786689.84356","3248215396.09501","3536632793.87781","4010990966.32904","4001201113.22689","3650083356.48791","3346516556.29139","3427022518.76564","3146151869.45908","3248924588.42273","","","",
"Arab World","ARB","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","25747827701.8579","28420014110.7805","31369837375.7509","36408731787.9562","43294440627.9875","54990939146.7722","105093332233.162","116278966339.451","144773892894.716","167224835902.549","183463944721.717","248522124589.922","338008694211.747","348418837345.691","324166904168.986","303810853467.151","307787100347.659","303741966553.374","288884916584.302","312525640967.149","307349582574.892","322164290760.419","445987569777.312","438852565868.873","470346038020.896","475661819058.606","486642375786.734","522836165706.286","577272185682.211","612265868238.116","590477656553.529","643095192119.392","733902979451.545","722106258341.984","727949171894.759","821819709431.217","963858506757.182","1184661554515.82","1404102885708.69","1637573471152.28","2077760563199","1795461858611.84","2103838826684.44","2497297323880.13","2733908028258.35","2830839875289.48","2890239067418.97","2563720500839.24","",
"United Arab Emirates","ARE","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","14720672506.5004","19213022691.0526","24871775164.6043","23775831783.4263","31225463217.7582","43598748449.0479","49333424135.1131","46622718605.2847","42803323345.1376","41807954235.903","40603650231.5445","33943612094.7971","36384908744.2114","36275674203.2144","41464995913.9199","50701443748.2975","51552165622.4462","54239171887.769","55625170253.337","59305093979.842","65743666575.8649","73571233996.1863","78839008444.5655","75674336283.1858","84445473110.9598","104337372362.151","103311640571.818","109816201497.617","124346358066.712","147824370319.946","180617018379.85","222105922396.188","257916133424.098","315474615738.598","253547358747.447","286049336038.121","348526072157.931","373431994554.118","388598502382.573","401958066712.049","370296255956.433","",
"Argentina","ARG","GDP (current US$)","NY.GDP.MKTP.CD","","","24450604877.6081","18272123664.3994","25605249381.7597","28344705966.6389","28630474727.8546","24256667553.2569","26436857247.4982","31256284543.5869","31584210365.5447","33293199095.4681","34733000536.2862","52544000116.9037","72436777342.4443","52438647921.9226","51169499890.7722","56781000100.9448","58082870156.2633","69252328953.3789","76961923741.9479","78676842366.4213","84307486836.724","103979106777.911","79092001998.032","88416668900.2596","110934442762.694","111106191358.197","126206817196.091","76636898036.4712","141352368714.691","189719984268.485","228788617201.696","236741715015.015","257440000000","258031750000","272149750000","292859000000","298948250000","283523000000","284203750000","268696750000","97724004251.8602","127586973492.177","164657930461.189","198737095024.998","232557260828.303","287530508421.561","361558037105.274","332976484584.295","423627422103.855","530163281582.146","545982375704.347","552025140256.732","526319673732.799","584711485365.112","",
"Armenia","ARM","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2256838858.42714","2068526521.90299","1272577521.7683","1201313196.45626","1315158670.47971","1468317350.02343","1596968913.19202","1639492424.38103","1893726437.35976","1845482181.48539","1911563665.39006","2118467913.37873","2376335048.39976","2807061008.69084","3576615240.41616","4900469515.07252","6384451606.1421","9206301700.39619","11662040713.8753","8647936747.98704","9260284937.79782","10142111334.4961","10619320048.5857","11121465767.4067","11609512939.7543","10529182498.3475","",
"American Samoa","ASM","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","514000000","527000000","512000000","503000000","496000000","520000000","563000000","678000000","576000000","574000000","644000000","639000000","638000000","641000000","",
"Antigua and Barbuda","ATG","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","66144444.4444444","74855555.5555556","92240740.7407407","110066666.666667","124462962.962963","137951851.851852","153270370.37037","173511111.111111","201862962.962963","245896296.296296","286474074.074074","338696296.296296","373403703.703704","391570370.37037","410388888.888889","423762962.962963","456537037.037037","500088888.888889","494185185.185185","541074074.074074","579851851.851852","620037037.037037","651851851.851852","783837851.851852","773765185.185185","802529333.333333","839996370.37037","898356148.148148","997374111.111111","1135143592.59259","1289254333.33333","1347349851.85185","1206410370.37037","1135539037.03704","1129918370.37037","1204713111.11111","1200587518.51852","1220976000","1259259259.25926","",
"Australia","AUS","GDP (current US$)","NY.GDP.MKTP.CD","18567588755.7397","19639377309.8891","19883525590.7716","21497368126.3299","23754059805.1294","25925635569.4927","27250531974.4652","30378541829.9922","32641953186.2471","36606562884.9815","41245380221.7494","45119274274.8348","51928738317.757","63688661114.6701","88775239498.8946","97081797077.7004","104815328375.142","110097499426.474","118217911121.137","134584800636.147","149654596100.279","176527342389.411","193651108904.336","176899391670.566","193197790255.389","180182557336.811","181989367655.288","189076892535.733","235771245634.459","299480498330.755","310954982685.648","325574915626.717","325253403060.832","311950534007.87","322805257696.299","367949212949.213","401335356600.91","435571294412.271","399293902190.87","388672139365.835","414951956289.644","378459268004.723","394196316450.398","466348281887.012","612695262483.995","693075477371.824","746880802635.52","853053309256.497","1054557743957.03","926563834486.821","1142250506474.06","1389919156068.22","1537477830480.51","1563950959269.52","1454675479665.84","1339140527498.13","",
"Austria","AUT","GDP (current US$)","NY.GDP.MKTP.CD","6592693841.18495","7311749633.36229","7756110210.11966","8374175257.73075","9169983885.71185","9994070615.85997","10887682273.1014","11579431668.9165","12440625312.8685","13582798556.2404","15335972267.7957","17815464919.0439","22006470861.3608","29444365310.2818","35104529078.3274","39962704274.3146","42856485617.8569","51421585629.8393","61902774945.5131","73759181883.685","81861232822.8037","70863106877.484","71103585383.5605","71947277233.032","67821568599.1335","69219621907.4222","98797587381.7035","123869321397.475","133018182770.534","132785154342.174","166062376739.683","173375508073.07","194608183696.469","189921096652.076","203044926876.28","240457622492.152","236720496490.772","212323463750.141","217683626056.025","216725261027.062","196421706283.398","196953628635.347","212970685111.989","260721478555.305","299857238639.185","314648986444.472","334309371471.584","386458951546.674","427611527757.434","397594276187.83","390235099337.748","429010675562.969","407451583084.239","428248420485.175","438376178526.317","376950249528.668","",
"Azerbaijan","AZE","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8858006035.91566","8792365810.5094","4991350457.5425","3973027396.65195","3313739673.54738","3052467522.36104","3176749593.11788","3962710163.11167","4446396217.63265","4581222442.45783","5272617196.04517","5707618246.56848","6236024951.20423","7275766111.24309","8680511918.49357","13245421880.834","20983019923.8863","33050343782.7759","48852482960.0779","44291490420.5026","52902703376.1056","65951627200.2026","68730906313.6456","73560484384.9586","75198010965.1919","53047140347.4527","",
"Burundi","BDI","GDP (current US$)","NY.GDP.MKTP.CD","195999990","202999992","213500006","232749998","260750008","158994962.962963","165444571.428571","178297142.857143","183200000","190205714.285714","242732571.428571","252842285.714286","246804571.428571","304339839.552146","345263492.063492","420986666.666667","448412753.623188","547535555.555556","610225555.555556","782496666.666667","919726666.666667","969046666.666667","1013222222.22222","1082926304.46477","987143931.166987","1149979285.77347","1201725497.06578","1131466494.01101","1082403219.48787","1113924130.41149","1132101252.51817","1167398478.3459","1083037670.60484","938632612.026359","925030590.153683","1000428393.88528","869033856.317093","972896267.915425","893770806.077641","808077223.365746","870486065.883137","876794723.068586","825394490.159111","784654423.620476","915257323.3961","1117257279.46188","1273180597.02711","1356078278.18821","1611634331.64869","1739781488.7457","2026864469.36388","2355652125.85184","2472384906.99794","2714505634.52629","3093647226.8107","3097324739.82522","",
"Belgium","BEL","GDP (current US$)","NY.GDP.MKTP.CD","11658722590.99","12400145221.595","13264015675.3193","14260017387.0492","15960106680.6732","17371457607.9374","18651883472.4808","19992040788.4593","21376353113.475","23710735894.7022","26849173618.3945","29981318394.8688","37408626615.3423","47999408507.5554","56333063690.9693","66029811341.45","71494607105.5381","83283407090.6021","101788571282.183","116938177352.779","127508322941.095","105290713602.781","92588982518.0999","87650998816.568","83795759983.2449","86730120728.3103","120661334386.852","150194219665.046","163168007789.358","165100250614.251","206431036697.248","211638016538.689","236038607528.231","225924893540.112","246195171328.671","289567597153.804","281357654723.127","254813937753.721","260602356079.129","260202429149.798","237904919845.218","237841610738.255","258860342555.995","319003386004.515","370885274397.815","387365999253.824","409813072387.404","471821790309.335","518626043650.212","484552653514.865","483577483443.709","526975257158.743","497884088082.651","520091913424.264","531761517044.614","455085948763.447","",
"Benin","BEN","GDP (current US$)","NY.GDP.MKTP.CD","226195579.35701","235668222.429984","236434906.75427","253927646.475909","269818988.259263","289908720.648622","302925280.773564","306222000.407316","326323097.355964","330748211.459737","333627758.154666","335072975.215766","410331900.950531","504376035.716401","554654786.965107","676870140.341529","698408244.385343","750049739.152238","928843304.783965","1186231265.18417","1405251547.23882","1291119965.11262","1267778489.03079","1095348302.91865","1051133927.00009","1045712703.02696","1336102040.71025","1562412030.34838","1620246187.15171","1502294411.46202","1959965243.76269","1986437859.90346","1695315305.70308","2274557914.07481","1598075932.35432","2169627250.93379","2361116587.86079","2268301537.65128","2455092582.30927","2689787917.50711","2569186642.86999","2680213931.46472","3054571081.6912","3905366187.87017","4521424807.22519","4803702821.08056","5142380779.44103","5969535131.58016","7132787396.66547","7097198711.61023","6970240895.49888","7814081155.64988","8152554487.31321","9156748441.42175","9707432015.61441","8290986804.45245","",
"Burkina Faso","BFA","GDP (current US$)","NY.GDP.MKTP.CD","330442817.168859","350247237.11684","379567178.256898","394040749.12567","410321785.631059","422916848.424208","433889831.584706","450753993.176448","460442864.205949","478298781.545658","458404330.125096","482411278.982439","578595583.975723","674773821.151416","751133642.647461","939972703.463021","976547572.215824","1131225278.77773","1475584037.28156","1748480982.18517","1928720390.28869","1775842679.94056","1754450379.2077","1600278756.43589","1459880352.64829","1552493413.98989","2036303381.20142","2369835438.62393","2616040645.87263","2615588545.68629","3101301780.95067","3135045684.1006","2240264711.54816","2332018010.55341","1895290964.80829","2379518099.2266","2586550747.09844","2447669403.89018","2804902723.73145","2991748387.09677","2628920056.10098","2812532813.18202","3207747085.51083","4098643482.34347","4839877683.94744","5458343594.30942","5843872989.47876","6762399882.91926","8350808396.60563","8148059793.81443","8988623686.33791","10746062858.3563","11166654260.5289","11930742614.3262","12257141798.2204","10678201939.3595","",
"Bangladesh","BGD","GDP (current US$)","NY.GDP.MKTP.CD","4274893913.46431","4817580183.56657","5081413339.74945","5319458351.12372","5386054619.31076","5906636556.95802","6439687598.27648","7253575399.26882","7483685473.4584","8471006100.89247","8992721809.32801","8751842839.73302","6288245866.66667","8086725729.3407","12512460519.7088","19448348073.4565","10117113333.3333","9651149301.8746","13281767142.8571","15565480321.9448","18138049095.6072","20249694002.448","18525399201.5968","17609048821.5488","18920840000","22278423076.9231","21774033333.3333","24298032258.0645","26579005760.315","28781714763.7823","31598341233.5793","30957483290.541","31708873954.9405","33166520084.8295","33768662171.2233","37939748051.3878","46438482370.3942","48244308274.8086","49984559471.3656","51270569883.5275","53369787318.6245","53991289844.3291","54724081490.5102","60158929188.2556","65108544250.0425","69442943089.4309","71819083683.7403","79611888213.148","91631278239.3237","102477791472.39","115279077465.226","128637938711.386","133355749482.478","149990451022.29","172885454931.453","195078665827.565","",
"Bulgaria","BGR","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","19839230769.2308","19870000000","19342000000","16563666666.6667","17594944444.4444","17155421052.6316","20249294117.6471","28101000000","22555941176.4706","21988444444.4444","20632090909.0909","10943548387.0968","10350515463.9175","10829710144.9275","9697416974.16974","13063422619.0476","10109404159.6402","11195630536.8928","14630974778.4594","13495062850.302","13148099185.2305","14135393875.5893","16360346653.8276","21074775206.3254","26094622563.6468","29821662537.3229","34304448149.8108","44765733379.986","54666642734.2757","51783454183.5501","50610031135.7791","57418391041.5926","53903028252.2996","55758744571.1183","56732006512.0065","50199117547.0415","",
